"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15732	24164	"Úpské rašelinište"	50.736004	15.70752	1	"AWI"	1	-110	49	-25	1	0	0	36	3	1	13	0	42	0	1	0	0	0	1	1	0	3	126	1	0	24	0	0	0	0	0	2	195	218	5	0	0	0	22	0	0	0	0	0	1	1	0	1	0	0	2	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	2	"AWI"	2	-87	79	1	3	0	0	40	1	0	4	0	45	1	4	0	0	0	1	0	0	5	132	1	0	8	0	0	0	0	0	5	67	191	7	111	0	0	23	0	0	0	0	0	1	0	0	0	1	0	1	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	3	"AWI"	3	-72	119	26	5	0	0	24	2	1	6	0	90	0	10	0	0	0	0	0	0	3	194	0	0	13	0	0	0	0	0	2	46	169	4	113	0	0	24	0	0	0	0	0	1	0	0	0	0	0	12	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	4	"AWI"	4	-58	164	51	5	0	0	16	0	0	9	0	86	0	2	0	0	0	8	1	0	4	250	0	0	13	0	0	1	1	0	5	52	169	3	130	0	0	20	0	0	0	0	0	5	0	0	0	1	0	13	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	5	"AWI"	5	-47	214	75	6	0	0	11	4	2	3	0	68	1	2	0	0	0	12	1	1	2	441	2	0	19	0	1	0	0	1	2	71	138	0	139	0	0	21	0	0	0	1	0	7	0	0	0	3	0	13	1
15732	24164	"Úpské rašelinište"	50.736004	15.70752	6	"AWI"	6	-6	229	114	6	0	0	14	5	3	8	0	62	0	3	0	0	0	20	2	0	2	714	1	1	12	0	0	2	0	0	3	39	117	16	196	0	0	18	0	0	0	0	0	5	0	0	0	0	0	9	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	7	"AWI"	7	26	247	154	10	1	1	8	4	2	5	0	57	0	2	0	0	0	15	2	0	8	920	4	0	10	2	0	2	0	0	2	19	106	15	177	0	0	25	0	0	0	1	0	3	2	0	0	1	0	8	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	8	"AWI"	8	53	270	196	6	1	0	10	8	7	5	0	33	0	2	0	1	0	1	0	0	5	654	9	0	6	0	0	3	0	0	1	49	191	11	178	0	0	20	0	0	0	1	0	6	2	0	0	2	3	7	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	9	"AWI"	9	72	301	235	12	0	0	6	5	1	12	0	37	0	2	0	1	0	1	0	0	14	442	1	0	11	0	0	3	0	0	0	39	200	13	124	0	0	25	0	0	0	0	0	3	1	0	1	0	5	7	0
15732	24164	"Úpské rašelinište"	50.736004	15.70752	10	"AWI"	10	92	350	270	12	0	0	3	2	3	8	0	49	0	1	0	0	0	0	3	0	15	258	4	0	9	3	0	1	0	0	0	40	265	14	147	0	0	34	0	0	0	1	0	0	0	0	0	1	2	0	0
