"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Nartheciaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
9812	14512	"Cornaher Lough"	53.365506	-7.412886	0	"AWI"	0	-156	11	-65	2	7	0	0	1	2	0	10	0	0	0	0	1	0	53	0	1	53	0	0	0	0	0	12	1	11	0	0	0	84	1	0	0	0	0	0	1	1	0	0	1	25	0	335	0	1	0	3	4	0	1	11	2	3	0	0	2	0	0	0	4	2	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	8	"AWI"	8	-103	240	17	1	23	0	3	3	5	0	15	0	0	0	0	2	0	36	0	0	113	0	0	0	0	0	9	1	6	0	1	0	26	0	0	0	0	0	0	3	0	0	0	1	24	0	221	0	0	1	3	16	0	1	21	4	0	0	2	0	0	0	0	8	2	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	16	"AWI"	16	-54	405	109	0	13	2	0	3	3	0	11	0	0	0	0	1	0	65	0	1	151	0	0	0	0	0	17	0	13	0	0	0	183	0	0	0	0	0	2	0	0	0	0	0	21.5	0	285	0	2	0	3	7	0	0	13	4	2	0	0	2	0	0	0	7	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	24	"AWI"	24	-2	560	202	0	35	1	2	4	0	0	22	5	0	0	0	0	0	76	0	0	117	0	0	0	0	0	9	8	9	0	0	0	139	0	0	0	0	0	0	1	0	1	0	0	13	0	200	1	0	2	6	13	0	2	6	1	0	0	0	0	1	0	1	12	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	32	"AWI"	32	49	699	296	0	54	2	0	3	5	0	27	0	0	0	0	8	0	123	1	1	89	0	0	0	0	0	1	0	8	0	0	0	174	0	0	0	0	0	0	2	0	0	0	0	24	0	231	0	0	0	10	10	0	1	15	8	0	0	0	0	3	0	0	8	3	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	40	"AWI"	40	108	841	396	0	63	0	1	1	2	0	47	0	0	0	0	0	0	171	0	0	74	0	0	0	0	0	2	2	8	0	0	0	56	0	0	0	1	0	1	0	0	0	0	0	13	0	123	0	0	1	16	6	0	2	12	6	1	0	2	0	3	0	0	7	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	48	"AWI"	48	175	957	496	0	72	2	0	1	0	0	33	0	0	0	0	0	0	162	0	0	88	0	0	0	0	0	0	3	6	0	0	1	142	0	0	0	0	0	0	1	1	0	0	0	4.5	0	166	0	0	0	19	4	0	0	17	12	1	0	0	1	5	0	0	9	2	1
9812	14512	"Cornaher Lough"	53.365506	-7.412886	56	"AWI"	56	241	1080	593	0	84	0	2	3	0	0	58	0	0	0	0	1	0	156	0	0	80	0	0	0	0	0	0	1	6	0	0	1	49	0	0	0	0	0	0	0	0	0	0	0	1	0	83	0	0	0	25	19	0	1	7	8	1	0	0	0	5	0	2	11	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	64	"AWI"	64	317	1201	691	0	91	0	0	4	0	0	56	0	0	0	0	2	0	125	0	2	78	0	0	0	0	0	0	0	1	0	0	1	160	0	0	0	1	0	0	0	0	0	0	0	11	0	172	0	1	0	24	0	0	2	5	14	3	0	0	3	2	0	0	9	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	72	"AWI"	72	390	1315	788	0	61	0	1	0	0	0	68	0	0	0	0	0	0	104	0	0	80	0	0	0	0	0	0	0	5	0	0	1	121	0	0	0	0	1	0	0	0	0	0	0	2	0	150	0	0	0	18	8	0	1	8	11	1	0	0	1	1	0	0	9	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	80	"AWI"	80	458	1429	890	0	43	1	1	0	3	0	25	0	1	0	0	0	0	78	0	1	79	0	0	0	0	0	1	0	4	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	1.5	0	127	0	1	0	10	4	0	0	8	7	0	0	0	0	1	0	0	7	1	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	88	"AWI"	88	534	1546	983	0	56	0	2	1	1	0	59	2	0	0	0	0	0	116	0	1	136	0	0	0	0	0	0	0	7	0	0	1	95	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	7	15	0	1	3	14	1	1	0	0	1	0	0	15	1	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	96	"AWI"	96	609	1643	1082	0	18	0	0	0	0	0	25	0	0	0	0	0	0	71	0	0	113	0	0	0	3	0	0	0	1	0	0	0	117	0	0	0	0	0	0	2	0	0	0	0	4	0	110	0	0	1	9	0	0	0	3	6	0	0	0	0	2	0	0	4	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	104	"AWI"	104	696	1744	1180	0	27	0	2	0	1	0	29	0	0	0	0	0	0	102	0	0	155	0	0	0	0	0	0	0	3	0	0	0	124	0	0	0	0	0	0	0	0	0	5	0	2.5	0	185	0	0	1	15	5	0	1	6	6	0	0	0	1	4	0	0	5	2	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	112	"AWI"	112	776	1858	1278	0	13	0	0	0	2	0	17	0	0	0	0	0	0	68	0	0	70	0	0	0	0	0	0	0	6	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	11	0	0	0	6	8	0	0	0	0	1	0	0	6	1	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	120	"AWI"	120	844	1972	1367	0	36	2	3	1	3	0	41	0	0	0	0	0	0	122	0	0	130	0	0	0	0	0	0	0	4	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	1	0	144	0	0	0	15	6	0	0	15	5	0	0	0	0	0	0	0	4	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	128	"AWI"	128	930	2057	1466	0	28	0	0	0	0	0	27	0	0	0	0	0	0	82	0	0	112	0	0	0	0	0	0	0	3	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	1	0	97	0	0	0	14	2	0	1	9	6	0	0	0	0	1	0	0	4	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	136	"AWI"	136	1029	2174	1566	0	27	0	0	0	0	0	35	0	0	0	0	1	0	192	0	0	108	0	0	0	0	0	0	0	5	0	0	0	90	0	0	0	0	0	0	1	0	0	0	0	0.5	0	127	0	0	0	15	5	0	1	11	12	0	0	0	0	2	0	0	5	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	144	"AWI"	144	1115	2279	1663	0	29	0	0	0	3	0	37	0	0	0	0	1	0	326	0	0	55	0	0	0	0	0	0	0	6	0	0	0	122	0	0	0	0	0	0	4	1	0	0	0	0	0	134	0	0	0	8	1	0	0	9	13	0	0	0	0	1	0	0	4	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	152	"AWI"	152	1205	2388	1757	0	30	0	0	0	0	0	38	0	0	0	0	1	0	261	0	0	58	0	0	0	0	0	0	0	8	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	1	0	111	0	0	0	18	2	0	1	6	10	0	0	0	0	3	0	0	8	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	160	"AWI"	160	1291	2489	1853	0	38	1	1	0	0	0	36	0	0	0	0	3	0	206	0	1	62	0	0	0	0	3	0	0	5	0	1	0	108	0	0	0	0	0	1	0	0	0	0	0	0.5	0	127	0	0	0	18	0	0	0	8	12	0	0	0	0	3	0	0	11	1	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	168	"AWI"	168	1379	2597	1951	0	34	0	0	0	1	0	37	0	0	0	0	0	0	160	0	0	75	0	0	0	0	0	0	0	5	0	0	0	107	0	0	0	0	0	0	1	0	0	0	0	3	0	122	0	0	1	17	0	0	0	5	6	0	0	0	1	1	0	0	12	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	176	"AWI"	176	1476	2692	2046	0	49	0	1	2	0	0	32	0	0	1	0	0	0	150	0	0	101	0	0	0	0	0	0	0	6	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	2	0	166	0	0	0	18	2	0	0	12	4	1	0	0	2	1	0	0	8	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	184	"AWI"	184	1558	2786	2148	0	40	2	0	1	1	0	54	6	0	2	0	0	0	153	0	0	77	0	0	0	0	0	0	0	18	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	31	12	0	0	7	5	0	0	0	0	1	0	0	8	1	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	192	"AWI"	192	1649	2884	2243	0	36	2	1	0	0	0	32	0	0	1	0	0	0	187	0	0	77	0	0	0	0	0	0	0	13	0	1	0	109	0	0	0	1	0	0	2	0	1	0	0	0	0	209	0	2	0	25	2	0	0	24	14	3	0	1	1	1	0	0	6	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	200	"AWI"	200	1743	2993	2342	0	47	0	1	0	1	0	39	0	0	38	0	1	0	139	0	0	78	0	0	0	0	0	0	0	10	0	0	1	50	0	0	0	0	0	1	0	0	0	0	0	2	0	121	0	0	2	35	8	0	1	18	15	0	0	0	0	1	0	2	5	2	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	208	"AWI"	208	1845	3079	2438	0	74	0	2	0	0	0	48	0	0	0	0	0	0	192	0	0	49	0	0	0	0	0	0	0	29	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	31	6	0	2	14	25	0	0	0	7	2	0	0	10	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	216	"AWI"	216	1932	3175	2535	0	61	0	1	0	0	0	57	0	0	0	0	1	0	229	0	1	22	0	0	0	0	0	0	0	50	0	0	0	110	0	0	0	0	0	2	1	0	0	0	0	1	0	81	0	1	0	38	3	0	0	2	15	0	0	2	2	10	0	0	35	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	224	"AWI"	224	2029	3269	2636	1	68	0	0	0	0	0	58	0	0	0	0	0	0	243	0	0	27	0	0	0	0	0	0	0	55	0	0	0	128	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	41	1	0	1	3	11	0	0	0	4	15	0	0	30	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	232	"AWI"	232	2125	3361	2736	0	62	0	2	0	1	0	61	0	0	0	0	1	0	230	0	2	8	0	0	0	0	0	0	0	68	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	50	0	0	2	0	6	1	0	2	0	10	0	0	58	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	240	"AWI"	240	2213	3450	2833	0	50	0	0	0	0	0	75	0	0	0	0	1	0	265	0	1	5	0	0	0	0	0	0	0	66	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	49	4	0	0	0	5	0	0	0	0	11	0	0	63	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	248	"AWI"	248	2321	3538	2933	0	50	0	1	0	0	0	67	0	0	0	0	0	0	288	0	0	7	0	0	0	0	0	0	0	62	0	1	0	33	0	0	0	0	0	0	0	0	0	0	0	0.5	0	22	0	0	0	41	0	0	2	2	15	0	0	0	0	10	0	0	60	0	1
9812	14512	"Cornaher Lough"	53.365506	-7.412886	256	"AWI"	256	2421	3630	3030	0	63	0	0	0	0	0	57	0	0	0	0	0	0	285	0	0	17	0	0	0	0	0	0	0	67	0	0	1	56	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	0	0	46	5	0	0	0	14	4	0	0	4	10	0	0	25	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	264	"AWI"	264	2509	3735	3130	0	46	0	1	3	0	0	69	0	0	0	0	0	0	287	0	2	16	0	0	0	0	0	0	0	41	0	0	3	30	0	1	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	41	5	0	0	7	7	0	0	1	0	7	0	0	18	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	272	"AWI"	272	2605	3830	3227	0	115	1	0	2	0	0	52	0	0	0	0	0	0	246	0	0	22	0	0	0	0	0	0	0	48	0	0	6	37	0	0	0	0	2	0	2	0	0	0	0	0.5	0	30	0	1	0	67	4	0	0	0	4	2	0	0	1	12	0	0	31	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	280	"AWI"	280	2702	3929	3322	0	99	0	0	2	1	0	99	0	0	0	0	1	0	292	0	0	13	0	0	0	0	0	0	0	29	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	1	0	64	2	0	2	5	3	2	0	0	1	10	0	1	39	1	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	288	"AWI"	288	2821	4015	3421	0	108	0	0	2	0	0	58	0	0	0	0	0	0	258	0	0	17	0	0	0	0	0	1	0	55	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	46	3	0	1	0	0	1	0	0	1	0	0	0	30	0	0
9812	14512	"Cornaher Lough"	53.365506	-7.412886	296	"AWI"	296	2924	4098	3520	0	120	0	0	1	1	0	56	0	0	0	0	0	0	272	0	0	13	0	0	0	0	0	0	0	38	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	0	35	1	0	0	9	4	0	0	0	0	0	0	0	15	0	0
