"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14544	22795	"Gondo Alpjen"	46.21167	8.11333	0	"AWI"	0	-90	72	-10	0	0	0	4	0	38	0	0	6	0	1	0	2	0	0	0	0	0	3	204	0	0	0	0	0	1	0	0	0	2	0	0	0	0	17	76	8	0	0	0	1	0	1	0	0	16	0	0	0	0	0	0	0	6	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	20	"AWI"	20	56	731	301	3	0	0	0	0	12	2	0	6	0	6	0	9	2	0	7	0	0	6	198	0	0	0	0	7	0	0	3	1	10	0	0	0	0	15	0	0	232	1	0	10	0	0	14	0	11	0	0	0	0	0	0	0	1	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	35	"AWI"	35	202	1028	570	3	0	10	0	0	22	0	0	2	0	4	1	2	1	0	3	6	0	0	399	0	0	0	0	2	0	0	3	1	12	0	0	0	0	20	54	0	0	1	2	12	0	0	0	2	13	0	0	1	0	0	0	0	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	45	"AWI"	45	306	1167	756	7	0	0	0	0	10	2	0	1	0	6	0	0	1	0	1	0	2	3	276	0	0	0	0	6	0	0	7	0	29	0	0	0	0	50	0	0	0	0	0	10	0	0	0	2	4	0	0	0	1	0	0	0	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	55	"AWI"	55	510	1284	928	3	0	14	0	0	11	0	0	1	0	3	0	12	1	0	5	1	0	4	137	0	0	0	0	2	0	0	5	2	13	0	0	0	0	29	0	0	0	0	0	12	0	0	0	1	3	0	0	0	0	0	0	2	0	1
14544	22795	"Gondo Alpjen"	46.21167	8.11333	65	"AWI"	65	702	1425	1101	8	0	0	0	0	2	0	0	0	0	1	0	4	0	0	4	0	0	9	23	0	0	1	0	1	0	0	2	0	4	0	0	0	0	58	0	0	0	0	0	1	0	0	0	1	4	1	0	0	0	0	0	0	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	75	"AWI"	75	973	1516	1264	35	1	113	0	0	2	0	1	6	0	17	0	0	0	0	5	20	0	10	201	0	0	0	0	10	2	1	10	2	16	0	0	0	0	130	103	0	0	0	0	38	0	0	0	0	3	7	0	1	0	0	0	1	2	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	85	"AWI"	85	1110	1726	1417	10	0	0	0	0	1	0	0	3	0	10	0	1	0	0	2	0	0	12	247	0	0	0	0	9	1	0	1	0	8	0	0	0	0	103	0	0	0	0	0	19	0	1	0	1	1	2	0	0	0	0	0	0	1	1
14544	22795	"Gondo Alpjen"	46.21167	8.11333	95	"AWI"	95	1199	2060	1561	17	0	76	0	0	3	0	0	2	0	14	1	0	0	0	0	0	0	6	78	0	0	0	0	10	1	0	0	4	12	0	0	0	0	123	0	0	0	0	0	39	0	0	0	0	3	6	0	0	0	1	0	2	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	105	"AWI"	105	1314	2238	1722	7	1	0	5	0	1	0	0	0	0	11	0	1	0	0	1	0	0	3	263	0	0	0	0	17	2	0	1	1	4	0	0	0	0	77	0	0	0	0	0	29	6	0	0	4	10	1	0	0	0	1	0	1	0	1
14544	22795	"Gondo Alpjen"	46.21167	8.11333	115	"AWI"	115	1442	2434	1883	18	2	159	1	0	5	0	0	3	0	5	0	1	0	0	0	1	0	8	328	0	0	0	0	12	2	0	0	0	9	0	0	1	0	96	124	0	0	0	0	23	0	1	0	0	2	2	0	0	0	0	0	1	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	125	"AWI"	125	1542	2635	2052	15	2	0	0	0	1	0	0	1	0	13	1	2	0	0	1	0	0	6	129	0	0	0	0	5	0	0	0	1	4	0	0	1	0	125	80	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	135	"AWI"	135	1713	2752	2223	18	3	33	0	0	1	0	0	1	0	6	0	0	1	0	0	0	0	11	97	0	0	0	0	3	0	0	0	0	4	0	0	0	0	164	0	0	0	0	0	13	0	0	0	0	1	1	0	0	0	0	0	1	0	0
14544	22795	"Gondo Alpjen"	46.21167	8.11333	145	"AWI"	145	1855	2914	2390	13	0	0	0	0	4	0	0	1	0	2	0	1	0	0	1	0	0	0	131	0	0	0	0	7	2	0	0	0	1	0	0	0	0	60	30	0	0	0	0	10	0	0	2	0	1	0	0	0	0	0	0	0	0	0
