"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Tamarix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	4	"AWI"	4	-81	149	13	2	0	158	2	1	0	1	0	40	5	0	0	1	0	0	0	6	0	13	105	0	0	0	12	2	6	0	0	0	1	1	0	0	12	0	2	38	0	0	97	0	0	0	2	67	4	1	0	0	7	3	0	0	0	0	0	0	0	0	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	8	"AWI"	8	-35	245	86	1	0	162	2	0	1	0	0	38	4	0	0	0	0	1	0	8	0	17	127	0	0	0	33	2	2	1	0	1	2	1	0	0	14	1	2	40	0	0	93	0	0	0	2	61	4	0	0	2	5	2	0	1	0	0	0	1	3	0	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	12	"AWI"	12	14	325	156	1	0	72	3	1	0	2	0	32	3	1	0	0	0	1	0	9	0	20	144	0	0	0	41	0	1	0	0	0	0	0	0	0	23	1	2	11	0	0	46	0	0	0	0	52	5	0	0	2	9	0	0	0	0	0	0	0	1	0	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	16	"AWI"	16	67	391	229	0	0	35	1	0	0	1	0	29	3	1	0	2	0	0	0	7	0	26	101	3	0	0	47	0	1	0	0	0	0	0	1	0	13	0	3	15	0	0	74	0	0	0	0	58	5	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	20	"AWI"	20	125	450	300	0	0	52	2	1	0	1	0	32	1	0	0	2	0	0	0	4	0	21	91	2	0	0	59	0	0	0	0	3	0	0	0	0	23	0	1	7	0	0	60	0	0	0	1	45	0	0	0	0	8	0	0	1	0	0	0	1	0	0	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	24	"AWI"	24	211	493	375	0	0	95	1	1	0	0	0	33	7	0	0	5	0	2	0	9	0	21	102	0	0	0	61	0	0	0	1	2	0	0	0	0	25	1	0	5	0	0	78	0	0	0	0	48	1	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	28	"AWI"	28	312	546	441	1	0	75	1	1	0	1	0	26	2	0	0	8	0	0	3	12	0	35	57	2	1	0	140	0	0	1	0	1	1	0	0	0	54	0	1	9	13	0	63	0	0	0	2	118	9	0	0	1	8	6	0	0	0	0	0	0	2	0	0	1
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	32	"AWI"	32	436	610	510	0	1	51	0	1	0	3	0	38	4	0	0	11	0	1	1	5	0	38	20	2	0	0	116	1	0	0	0	3	2	0	0	0	41	0	0	9	8	0	61	0	0	0	0	157	8	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	36	"AWI"	36	500	715	587	0	0	66	1	0	0	2	0	107	1	0	0	3	0	0	1	5	0	41	26	0	0	0	62	2	0	1	0	2	3	0	0	0	28	0	1	7	0	0	97	0	0	0	1	124	5	0	0	1	4	12	0	0	0	0	0	0	0	0	1	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	38	"AWI"	38	523	780	629	2	0	54	0	3	0	2	0	123	0	0	1	2	0	0	0	5	0	23	12	0	1	0	41	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	46	0	0	0	0	68	0	0	0	1	3	7	0	0	0	0	0	0	2	1	0	0
16134	24929	"Tourbière du Mou de Pleure"	46.91389	5.45056	40	"AWI"	40	540	874	668	1	0	78	0	0	0	2	0	131	0	1	1	11	0	0	0	16	0	15	24	0	0	0	35	1	0	0	0	1	0	0	0	0	25	0	0	1	0	0	81	0	0	0	0	75	1	0	0	1	6	30	0	0	0	0	0	0	2	0	0	1
