"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Malus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
3377	4378	"Režabinec"	49.250916	14.087762	0	"AWI"	0	-123	43	-32	0	11	2	1	3	0	354	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	169	0	0	0	0	0	4	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0
3377	4378	"Režabinec"	49.250916	14.087762	5	"AWI"	5	-73	217	38	0	7	1	1	2	0	322	0	0	0	0	0	0	1	0	18	0	0	2	1	1	0	0	0	0	0	3	0	0	1	11	101	0	0	0	0	4	10	0	0	0	0	4	2	1	0	0	0	0	0	3	2	0
3377	4378	"Režabinec"	49.250916	14.087762	10	"AWI"	10	-51	461	105	0	12	3	5	1	0	264	0	0	0	0	0	0	0	4	32	0	0	2	0	1	0	0	0	0	0	0	0	0	1	23	130	0	0	0	1	0	4	0	0	0	21	15	2	0	0	0	0	0	0	0	0	0
3377	4378	"Režabinec"	49.250916	14.087762	15	"AWI"	15	2	546	191	0	7	1	3	1	0	90	0	0	0	0	0	0	0	6	119	0	0	1	0	2	0	0	0	0	0	0	0	0	0	68	263	0	0	0	2	0	2	0	0	0	2	16	3	0	0	0	0	2	0	0	2	0
3377	4378	"Režabinec"	49.250916	14.087762	20	"AWI"	20	36	688	270	3	11	8	7	2	0	39	0	0	0	0	0	0	0	7	216	0	0	1	0	3	0	0	80	0	0	0	0	0	0	274	2	0	0	0	8	0	1	0	0	0	0	24	1	0	0	0	0	0	0	0	2	0
3377	4378	"Režabinec"	49.250916	14.087762	25	"AWI"	25	98	774	355	11	19	4	5	2	0	26	0	0	0	2	0	0	0	4	388	0	0	2	0	2	0	0	6	0	0	0	0	0	1	62	300	0	0	0	1	2	11	0	0	0	0	18	0	0	0	1	0	0	0	2	0	1
3377	4378	"Režabinec"	49.250916	14.087762	30	"AWI"	30	135	886	438	13	13	1	5	1	0	39	0	0	0	0	0	0	0	9	442	0	0	2	0	1	0	0	7	0	0	0	0	1	0	66	289	0	0	0	2	0	14	0	0	0	0	31	1	1	1	0	0	0	0	2	1	0
3377	4378	"Režabinec"	49.250916	14.087762	35	"AWI"	35	218	969	520	21	0	0	0	1	0	30	0	1	0	0	0	0	0	15	367	2	0	5	0	0	0	1	11	0	0	0	1	0	1	66	265	0	0	0	1	0	12	0	0	0	3	17	2	0	1	0	0	1	0	3	5	0
3377	4378	"Režabinec"	49.250916	14.087762	40	"AWI"	40	258	1085	600	22	13	1	2	0	0	36	0	0	1	0	0	0	0	15	259	2	0	7	0	1	0	0	14	0	0	0	0	0	0	54	277	0	0	0	0	0	12	0	0	0	2	21	4	1	0	0	0	1	0	2	2	0
3377	4378	"Režabinec"	49.250916	14.087762	45	"AWI"	45	345	1164	679	17	17	2	0	1	0	30	3	0	2	0	3	1	0	7	354	0	5	9	0	0	0	0	13	0	0	0	0	1	3	39	267	9	0	0	1	0	18	0	0	0	0	19	2	0	0	0	0	0	0	0	3	0
3377	4378	"Režabinec"	49.250916	14.087762	50	"AWI"	50	389	1278	765	14	17	4	3	0	0	34	0	0	2	0	0	0	0	16	173	0	0	18	0	0	0	0	12	0	0	0	0	0	0	37	269	0	0	0	0	0	24	0	0	0	3	12	2	0	0	0	3	1	0	0	3	0
3377	4378	"Režabinec"	49.250916	14.087762	55	"AWI"	55	495	1401	843	13	5	2	4	2	0	26	0	1	1	0	0	1	0	25	263	0	0	4	0	0	0	0	5	0	0	0	0	0	0	30	319	0	0	0	0	0	14	0	0	0	1	11	1	0	0	1	0	0	0	1	3	0
3377	4378	"Režabinec"	49.250916	14.087762	60	"AWI"	60	552	1531	929	18	6	1	2	2	0	13	0	0	1	0	0	0	0	5	201	0	0	7	0	1	0	2	5	0	0	0	0	0	0	56	319	0	0	0	0	0	9	0	0	0	1	3	3	0	0	1	1	0	0	2	3	0
3377	4378	"Režabinec"	49.250916	14.087762	65	"AWI"	65	675	1624	1004	17	15	0	0	2	0	18	0	0	0	0	0	0	0	2	290	0	0	4	0	0	0	0	13	0	0	0	0	0	1	41	289	0	0	0	0	0	18	0	0	0	1	13	3	0	0	0	0	0	0	0	4	0
3377	4378	"Režabinec"	49.250916	14.087762	70	"AWI"	70	745	1733	1085	22	8	0	0	2	0	15	0	0	0	0	0	0	0	5	108	0	0	3	0	0	1	0	0	0	0	0	0	0	1	47	293	0	0	0	0	0	2	0	0	0	1	2	3	0	1	0	0	2	0	0	2	0
3377	4378	"Režabinec"	49.250916	14.087762	75	"AWI"	75	1031	1935	1228	28	23	0	4	6	0	32	0	0	1	0	0	2	0	11	269	0	0	5	0	0	0	0	0	0	0	0	0	0	1	70	221	0	0	0	2	0	9	0	0	0	6	12	4	0	0	0	0	4	0	3	3	0
3377	4378	"Režabinec"	49.250916	14.087762	80	"AWI"	80	1119	2177	1367	22	58	0	1	1	0	44	0	0	0	0	0	0	0	31	41	0	0	5	0	0	0	0	0	0	0	0	0	0	0	103	157	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	6	0	2	0	0
3377	4378	"Režabinec"	49.250916	14.087762	85	"AWI"	85	1731	2533	2138	20	104	0	0	0	0	33	0	0	0	0	0	0	0	15	16	0	0	4	0	0	0	0	0	0	1	0	0	0	0	142	164	0	0	0	0	0	15	0	0	0	2	1	1	0	0	0	0	5	0	6	0	0
3377	4378	"Režabinec"	49.250916	14.087762	90	"AWI"	90	2117	3381	2871	38	100	0	0	1	0	52	0	1	0	0	0	0	0	15	18	0	0	26	1	0	0	0	0	0	0	0	0	0	0	119	121	0	0	0	1	0	24	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
3377	4378	"Režabinec"	49.250916	14.087762	95	"AWI"	95	2394	3588	3061	47	53	0	2	1	0	92	0	0	0	0	0	0	0	17	24	0	0	16	0	0	0	0	0	0	0	0	0	0	0	41	333	0	0	0	0	0	21	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0
3377	4378	"Režabinec"	49.250916	14.087762	100	"AWI"	100	2561	3930	3232	42	25	2	5	3	0	29	0	0	0	0	0	0	0	8	161	0	0	2	0	0	0	0	0	0	0	0	0	0	0	30	316	0	0	0	2	0	12	0	0	0	9	2	3	0	0	0	0	1	0	1	0	0
3377	4378	"Režabinec"	49.250916	14.087762	105	"AWI"	105	2905	4123	3415	17	42	0	4	3	0	23	0	0	0	0	0	0	0	12	33	0	0	2	0	0	0	0	1	0	0	0	0	0	0	16	290	0	0	0	0	0	8	0	0	0	3	0	2	0	0	0	0	4	0	4	0	0
3377	4378	"Režabinec"	49.250916	14.087762	110	"AWI"	110	3108	4447	3611	17	61	0	1	0	0	43	0	0	0	0	0	0	0	17	35	0	0	2	0	1	0	0	0	0	0	0	0	0	0	20	366	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0
3377	4378	"Režabinec"	49.250916	14.087762	115	"AWI"	115	4236	4964	4543	31	46	1	3	2	0	62	0	0	0	0	0	0	0	15	28	0	0	3	0	2	0	0	0	0	0	0	0	0	0	18	339	0	0	0	2	0	7	0	0	0	1	0	2	0	0	0	0	2	0	1	0	0
3377	4378	"Režabinec"	49.250916	14.087762	120	"AWI"	120	5132	5751	5465	0	6	1	20	5	0	119	0	0	0	0	0	0	0	1	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	447	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
