"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fraxinus"	"Juniperus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26024	45107	"Lake Gramousti"	39.885	20.59528	174	"AWI"	174	702	2027	1419	0	0	1.18343195266272	18.3431952662722	0.591715976331361	0	0.591715976331361	0	0	4.14201183431953	0	0.591715976331361	0	2.36686390532544	3.55029585798817	2.36686390532544	6.50887573964497	0	0	10.0591715976331	0	48.5207100591716	0	1.18343195266272	0	0	0	0	0
26024	45107	"Lake Gramousti"	39.885	20.59528	206	"AWI"	206	1173	2231	1677	0	2.45614035087719	1.40350877192982	3.85964912280702	0	4.21052631578947	0	0.350877192982456	1.40350877192982	4.21052631578947	0.350877192982456	0	0	0.701754385964912	1.40350877192982	0	1.05263157894737	0	0	34.7368421052632	15.4385964912281	18.2456140350877	9.82456140350877	0	0.350877192982456	0	0	0	0
26024	45107	"Lake Gramousti"	39.885	20.59528	238	"AWI"	238	1460	2542	1953	0.961538461538462	1.44230769230769	1.44230769230769	7.21153846153846	0	4.32692307692308	0.961538461538462	0.961538461538462	1.44230769230769	10.5769230769231	0	0	0	1.44230769230769	0.961538461538462	2.40384615384615	3.36538461538462	0	0	17.7884615384615	0	41.8269230769231	0.480769230769231	0.480769230769231	0.480769230769231	1.44230769230769	0	0	0
26024	45107	"Lake Gramousti"	39.885	20.59528	270	"AWI"	270	1638	2928	2218	0.675675675675676	2.36486486486486	1.01351351351351	7.09459459459459	0.337837837837838	3.71621621621622	0	0	1.01351351351351	1.01351351351351	0	0.675675675675676	0	0.337837837837838	7.09459459459459	1.68918918918919	8.10810810810811	0	0	14.1891891891892	1.35135135135135	43.5810810810811	2.7027027027027	0.337837837837838	1.68918918918919	0	0.675675675675676	0.337837837837838	0
26024	45107	"Lake Gramousti"	39.885	20.59528	284	"AWI"	284	1698	3142	2324	0.480769230769231	0.480769230769231	0	11.5384615384615	0.480769230769231	6.00961538461539	0.240384615384615	0.480769230769231	0.240384615384615	3.84615384615385	0	0	0	0.480769230769231	2.40384615384615	0.961538461538462	6.73076923076923	0	0	16.5865384615385	1.44230769230769	43.0288461538462	1.20192307692308	0	0.480769230769231	0.721153846153846	0.240384615384615	1.68269230769231	0.240384615384615
26024	45107	"Lake Gramousti"	39.885	20.59528	302	"AWI"	302	1755	3496	2454	2.19298245614035	0	0	36.4035087719298	0.43859649122807	4.3859649122807	2.63157894736842	0	0	2.63157894736842	0	0	0	0	3.07017543859649	0.43859649122807	7.01754385964912	0	0	24.5614035087719	0.43859649122807	15.7894736842105	0	0	0	0	0	0	0
26024	45107	"Lake Gramousti"	39.885	20.59528	316	"AWI"	316	1843	3619	2571	2.48138957816377	0.744416873449132	0.496277915632754	25.3101736972705	0.248138957816377	0	0.496277915632754	0.744416873449132	0	13.8957816377171	0	0	0	0.248138957816377	2.97766749379653	0.744416873449132	5.70719602977668	0	0	16.3771712158809	1.73697270471464	20.5955334987593	6.20347394540943	0	0	0	0.744416873449132	0.248138957816377	0
26024	45107	"Lake Gramousti"	39.885	20.59528	338	"AWI"	338	1964	3827	2757	0	1.14285714285714	0	2.28571428571429	0	2.57142857142857	0	0.571428571428571	3.42857142857143	6.85714285714286	0	0	0	0.285714285714286	8.57142857142857	1.14285714285714	8.57142857142857	0	0	18	3.71428571428571	38.2857142857143	1.71428571428571	0.285714285714286	0	0.285714285714286	1.14285714285714	0	1.14285714285714
26024	45107	"Lake Gramousti"	39.885	20.59528	366	"AWI"	366	2064	4198	2970	0.955414012738854	1.91082802547771	0.955414012738854	1.59235668789809	0.955414012738854	0	0.636942675159236	0.318471337579618	4.77707006369427	12.7388535031847	0	0	0	0	3.18471337579618	1.27388535031847	4.77707006369427	0	0	15.9235668789809	3.18471337579618	45.5414012738853	0	0.636942675159236	0	0.636942675159236	0	0	0
26024	45107	"Lake Gramousti"	39.885	20.59528	398	"AWI"	398	2289	4443	3258	0.333333333333333	1.33333333333333	0.666666666666667	12.3333333333333	0	0	0	0	1	7.66666666666667	0	0	0	0	11	0.666666666666667	6	0	0	15.3333333333333	0.666666666666667	37	1.66666666666667	0.333333333333333	0	0.333333333333333	2.66666666666667	0	1
26024	45107	"Lake Gramousti"	39.885	20.59528	412	"AWI"	412	2353	4602	3374	0	2.06489675516224	2.94985250737463	5.30973451327434	0	2.65486725663717	0	0	1.76991150442478	7.66961651917404	0.294985250737463	0.294985250737463	1.47492625368732	0.589970501474926	9.43952802359882	0.884955752212389	2.06489675516224	0	0	28.023598820059	1.17994100294985	29.7935103244838	0	0	0.589970501474926	0	1.17994100294985	0	1.76991150442478
26024	45107	"Lake Gramousti"	39.885	20.59528	430	"AWI"	430	2439	4810	3526	0	0	5.40540540540541	1.35135135135135	0	0	2.02702702702703	0	0	17.5675675675676	0	0	0	0	4.72972972972973	1.35135135135135	11.4864864864865	0	0	22.2972972972973	0	33.1081081081081	0	0	0	0	0	0	0.675675675675676
