"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14467	22648	"Pryskyricný dul"	50.89304	14.40634	0	"AWI"	0	-91	-47	-67	5	0	14	2	0	2	0	79	0	4	1	0	0	5	8	0	0	42	2	0	0	0	0	0	0	14	5	0	182	0	0	0	0	23	0	0	0	0	3	0	0	0	0	0	1	2	5
14467	22648	"Pryskyricný dul"	50.89304	14.40634	2	"AWI"	2	-69	-45	-54	2	0	3	1	0	1	0	56	0	0	0	0	0	8	6	0	0	62	0	2	0	0	1	0	0	1	3	0	140	0	0	0	0	21	0	0	0	0	2	0	0	0	1	0	0	3	3
14467	22648	"Pryskyricný dul"	50.89304	14.40634	4	"AWI"	4	-48	-34	-44	0	3	27	2	1	6	0	89	0	4	0	0	0	4	3	0	0	16	0	2	0	0	0	0	0	0	6	0	291	0	0	0	0	11	0	0	0	0	1	0	0	2	0	0	2	2	15
14467	22648	"Pryskyricný dul"	50.89304	14.40634	6	"AWI"	6	-42	-20	-36	0	0	10	1	0	1	0	49	0	1	0	0	0	3	0	0	0	22	0	2	0	0	0	0	0	0	6	0	211	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	10
14467	22648	"Pryskyricný dul"	50.89304	14.40634	8	"AWI"	8	-38	-16	-30	0	2	24	0	0	0	0	80	0	1	0	0	0	6	3	0	0	24	0	1	0	0	0	0	0	0	4	0	152	0	0	0	0	27	0	0	0	0	1	0	0	0	1	0	1	0	1
14467	22648	"Pryskyricný dul"	50.89304	14.40634	10	"AWI"	10	-33	-11	-24	5	2	12	1	0	4	0	157	0	4	0	0	0	2	2	0	0	21	1	5	0	0	1	0	0	1	1	0	85	0	0	0	4	32	0	0	0	0	1	0	0	0	0	0	1	1	57
14467	22648	"Pryskyricný dul"	50.89304	14.40634	12	"AWI"	12	-25	-3	-16	2	0	15	2	0	4	0	116	0	0	0	0	0	11	2	0	0	5	0	1	0	0	1	0	0	0	4	0	276	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	2	1	0
14467	22648	"Pryskyricný dul"	50.89304	14.40634	14	"AWI"	14	-18	6	-7	1	1	14	2	0	6	0	106	0	2	0	0	0	6	8	14	0	5	0	3	0	0	0	0	0	0	3	69	167	0	0	0	2	12	0	0	0	0	2	0	0	0	3	0	0	1	4
14467	22648	"Pryskyricný dul"	50.89304	14.40634	16	"AWI"	16	-9	15	2	4	1	20	4	2	0	0	83	0	0	0	0	0	31	7	0	0	9	1	0	0	0	1	0	0	1	4	0	121	0	0	0	1	13	0	0	0	0	5	0	0	0	0	0	7	1	0
14467	22648	"Pryskyricný dul"	50.89304	14.40634	18	"AWI"	18	2	25	13	0	0	2	0	1	0	0	19	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1	1	0	47	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
