"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3507	4533	"Willingham Mere"	52.340714	0.053948	46	"AWI"	46	-46	407	104	0	0	7	4	4	0	1	0	1	10	0	0	0	17	0	103	1	0	0	0	0	3	0	0	1	0	0	0	0	100	0	22	1	0	3	0	7	0	0	0	0	0	1	0	0	1
3507	4533	"Willingham Mere"	52.340714	0.053948	50	"AWI"	50	8	598	221	0	0	5	1	3	0	1	0	4	6	0	0	0	22	0	93	1	0	0	2	0	1	0	0	1	2	0	1	0	140	0	33	0	0	0	0	2	0	0	0	1	0	0	0	0	1
3507	4533	"Willingham Mere"	52.340714	0.053948	54	"AWI"	54	80	733	349	0	0	4	1	11	0	1	0	3	4	0	0	0	18	0	124	0	0	0	2	0	1	0	0	0	0	0	1	0	104	0	22	1	0	4	0	1	0	0	0	0	1	0	0	2	2
3507	4533	"Willingham Mere"	52.340714	0.053948	58	"AWI"	58	175	879	477	0	0	2	2	7	0	0	0	2	3	1	0	0	15	0	118	0	0	0	2	1	0	0	0	0	0	0	2	0	80	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	1
3507	4533	"Willingham Mere"	52.340714	0.053948	62	"AWI"	62	271	1006	604	0	1	3	7	6	0	1	0	2	6	0	0	0	1	0	177	0	0	0	1	1	1	0	0	0	0	0	1	0	54	0	19	0	0	1	0	0	0	0	0	0	0	0	1	0	7
3507	4533	"Willingham Mere"	52.340714	0.053948	66	"AWI"	66	364	1145	726	0	0	2	1	2	0	0	0	1	2	0	0	0	0	0	65	0	0	0	0	1	1	0	0	0	0	0	2	0	36	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	6
3507	4533	"Willingham Mere"	52.340714	0.053948	70	"AWI"	70	453	1283	849	0	0	2	2	12	0	1	0	2	8	0	0	0	1	0	55	1	0	0	1	1	4	0	0	0	0	0	4	0	45	0	14	1	0	0	0	2	2	0	0	0	0	0	2	0	9
3507	4533	"Willingham Mere"	52.340714	0.053948	74	"AWI"	74	567	1375	978	0	0	1	2	9	0	0	0	3	1	0	0	0	3	0	94	0	0	0	0	1	5	0	0	1	0	0	9	0	81	0	22	0	0	0	0	10	0	1	1	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	78	"AWI"	78	695	1464	1102	0	0	1	1	5	0	1	0	0	6	1	0	0	1	0	42	0	0	0	0	0	7	0	0	0	1	0	1	0	49	0	10	0	0	1	0	3	0	0	0	0	0	0	0	0	16
3507	4533	"Willingham Mere"	52.340714	0.053948	82	"AWI"	82	811	1561	1222	0	0	6	2	6	0	0	0	5	5	0	0	0	5	0	102	0	0	0	0	6	1	0	0	0	0	0	2	0	0	0	22	1	0	1	0	14	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	86	"AWI"	86	944	1661	1347	0	0	8	2	5	1	1	0	10	1	0	0	0	36	0	81	1	0	0	2	2	0	0	0	3	0	0	3	0	0	0	26	0	0	0	0	5	0	0	0	0	0	0	0	0	2
3507	4533	"Willingham Mere"	52.340714	0.053948	90	"AWI"	90	1078	1753	1472	0	0	6	4	4	0	1	0	4	5	3	0	0	23	0	44	0	0	0	7	4	0	0	0	1	1	0	1	0	119	0	48	0	0	0	0	3	0	0	0	0	1	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	94	"AWI"	94	1245	1813	1589	0	0	14	1	5	0	10	0	8	9	0	0	0	27	1	14	1	0	0	0	6	3	0	0	0	0	0	0	0	108	0	60	0	0	2	0	7	1	0	0	0	0	1	0	0	5
3507	4533	"Willingham Mere"	52.340714	0.053948	98	"AWI"	98	1451	1882	1703	0	0	12	2	2	0	9	0	10	1	1	0	0	32	0	17	2	0	0	6	6	0	0	1	0	1	0	1	0	138	0	51	0	0	1	0	4	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	102	"AWI"	102	1564	1960	1794	0	0	13	0	4	0	5	0	9	3	1	0	0	28	0	16	1	0	0	3	9	2	0	0	0	0	0	1	0	133	0	49	0	0	0	0	6	0	0	0	0	0	0	0	1	1
3507	4533	"Willingham Mere"	52.340714	0.053948	106	"AWI"	106	1619	2068	1860	0	0	21	2	5	0	4	0	22	0	0	0	0	32	0	28	3	0	0	6	12	1	0	0	0	1	0	2	0	0	0	31	0	0	2	0	7	1	0	0	0	0	0	0	0	1
3507	4533	"Willingham Mere"	52.340714	0.053948	110	"AWI"	110	1670	2165	1925	0	0	13	0	4	0	1	0	15	0	0	0	0	34	0	39	0	0	0	3	5	0	0	0	0	0	0	0	0	128	0	28	3	0	0	0	5	0	0	0	2	1	2	0	1	3
3507	4533	"Willingham Mere"	52.340714	0.053948	114	"AWI"	114	1736	2239	1991	0	0	4	0	6	0	0	0	11	0	1	0	0	11	0	90	0	0	0	0	8	0	0	0	0	2	0	2	0	164	0	23	0	0	1	0	2	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	118	"AWI"	118	1801	2312	2060	0	0	7	3	1	0	1	0	6	0	0	0	0	14	1	39	2	0	0	0	3	0	0	0	0	0	0	0	0	174	0	19	1	0	0	0	1	0	0	0	0	0	1	1	1	0
3507	4533	"Willingham Mere"	52.340714	0.053948	122	"AWI"	122	1860	2386	2129	0	0	11	2	3	0	1	0	4	0	0	0	0	8	0	44	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	1	0	1	0	0	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	126	"AWI"	126	1926	2455	2195	0	0	4	3	7	0	0	0	7	3	0	0	0	9	0	36	0	0	0	1	4	0	0	0	0	0	0	0	0	174	0	15	5	0	1	0	1	0	0	0	0	0	0	1	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	130	"AWI"	130	1999	2526	2262	0	0	8	5	6	0	1	0	2	1	0	0	0	10	0	72	0	0	0	6	2	2	0	0	0	0	0	2	0	158	0	8	1	0	1	0	10	0	0	0	0	0	0	0	1	0
3507	4533	"Willingham Mere"	52.340714	0.053948	134	"AWI"	134	2074	2578	2331	0	0	6	1	2	0	0	0	5	1	0	0	0	7	0	65	0	0	0	2	2	1	0	0	0	0	0	2	0	0	0	16	2	0	1	0	2	0	0	0	0	0	0	2	2	0
3507	4533	"Willingham Mere"	52.340714	0.053948	138	"AWI"	138	2154	2630	2400	0	0	12	1	4	1	2	0	5	1	0	0	0	15	0	69	0	0	0	2	0	0	0	0	1	0	0	1	0	135	0	11	2	0	1	0	3	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	142	"AWI"	142	2224	2682	2469	0	0	24	5	1	0	0	0	1	2	0	1	0	21	0	76	0	0	0	1	2	5	0	0	0	0	1	1	0	0	2	21	0	0	1	0	8	0	0	0	0	1	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	146	"AWI"	146	2301	2734	2537	0	0	14	5	5	0	2	0	0	0	0	0	0	6	0	84	0	0	0	0	0	5	0	0	0	0	0	2	0	130	0	14	4	0	0	0	13	0	0	0	0	0	0	1	1	1
3507	4533	"Willingham Mere"	52.340714	0.053948	150	"AWI"	150	2370	2795	2610	0	0	22	2	12	0	2	0	6	6	0	0	0	15	0	96	0	0	0	1	0	11	0	0	0	0	0	0	0	113	0	28	0	0	0	0	16	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	154	"AWI"	154	2442	2861	2680	0	0	18	0	6	1	1	0	2	3	0	0	0	11	0	101	0	0	0	0	1	3	0	0	0	0	0	6	0	115	0	33	5	0	0	0	17	0	0	0	0	0	0	0	1	1
3507	4533	"Willingham Mere"	52.340714	0.053948	158	"AWI"	158	2496	2972	2747	0	0	41	4	10	0	5	0	1	3	0	0	0	13	0	41	0	0	0	1	1	1	0	1	0	0	0	2	0	74	0	26	13	0	1	0	36	0	0	0	0	0	1	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	162	"AWI"	162	2546	3077	2807	0	0	57	7	11	0	0	0	3	1	0	0	0	13	0	46	0	0	0	1	0	3	0	0	0	0	0	0	0	91	0	28	7	0	1	0	34	0	0	0	0	0	0	0	0	0
3507	4533	"Willingham Mere"	52.340714	0.053948	166	"AWI"	166	2588	3176	2866	0	0	101	2	11	0	4	0	4	7	0	0	0	20	0	8	1	0	0	0	0	7	0	0	0	0	0	2	0	0	0	45	3	0	0	0	42	1	0	0	0	0	1	2	4	0
3507	4533	"Willingham Mere"	52.340714	0.053948	170	"AWI"	170	2630	3282	2930	0	0	68	2	18	0	1	0	5	14	0	0	0	24	0	9	0	0	0	0	0	8	0	0	0	0	0	1	0	33	0	33	0	0	0	0	129	0	0	0	0	0	0	0	1	0
