"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3016	3930	"Biot"	43.8	7.1	1400	"AWI"	1400	5033	5550	5353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	1	1	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	75	0	0	1	0	0	0	72	14	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0
3016	3930	"Biot"	43.8	7.1	1440	"AWI"	1440	5093	5613	5423	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3016	3930	"Biot"	43.8	7.1	1460	"AWI"	1460	5119	5658	5453	13	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	71	0	0	0	0	0	0	15	8	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
3016	3930	"Biot"	43.8	7.1	1560	"AWI"	1560	5198	5969	5599	19	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	234	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3016	3930	"Biot"	43.8	7.1	1700	"AWI"	1700	5359	6344	5828	5	0	38	1	5	2	1	2	0	0	2	0	3	1	0	0	0	2	0	0	36	7	0	0	17	0	0	2	4	0	1	8	2	1	0	0	1	0	0	0	0	0	1	1	0	2	32	0	40	15	1	4	0	3	0	0	0	0	0	2	0	0	0	0	0	0
3016	3930	"Biot"	43.8	7.1	1720	"AWI"	1720	5403	6356	5864	12	0	43	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25	1	0	0	15	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	52	7	0	2	0	0	0	0	0	0	0	0	4	0	1	0	0	0
3016	3930	"Biot"	43.8	7.1	1740	"AWI"	1740	5448	6369	5902	5	1	32	0	7	2	0	1	1	0	0	0	2	1	0	1	0	1	0	0	32	3	0	0	12	1	0	0	3	1	0	11	0	0	0	0	0	2	0	0	0	36	3	1	0	0	0	1	26	32	0	2	0	1	1	1	0	0	1	1	0	0	0	1	0	0
3016	3930	"Biot"	43.8	7.1	1840	"AWI"	1840	5562	6465	6083	18	0	60	10	2	3	1	0	0	0	0	0	1	0	0	0	0	0	5	0	34	1	0	1	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	45	0	3	0	0	0	1	23	3	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	1
3016	3930	"Biot"	43.8	7.1	1880	"AWI"	1880	5612	6529	6157	8	0	87	4	6	2	0	0	0	0	1	0	2	1	0	0	0	0	0	0	61	7	0	0	10	0	2	0	3	0	0	2	2	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	94	7	0	8	0	1	0	5	0	0	0	1	1	0	1	1	0	0
3016	3930	"Biot"	43.8	7.1	1960	"AWI"	1960	5845	6620	6295	13	0	131	2	1	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	72	3	0	1	56	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	34	0	3	0	1	0	1	99	15	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0
3016	3930	"Biot"	43.8	7.1	1980	"AWI"	1980	5938	6637	6330	17	1	34	1	3	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	40	10	0	0	36	0	2	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	3	71	5	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0
3016	3930	"Biot"	43.8	7.1	2040	"AWI"	2040	6192	6687	6433	12	0	42	3	15	1	0	2	0	17	0	0	2	0	0	1	0	0	1	0	65	3	0	0	23	2	2	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	48	31	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2
3016	3930	"Biot"	43.8	7.1	2120	"AWI"	2120	6376	6839	6591	11	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	18	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	64	0	1	0	2	0	0	43	10	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2
3016	3930	"Biot"	43.8	7.1	2160	"AWI"	2160	6418	6979	6664	5	1	26	2	3	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	33	9	0	0	34	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	37	0	3	0	0	0	0	71	17	0	16	0	1	0	0	0	0	0	1	1	0	0	0	0	0
3016	3930	"Biot"	43.8	7.1	2180	"AWI"	2180	6443	7052	6703	7	2	55	4	5	2	0	6	1	0	3	0	4	0	0	0	0	0	0	0	40	3	0	1	12	2	2	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	37	0	50	5	0	8	13	0	0	0	0	0	1	2	1	0	2	1	1	1
3016	3930	"Biot"	43.8	7.1	2240	"AWI"	2240	6538	7250	6862	46	0	47	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	68	5	0	2	94	0	5	2	0	0	0	5	1	1	0	0	0	0	1	0	0	138	0	0	0	0	0	2	73	0	0	10	0	1	0	0	0	0	0	0	1	0	3	0	0	1
