"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Ilex"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16233	25127	"Etang paysan"	49.69611	-1.86722	5	"AWI"	5	-135	29	-47	9	3	19	1	1	0	5	0	3	10	5	31	0	0	0	0	0	1	0	0	8	4	57	0	49	0	2	0	3	0	0	1	0
16233	25127	"Etang paysan"	49.69611	-1.86722	15	"AWI"	15	-111	81	-18	5	0	4	0	2	0	1	0	4	6	7	20	0	0	0	0	0	0	3	0	6	4	133	0	11	0	1	4	1	0	0	2	0
16233	25127	"Etang paysan"	49.69611	-1.86722	30	"AWI"	30	-92	195	23	4	8	7	1	1	0	1	0	4	10	4	17	0	1	0	0	0	0	0	0	1	8	102	0	10	0	0	0	0	0	0	0	0
16233	25127	"Etang paysan"	49.69611	-1.86722	35	"AWI"	35	-86	236	37	2	1	3	0	0	17	3	0	5	10	1	11	0	1	0	0	0	0	0	0	0	7	134	0	16	0	5	0	1	0	0	0	0
16233	25127	"Etang paysan"	49.69611	-1.86722	40	"AWI"	40	-78	270	51	5	3	11	0	3	0	0	0	2	3	3	21	2	0	1	0	0	0	0	0	1	4	47	0	35	1	3	2	1	0	0	1	0
16233	25127	"Etang paysan"	49.69611	-1.86722	50	"AWI"	50	-45	291	83	1	0	2	1	1	0	1	0	1	7	0	9	0	0	0	0	0	0	0	0	0	2	118	0	13	9	1	3	0	0	0	1	0
16233	25127	"Etang paysan"	49.69611	-1.86722	75	"AWI"	75	0	389	163	4	0	4	1	1	15	0	0	0	2	2	26	0	0	0	0	0	0	0	0	1	4	0	0	34	4	0	4	0	0	0	1	0
16233	25127	"Etang paysan"	49.69611	-1.86722	85	"AWI"	85	46	421	202	3	1	1	0	1	0	0	0	0	2	3	21	0	0	0	0	0	0	0	0	0	4	0	0	11	0	4	0	3	0	0	0	0
16233	25127	"Etang paysan"	49.69611	-1.86722	120	"AWI"	120	208	660	415	4	3	2	0	3	61	2	0	0	4	3	18	4	1	0	0	0	0	0	0	0	5	60	0	9	0	4	0	0	1	0	1	2
16233	25127	"Etang paysan"	49.69611	-1.86722	140	"AWI"	140	378	1380	906	21	5	4	0	1	0	0	0	0	2	14	16	0	0	0	0	0	0	0	0	0	2	29	0	4	1	2	0	0	0	0	0	1
16233	25127	"Etang paysan"	49.69611	-1.86722	150	"AWI"	150	431	1794	1137	46	4	2	0	1	35	2	2	0	2	21	5	0	0	1	0	0	0	0	0	1	8	115	0	10	0	3	0	0	0	0	0	0
16233	25127	"Etang paysan"	49.69611	-1.86722	175	"AWI"	175	1295	2171	1720	97	0	2	3	0	9	3	0	2	0	28	22	0	0	0	0	4	0	0	0	1	3	24	0	18	0	2	0	0	0	1	0	0
16233	25127	"Etang paysan"	49.69611	-1.86722	188	"AWI"	188	1708	2318	2032	43	4	6	4	0	26	0	0	1	6	13	20	4	0	1	0	1	0	0	0	1	2	29	0	5	0	1	0	4	0	0	0	0
16233	25127	"Etang paysan"	49.69611	-1.86722	195	"AWI"	195	1856	2513	2197	90	1	0	1	0	0	14	0	1	1	50	6	0	0	0	1	4	0	0	4	1	0	0	0	27	0	0	0	0	0	1	0	0
