"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	26	"AWI"	26	2525	3333	3045	3	0	2	0	0	2	0	0	46	0	38	69	13	1	1	0	0	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	42	"AWI"	42	3111	3439	3338	8	0	1	0	0	0	0	0	18	0	122	146	4	0	0	0	1	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	48	"AWI"	48	3219	3473	3393	6	0	2	0	0	0	0	0	9	0	100	131	8	5	0	0	5	2
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	52	"AWI"	52	3266	3526	3427	6	0	0	2	0	0	0	0	6	0	60	135	5	2	0	0	2	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	59	"AWI"	59	3342	3609	3480	3	0	0	0	0	0	0	1	3	2	90	150	0	2	0	1	0	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	65	"AWI"	65	3422	3641	3521	10	1	0	0	0	0	0	3	9	3	30	103	9	0	4	1	5	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	73	"AWI"	73	3497	3699	3585	14	0	2	0	0	0	0	4	23	1	38	111	6	1	0	2	3	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	81	"AWI"	81	3550	3840	3678	24	1	2	0	0	0	0	7	94	0	54	100	4	0	0	1	10	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	89	"AWI"	89	3731	4047	3861	16	1	5	0	0	0	0	0	38	0	64	114	6	2	0	0	11	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	96	"AWI"	96	3920	4471	4167	25	0	5	0	0	0	0	2	34	0	71	55	12	0	0	0	19	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	102	"AWI"	102	4184	4961	4533	12	1	3	0	0	0	0	0	28	0	16	25	19	0	0	0	14	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	106	"AWI"	106	4836	5468	5163	16	1	1	0	0	0	0	5	70	0	4	24	21	0	0	0	11	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	114	"AWI"	114	5674	6907	6453	9	2	0	0	0	0	0	9	57	0	6	11	8	0	0	0	6	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	122	"AWI"	122	6036	7496	6920	3	0	2	0	0	0	0	0	44	0	3	1	41	0	0	0	3	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	131	"AWI"	131	6260	7965	7139	0	2	2	0	0	0	0	10	22	0	1	5	25	0	0	0	1	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	138	"AWI"	138	6478	8154	7324	3	3	5	0	0	0	1	6	55	0	7	7	83	0	0	0	4	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	144	"AWI"	144	6614	8391	7479	6	0	4	0	0	0	0	14	56	0	3	7	9	0	0	0	2	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	152	"AWI"	152	6866	8646	7681	3	2	1	0	0	0	0	1	28	0	15	17	99	0	0	0	0	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	159	"AWI"	159	7049	8902	7864	5	1	0	0	0	0	0	1	67	0	12	28	32	0	0	0	1	0
1121	4117	"Ivanovskoye Peat Bog"	56.81667	38.76667	164	"AWI"	164	7174	9071	8011	2	0	0	0	0	0	0	6	37	0	16	14	41	0	0	1	0	0
