"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Larix"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Tilia"	"Ulmus"
26146	45389	"Väike Juusa"	58.05917	26.51722	0	"AWI"	0	-139	29	-54	14.9905123339658	0	0.189753320683112	0.759013282732448	0.189753320683112	43.2637571157495	0	0	0	0	0	1.5180265654649	0	0.569259962049336	0	0.189753320683112	0.379506641366224	0	0	0	4.93358633776091	27.5142314990512	0	3.2258064516129	2.08728652751423	0	0	0	0.189753320683112	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	15	"AWI"	15	-71	466	82	20.0345423143351	0.518134715025907	0.172711571675302	1.72711571675302	0.172711571675302	31.0880829015544	0	0	0	0	0	0.518134715025907	0	0	0.863557858376511	0	0	0	0	0.172711571675302	10.0172711571675	24.006908462867	0.172711571675302	8.98100172711572	0.345423143350604	0	0	1.03626943005181	0	0	0	0.172711571675302
26146	45389	"Väike Juusa"	58.05917	26.51722	35	"AWI"	35	23	822	300	16.5501165501165	0	0	1.3986013986014	0.466200466200466	24.7086247086247	0	0	0	0	0	0.233100233100233	0.233100233100233	0.233100233100233	1.3986013986014	0	0	0	0	0.233100233100233	10.955710955711	25.1748251748252	0	13.986013986014	1.3986013986014	1.63170163170163	0	1.3986013986014	0	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	55	"AWI"	55	159	1122	545	19.1489361702128	0.654664484451719	0.16366612111293	2.29132569558101	0.327332242225859	27.0049099836334	0	0	0	0	0	0.654664484451719	0	0.490998363338789	0	0.16366612111293	0.16366612111293	0	0	0	7.03764320785597	25.69558101473	0.327332242225859	13.0932896890344	1.6366612111293	0.327332242225859	0.327332242225859	0	0.16366612111293	0	0.16366612111293	0.16366612111293
26146	45389	"Väike Juusa"	58.05917	26.51722	75	"AWI"	75	318	1379	777	16.2518301610542	0	0.146412884333821	2.34260614934114	0.146412884333821	31.0395314787701	0	0	0	0	0	0.439238653001464	0	0.878477306002928	0.146412884333821	0.146412884333821	0	0	0	0.146412884333821	3.80673499267936	18.3016105417277	1.31771595900439	20.6442166910688	2.48901903367496	0	0.292825768667643	0.878477306002928	0	0	0.292825768667643	0.292825768667643
26146	45389	"Väike Juusa"	58.05917	26.51722	95	"AWI"	95	500	1633	1013	20.695652173913	0.173913043478261	0.521739130434783	1.21739130434783	0.521739130434783	33.2173913043478	0	0	0	0	0	0.869565217391304	0	0.347826086956522	0	0.695652173913043	0.173913043478261	0	0	0	5.73913043478261	14.0869565217391	0.347826086956522	9.73913043478261	10.2608695652174	0	0	0.173913043478261	0.347826086956522	0	0	0.869565217391304
26146	45389	"Väike Juusa"	58.05917	26.51722	115	"AWI"	115	694	1883	1260	8.3495145631068	0	0.194174757281553	0.194174757281553	0	49.3203883495146	0	0.194174757281553	0	0	0	1.16504854368932	0	0.194174757281553	0	0	0.58252427184466	0	0	0.58252427184466	10.4854368932039	20.5825242718447	0	2.13592233009709	4.27184466019417	0	0	0	0	0	0.194174757281553	1.55339805825243
26146	45389	"Väike Juusa"	58.05917	26.51722	135	"AWI"	135	904	2119	1501	10.2661596958175	0	0.380228136882129	0.570342205323194	0	46.5779467680608	0	0	0	0.190114068441065	0	0.570342205323194	0	0.190114068441065	0	0	0.190114068441065	0	0	0.950570342205323	10.2661596958175	20.1520912547529	0	2.85171102661597	5.70342205323194	0.760456273764259	0	0	0	0	0	0.380228136882129
26146	45389	"Väike Juusa"	58.05917	26.51722	155	"AWI"	155	1132	2323	1738	11.7307692307692	0.192307692307692	0	0.192307692307692	0.192307692307692	53.6538461538462	0	0	0	0	0	0.192307692307692	0	0	0	0	0.576923076923077	0	0.192307692307692	0.769230769230769	8.65384615384615	17.6923076923077	0	3.07692307692308	2.11538461538462	0	0	0	0	0	0.192307692307692	0.576923076923077
26146	45389	"Väike Juusa"	58.05917	26.51722	175	"AWI"	175	1397	2513	1972	15.6673114119923	0	0	0.386847195357834	0.193423597678917	47.7756286266925	0	0	0	0	0	0.967117988394584	0	0.193423597678917	0	0	0.193423597678917	0	0	1.1605415860735	9.67117988394584	16.0541586073501	0	2.12765957446809	3.67504835589942	0.386847195357834	0	0	0	0	0.580270793036751	0.967117988394584
