"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3504	4529	"Welney Washes"	52.51667	0.25	309	"AWI"	309	3465	4169	3849	0	13.7254901960784	0.490196078431373	0	0	0.980392156862745	0	2.94117647058824	0	0.490196078431373	0	0	0	11.7647058823529	9.80392156862745	0	0	0	0	0	2.45098039215686	0	0	0	0	0	0	0	4.41176470588235	0	0	0	0	0	0	34.8039215686275	0	0	0	0	0	11.7647058823529	0	0	0	0	0	0	6.37254901960784	0	0	0
3504	4529	"Welney Washes"	52.51667	0.25	313	"AWI"	313	3544	4187	3898	0	46.4566929133858	0	0.393700787401575	0	0.393700787401575	0	0.78740157480315	0	0	0	0	0	5.11811023622047	9.84251968503937	0	0	0	0.78740157480315	0	0	0	0	0	0	0	0	0	4.33070866141732	0	0	0	0	0	0	19.2913385826772	0.393700787401575	0	0	0.393700787401575	0	5.51181102362205	0	0	0	0	0	0	4.33070866141732	1.5748031496063	0.393700787401575	0
3504	4529	"Welney Washes"	52.51667	0.25	317	"AWI"	317	3622	4204	3945	0	25	1.2987012987013	0.974025974025974	0	0.649350649350649	0	1.2987012987013	0	0.974025974025974	0	0	0	6.16883116883117	8.76623376623377	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24675324675325	0	0	24.025974025974	0	0	0	9.09090909090909	0	0	0	1.94805194805195	0	11.3636363636364	0	0	0	0	0	0	1.62337662337662	1.62337662337662	1.62337662337662	0.324675324675325
3504	4529	"Welney Washes"	52.51667	0.25	321	"AWI"	321	3673	4229	3995	0	31.4159292035398	1.32743362831858	0.884955752212389	0	0.884955752212389	0	3.53982300884956	0	3.98230088495575	0	0	0	15.929203539823	7.52212389380531	0	0	0	0.442477876106195	0	0	0	0	0	0	0	0	0	1.76991150442478	0	0	0	0	0	0	10.6194690265487	0	0	0	0.884955752212389	0	13.716814159292	0	0	0	0	0	0	3.53982300884956	2.21238938053097	1.32743362831858	0
3504	4529	"Welney Washes"	52.51667	0.25	325	"AWI"	325	3716	4264	4054	0	29.6803652968037	4.10958904109589	0	0	0.45662100456621	0	0	0	0	0	0	0	15.9817351598174	13.6986301369863	0	0	0	0	0	0.45662100456621	0	0	0	0	0	0	0	2.28310502283105	0	0	0	0	0	0	13.6986301369863	0	0	0	3.19634703196347	0	13.2420091324201	0	0	0	0	0.45662100456621	0	1.82648401826484	0.45662100456621	0.45662100456621	0
3504	4529	"Welney Washes"	52.51667	0.25	329	"AWI"	329	3749	4315	4109	0	18.4357541899441	12.8491620111732	0	0	0	0	0.558659217877095	0	0	0	0	0	19.5530726256983	15.0837988826816	0	0	0	0	0	0.558659217877095	0	0	0	0	0	0	0	3.35195530726257	0	0	0	0	0	0	20.1117318435754	0	0	0	3.91061452513966	0	1.11731843575419	0	0	0	0	0	0	2.79329608938547	1.67597765363128	0	0
3504	4529	"Welney Washes"	52.51667	0.25	331	"AWI"	331	3769	4352	4133	0	12.7962085308057	23.2227488151659	0	0.4739336492891	0.4739336492891	0	2.8436018957346	0	0	0	0	0	18.957345971564	7.58293838862559	0	0	0	0	0	0	0	0	0	0	0.4739336492891	0	0	0.947867298578199	0	0	0	0	0	0	26.0663507109005	0	0	0	0.4739336492891	0	0.4739336492891	0	0	0	0	0	0	3.3175355450237	1.8957345971564	0	0
3504	4529	"Welney Washes"	52.51667	0.25	335	"AWI"	335	3802	4418	4170	0	8.94941634241245	30.3501945525292	0	0	0.389105058365759	0	2.33463035019455	0	0	0	0	0	15.9533073929961	5.05836575875486	0	0	0	0	0	0.778210116731518	0	0	0	0	0	0	0.389105058365759	3.11284046692607	0	0	0	0	0	0	26.4591439688716	0	0	0	0	0	0.389105058365759	0	0	0	0	0	0	2.33463035019455	3.50194552529183	0	0
3504	4529	"Welney Washes"	52.51667	0.25	821	"AWI"	821	6234	6727	6488	0	18.6666666666667	1.77777777777778	0.444444444444444	0	0	0	1.77777777777778	0	0	0	0	0	44.8888888888889	15.5555555555556	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.88888888888889	0.444444444444444	0	0	0	0	0	0	0	0	0	0	0	1.77777777777778	1.77777777777778	0	0
3504	4529	"Welney Washes"	52.51667	0.25	825	"AWI"	825	6276	6738	6507	0	14.2857142857143	1.70068027210884	0	0	0	0	1.02040816326531	0	0	0	0	0	44.8979591836735	11.5646258503401	0	0	0	0	0	1.02040816326531	0	0	0	0	0	0	0	1.02040816326531	0	0	0	0	0	0	22.7891156462585	0	0	0	0	0	0.340136054421769	0	0	0	0	0	0	0.340136054421769	1.02040816326531	0	0
