"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24242	42673	"Huzenbacher See"	48.574426	8.348266	160	"AWI"	160	1211	2329	1775	0	0	32	1	0	0	0	2	0	63	0	0	3	0	0	1	45	60	0	0	16	0	0	64	4	6	0	0	0	13	2	1	0	0	1	11	0	25	156	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	165	"AWI"	165	1267	2390	1835	0	3	54	0	0	0	0	3	0	46	0	0	2	0	0	0	71	16	0	0	4	0	0	107	1	6	0	0	0	8	0	0	0	1	1	51	1	10	142	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	170	"AWI"	170	1334	2428	1895	0	0	27	1	0	0	0	0	0	26	0	0	4	0	0	0	35	44	0	0	17	0	0	77	0	6	0	0	0	10	1	0	0	0	1	23	0	37	148	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	175	"AWI"	175	1381	2479	1954	0	0	58	0	0	0	0	4	0	82	0	0	2	0	0	1	47	145	0	0	0	2	0	63	6	7	0	1	0	5	0	0	0	0	2	28	0	9	74	0	0	0	1	1	0	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	180	"AWI"	180	1439	2533	2012	0	1	76	0	0	0	0	1	0	44	0	0	3	0	0	0	53	121	0	1	4	0	0	57	0	1	0	0	1	2	0	0	0	0	0	8	0	3	86	0	0	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	185	"AWI"	185	1507	2570	2072	0	0	51	0	0	0	0	1	0	44	0	0	2	0	0	0	41	132	0	0	6	0	0	114	0	0	0	0	0	5	0	0	0	0	0	6	0	11	96	0	0	0	0	1	0	0	22	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	190	"AWI"	190	1554	2614	2131	0	0	20	0	0	0	0	0	0	24	0	0	0	0	0	0	43	100	0	0	9	0	0	89	0	0	1	0	0	3	0	0	0	0	0	8	0	3	111	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	195	"AWI"	195	1651	2650	2189	0	0	38	0	0	0	0	3	0	21	0	0	6	0	0	0	32	33	0	0	38	0	0	41	0	6	0	0	0	9	0	0	0	0	2	11	0	41	140	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	200	"AWI"	200	1729	2686	2249	0	0	48	0	0	0	0	1	0	19	0	0	3	0	0	0	46	38	0	0	47	0	0	46	0	2	0	0	0	11	3	0	0	0	4	12	0	26	150	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0
24242	42673	"Huzenbacher See"	48.574426	8.348266	205	"AWI"	205	1804	2738	2311	0	0	35	1	0	0	0	3	0	10	0	0	1	0	0	0	39	50	0	0	39	0	0	44	0	3	0	0	0	13	1	0	0	0	0	17	0	44	153	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0
