"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	40	"AWI"	40	536	708	615	2	0	6	5	1	0	1	0	8	0	0	0	0	0	1	1	0	0	22	0	0	0	75	0	0	42	0	1	0	0	2	0	0	0	0	0	0	5	3	0	0	61	0	0	24	0	1	0	0	1	6	2	0	0	0	0	0	1
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	45	"AWI"	45	574	797	673	1	0	11	1	6	0	2	0	17	0	1	0	1	0	1	3	0	0	25	0	0	0	87	0	0	46	2	1	0	0	1	0	0	0	0	0	0	7	2	0	0	43	0	0	24	0	0	1	0	0	9	0	1	0	0	0	0	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	50	"AWI"	50	590	942	726	20	0	22	0	0	0	2	0	15	0	0	0	1	0	0	1	0	0	19	0	0	0	22	0	0	115	5	0	0	0	0	0	0	0	0	0	0	3	3	0	0	46	0	0	36	0	3	0	0	1	7	0	0	0	0	0	4	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	55	"AWI"	55	637	996	791	9	0	13	0	1	0	1	0	14	1	0	0	0	0	0	0	0	0	17	0	0	0	26	0	0	107	0	0	0	0	2	1	0	0	0	0	0	3	2	0	0	68	0	1	32	0	0	0	0	1	5	3	0	0	1	0	1	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	60	"AWI"	60	660	1096	851	9	0	13	1	1	0	1	0	11	1	0	0	1	0	0	0	0	0	28	0	0	0	13	0	0	148	3	1	0	0	0	1	0	0	0	1	0	2	2	0	0	29	0	0	25	1	1	0	0	0	6	0	0	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	65	"AWI"	65	718	1135	913	24	1	13	0	0	0	4	0	12	1	0	0	0	0	0	2	0	0	22	0	0	0	29	0	0	89	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	38	0	0	22	0	1	0	0	0	15	0	0	0	0	0	0	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	70	"AWI"	70	754	1208	976	23	0	10	0	1	0	2	0	7	2	0	0	0	0	0	2	0	0	13	0	0	0	9	0	0	95	2	1	0	0	0	1	0	0	0	0	1	3	4	0	0	33	0	0	23	0	5	0	0	0	8	0	2	0	0	0	4	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	75	"AWI"	75	830	1242	1039	10	0	18	0	1	0	1	0	14	0	0	0	0	0	0	0	0	0	19	0	0	0	17	0	0	89	1	0	0	0	0	1	1	0	0	1	3	3	5	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	80	"AWI"	80	871	1298	1103	6	1	17	0	0	0	0	0	26	1	0	0	0	0	0	0	0	0	31	0	0	0	13	0	0	79	2	0	0	0	0	0	0	0	0	1	5	1	2	0	0	0	0	0	28	0	0	0	0	0	4	0	0	0	0	0	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	85	"AWI"	85	977	1331	1163	9	0	30	0	1	0	1	0	21	0	0	0	0	0	0	1	0	0	37	0	0	0	17	0	0	117	2	0	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0	0	33	0	0	0	0	0	0	2	0	0	0	0	0	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	90	"AWI"	90	1032	1394	1228	1	0	0	0	0	1	1	0	11	2	0	0	5	0	0	0	0	0	4	35	0	0	51	0	43	33	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	3	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	95	"AWI"	95	1130	1456	1296	4	0	26	0	1	0	2	0	17	0	0	0	2	0	0	2	0	0	32	2	0	0	20	0	0	105	3	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	1	34	0	0	0	0	1	0	0	0	0	0	0	1	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	100	"AWI"	100	1175	1561	1354	3	0	18	0	1	0	4	0	8	0	0	0	0	0	1	1	0	0	32	0	0	0	10	0	0	97	5	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	48	1	0	0	0	2	2	1	0	0	1	0	1	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	105	"AWI"	105	1229	1645	1422	9	0	6	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	7	1	0	0	5	0	0	90	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	1	0	0	0	0	4	0	0	0	0	0	0	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	110	"AWI"	110	1260	1796	1482	14	0	26	0	1	0	2	0	41	0	0	0	0	0	0	0	0	0	24	0	0	0	3	0	0	86	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	51	0	0	0	0	0	1	1	1	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	115	"AWI"	115	1324	1872	1555	20	0	5	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	17	0	0	0	6	0	0	99	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	53	0	0	0	0	2	8	1	0	0	0	0	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	120	"AWI"	120	1356	1991	1624	28	2	10	0	0	0	1	6	8	0	0	0	0	0	0	0	0	0	20	0	0	0	5	0	0	113	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	60	0	0	0	0	1	4	2	0	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	125	"AWI"	125	1423	2058	1697	25	0	6	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	15	0	0	0	3	0	0	118	6	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	55	1	0	0	0	0	0	0	0	0	0	0	5	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	130	"AWI"	130	1464	2155	1768	31	1	12	1	0	0	2	0	13	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	115	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	36	0	0	0	0	0	2	0	0	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	135	"AWI"	135	1538	2217	1840	22	0	7	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	73	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	25	1	0	0	0	1	0	0	0	0	0	0	0	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	140	"AWI"	140	1582	2316	1911	58	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	136	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	34	1	0	0	0	1	0	1	0	0	0	0	6	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	145	"AWI"	145	1661	2364	1979	36	0	5	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	8	0	0	0	2	0	0	51	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	21	0	1	0	0	1	1	0	0	0	0	0	4	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	150	"AWI"	150	1713	2446	2052	35	0	18	0	2	0	1	0	8	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	116	2	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	40	0	0	0	0	0	3	1	0	0	0	0	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	155	"AWI"	155	1788	2495	2118	40	0	10	0	1	0	2	0	7	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	109	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	30	0	0	0	0	3	0	1	0	0	0	0	7	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	160	"AWI"	160	1849	2570	2185	49	1	21	0	1	0	0	0	12	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	100	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	30	0	2	0	0	2	2	0	0	0	0	1	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	165	"AWI"	165	1947	2607	2248	32	0	10	0	2	0	1	0	23	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	58	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	0	0	2	1	0	0	0	0	3	0
