"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Ulmus"
3179	4135	"Kalven"	56.53516	14.55571	395	"AWI"	395	11002	11824	11425	1	0	0	7	0	660	0	0	0	0	1	10	0	0	0	11	0	0	42	0	20	1	0	2	0	1	4	17	0	7
3179	4135	"Kalven"	56.53516	14.55571	400	"AWI"	400	11249	12046	11660	0	1	0	6	0	539	0	0	0	0	0	7	0	0	0	19	0	0	43	0	29	1	0	1	0	2	1	20	0	0
3179	4135	"Kalven"	56.53516	14.55571	405	"AWI"	405	11501	12263	11893	0	2	1	11	0	304	0	0	0	0	0	17	0	130	0	40	0	0	138	0	72	2	0	2	0	2	15	26	0	0
3179	4135	"Kalven"	56.53516	14.55571	410	"AWI"	410	11752	12474	12128	0	5	0	42	0	369	0	1	0	1	0	28	0	0	0	18	0	0	100	0	137	0	0	2	0	1	8	19	2	0
3179	4135	"Kalven"	56.53516	14.55571	415	"AWI"	415	12011	12686	12359	0	13	0	92	0	334	0	1	0	1	0	31	0	0	0	23	0	0	80	0	87	2	0	1	0	2	13	27	3	0
3179	4135	"Kalven"	56.53516	14.55571	420	"AWI"	420	12254	12921	12595	0	14	1	66	0	332	0	0	0	1	0	27	0	0	0	28	0	0	95	0	96	0	0	1	0	1	18	22	7	0
3179	4135	"Kalven"	56.53516	14.55571	425	"AWI"	425	12497	13156	12831	0	5	2	14	0	324	0	0	0	0	0	17	0	65	0	26	0	2	162	1	49	0	0	3	0	1	13	23	1	0
3179	4135	"Kalven"	56.53516	14.55571	430	"AWI"	430	12741	13387	13066	0	6	1	26	0	336	0	1	0	0	1	19	0	0	0	23	0	0	171	0	56	1	1	2	0	2	9	34	4	0
3179	4135	"Kalven"	56.53516	14.55571	433	"AWI"	433	12888	13521	13208	0	3	2	27	0	354	0	0	0	0	0	29	0	0	0	21	0	0	177	0	36	2	0	2	0	0	13	32	1	0
3179	4135	"Kalven"	56.53516	14.55571	435	"AWI"	435	12992	13622	13301	0	6	1	28	0	391	0	1	0	0	2	26	0	0	0	19	0	0	150	0	48	0	0	3	0	3	10	29	5	0
3179	4135	"Kalven"	56.53516	14.55571	438	"AWI"	438	13129	13770	13442	0	2	0	20	0	431	0	3	1	1	1	22	0	0	0	24	0	0	88	0	29	0	0	0	0	1	16	34	8	0
3179	4135	"Kalven"	56.53516	14.55571	440	"AWI"	440	13218	13874	13536	0	5	1	22	0	364	0	1	0	0	1	8	1	0	0	21	0	0	70	0	31	0	0	1	0	0	22	34	9	0
3179	4135	"Kalven"	56.53516	14.55571	442	"AWI"	442	13304	13974	13629	1	10	3	41	0	338	2	0	0	0	0	15	0	0	0	33	1	1	95	0	36	0	1	2	0	2	27	33	6	0
3179	4135	"Kalven"	56.53516	14.55571	444	"AWI"	444	13390	14077	13722	1	6	2	53	0	156	0	0	0	0	2	9	4	0	0	30	0	0	64	0	27	2	1	0	0	1	62	41	5	0
3179	4135	"Kalven"	56.53516	14.55571	446	"AWI"	446	13480	14176	13816	2	9	0	54	0	151	0	0	0	0	2	9	3	0	0	19	0	0	39	0	27	0	0	4	0	4	71	65	6	0
3179	4135	"Kalven"	56.53516	14.55571	448	"AWI"	448	13574	14279	13912	9	5	3	50	0	120	1	2	1	0	5	26	0	0	3	16	1	1	80	1	30	3	0	0	0	4	28	38	2	0
