"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16123	24906	"Molesme"	47.95722	4.37306	0	"AWI"	0	-79	89	3	2	0	10	3	2	0	1	0	4	3	0	0	0	0	2	0	2	0	12	198	0	0	0	0	0	9	0	1	0	0	0	0	0	2	0	0	71	5	43	0	0	0	0	41	0	0	0	4	8	0	0	0	0	0	0	1	1	0	0	0
16123	24906	"Molesme"	47.95722	4.37306	5	"AWI"	5	-4	567	161	0	0	17	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	195	0	0	0	1	0	11	0	0	0	4	0	0	0	3	0	0	47	0	0	0	0	0	1	12	3	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0
16123	24906	"Molesme"	47.95722	4.37306	10	"AWI"	10	27	1114	314	2	0	25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	167	0	0	0	0	0	12	0	2	0	2	0	0	0	1	0	0	53	6	0	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
16123	24906	"Molesme"	47.95722	4.37306	15	"AWI"	15	104	1511	491	0	0	43	4	5	0	2	0	4	1	0	0	0	0	0	1	1	0	8	160	0	0	0	1	0	10	0	0	0	4	0	0	0	1	0	0	19	0	0	0	0	0	0	46	6	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0
16123	24906	"Molesme"	47.95722	4.37306	20	"AWI"	20	176	1754	702	1	1	23	2	0	0	3	0	6	0	0	0	0	0	0	0	1	0	5	247	0	0	0	2	0	8	0	1	0	4	0	2	0	2	0	0	27	0	0	0	0	0	0	73	0	0	0	0	0	6	0	0	0	0	1	1	5	0	0	0
16123	24906	"Molesme"	47.95722	4.37306	25	"AWI"	25	224	2149	894	0	0	7	0	5	0	1	0	5	2	0	0	0	0	0	0	3	0	8	121	0	0	0	0	0	35	1	3	1	12	0	0	0	2	0	0	10	7	0	0	0	0	0	74	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0
16123	24906	"Molesme"	47.95722	4.37306	30	"AWI"	30	362	2328	1087	1	3	13	0	3	0	4	0	3	1	0	0	0	0	0	0	6	0	17	146	0	0	0	0	0	44	0	0	0	3	0	0	0	1	0	1	13	0	0	0	0	0	1	83	2	0	0	0	1	6	0	0	1	0	0	0	2	0	2	0
16123	24906	"Molesme"	47.95722	4.37306	35	"AWI"	35	457	2514	1276	1	0	13	1	2	0	2	0	3	1	0	0	0	0	0	0	3	0	17	141	0	0	0	2	0	28	0	0	0	8	0	0	0	1	1	0	13	6	0	0	0	0	2	73	4	1	0	2	0	3	0	0	1	2	0	1	1	0	0	1
16123	24906	"Molesme"	47.95722	4.37306	40	"AWI"	40	580	2758	1451	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	196	0	0	0	0	0	20	0	1	0	2	0	1	0	1	0	0	4	0	0	0	0	0	2	79	3	0	0	1	1	5	0	0	0	0	0	1	1	0	0	0
16123	24906	"Molesme"	47.95722	4.37306	45	"AWI"	45	740	2918	1656	2	0	15	2	0	0	3	0	1	1	0	0	0	0	1	0	0	0	17	127	0	0	0	0	0	26	1	2	0	2	0	0	0	1	0	0	6	7	0	0	0	0	0	55	0	1	0	0	0	10	0	0	0	0	0	2	0	0	1	0
