"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3475	4494	"Trollvatnet"	69.875668	23.457912	0	"AWI"	0	2040	3400	2727	11	0	0	2	0	183	0	0	0	12	0	7	8	0	4	293	0	6	1	0	0	0	2	0	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	5	"AWI"	5	2383	3667	3045	14	0	0	0	1	168	0	0	0	12	0	6	10	0	3	281	0	6	0	0	1	0	0	0	0	2	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	10	"AWI"	10	2734	3924	3359	26	0	0	0	1	196	0	0	0	9	0	12	7	0	4	276	0	3	0	0	1	0	1	2	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	15	"AWI"	15	3108	4188	3673	13	0	0	0	0	253	0	0	0	11	0	10	8	0	4	287	0	5	0	0	0	0	0	2	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	20	"AWI"	20	3510	4444	3989	16	0	0	0	0	187	0	0	0	12	0	11	8	0	4	241	0	2	0	0	0	0	0	2	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	25	"AWI"	25	3898	4710	4294	8	0	0	0	0	176	0	0	0	11	0	10	13	0	4	260	0	3	0	0	0	0	1	0	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	30	"AWI"	30	4184	5006	4604	18	0	0	0	1	161	0	0	1	11	0	8	8	0	1	262	0	3	0	0	0	0	0	0	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	35	"AWI"	35	4499	5325	4913	18	0	0	1	0	158	0	0	1	18	0	10	9	0	1	331	1	3	0	0	1	0	1	0	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	40	"AWI"	40	4804	5610	5224	22	1	0	0	1	226	0	0	0	11	0	11	8	0	1	293	0	7	0	1	0	0	1	1	0	0	0	0
3475	4494	"Trollvatnet"	69.875668	23.457912	45	"AWI"	45	5127	5895	5533	27	0	0	1	1	279	0	0	0	10	0	8	5	0	1	434	0	3	0	0	3	0	0	0	0	1	0	1
