"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
16094	24844	"Carquefou"	47.30917	-1.47694	5	"AWI"	5	-94	119	8	0	181	1	1	1	1	0	7	0	2	0	0	1	0	0	0	0	28	0	13	0	0	0	2	0	1	1	0	0	0	3	0	1	0	5	0	0	0	0	11	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	10	"AWI"	10	-73	252	66	2	226	1	2	1	0	0	14	0	2	0	0	0	0	0	2	0	2	0	4	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	16	10	1	1	0	3	13	0	0	0	0	0	1	0	0	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	15	"AWI"	15	-57	397	122	3	174	4	2	2	0	0	8	0	4	0	0	0	0	0	1	0	19	0	57	0	0	0	0	1	1	1	0	0	1	0	0	1	0	10	0	0	0	2	19	1	0	0	6	5	0	0	0	0	1	2	0	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	20	"AWI"	20	-18	493	181	2	41	2	4	0	1	0	4	0	3	0	0	0	0	1	5	0	25	0	66	0	0	21	1	0	1	2	0	0	0	12	0	0	0	15	154	0	0	0	11	3	0	0	9	0	0	0	0	0	0	1	3	0	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	25	"AWI"	25	29	532	251	1	154	1	1	1	3	0	5	0	2	0	0	0	0	0	4	0	24	0	67	3	0	7	1	0	2	1	0	0	1	20	0	0	0	7	0	1	0	0	15	2	0	0	9	1	0	0	0	1	2	2	0	0	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	30	"AWI"	30	59	589	321	0	24	1	4	0	0	0	0	0	3	0	0	0	0	0	0	0	23	0	82	0	0	0	1	0	2	2	0	0	0	32	0	0	0	10	0	0	0	3	16	0	0	0	21	2	0	0	0	0	0	1	0	0	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	35	"AWI"	35	79	680	384	0	15	2	1	0	2	0	5	0	1	0	0	2	0	0	2	0	12	0	88	7	0	4	4	0	2	7	0	0	0	21	0	0	0	4	0	0	0	1	26	2	0	0	20	2	0	0	0	0	0	2	5	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	40	"AWI"	40	170	716	443	0	18	0	1	1	7	0	2	0	1	0	0	3	0	1	0	0	1	0	121	0	0	0	1	0	0	2	0	0	0	1	0	0	0	8	0	0	0	0	9	4	0	0	10	0	0	0	0	1	1	0	1	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	45	"AWI"	45	254	745	507	0	12	1	5	0	4	0	2	0	4	0	0	2	0	0	0	0	10	0	113	0	0	0	2	0	0	3	0	0	1	1	0	0	0	4	0	0	0	0	13	7	0	0	32	0	0	0	0	0	2	0	0	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	50	"AWI"	50	306	784	574	0	24	1	5	1	1	0	0	0	3	0	0	2	0	1	0	0	3	0	78	0	0	0	1	0	0	5	0	0	1	4	0	0	0	2	0	0	0	0	24	1	1	0	11	1	0	0	0	0	1	1	0	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	55	"AWI"	55	372	839	634	0	8	1	3	0	1	0	0	0	1	0	0	2	0	1	1	0	0	0	108	0	0	0	1	0	0	7	0	0	2	1	0	0	0	1	0	0	0	0	25	2	0	0	9	4	0	0	0	1	0	1	1	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	60	"AWI"	60	510	854	689	0	43	1	5	1	2	0	2	0	4	0	0	2	0	0	0	0	0	1	62	0	4	0	3	0	1	4	0	0	0	1	0	0	0	2	0	0	0	0	16	0	0	0	12	2	0	0	0	2	0	1	0	1	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	65	"AWI"	65	640	873	745	0	54	1	4	0	1	0	1	0	1	0	0	1	0	1	0	0	8	1	78	2	0	0	1	0	1	5	0	0	2	2	0	0	0	3	0	0	0	0	17	0	1	0	2	1	0	0	0	1	1	1	0	0	0	1
16094	24844	"Carquefou"	47.30917	-1.47694	70	"AWI"	70	735	901	805	0	52	0	5	0	0	0	1	0	2	0	0	7	0	2	0	0	8	0	65	3	0	0	2	0	0	1	0	0	0	2	0	0	0	7	0	0	0	1	8	2	0	0	9	1	0	0	0	1	0	1	0	0	0	0
16094	24844	"Carquefou"	47.30917	-1.47694	75	"AWI"	75	780	934	852	0	287	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	3	0	0	0	0	1	0	0	0	0	0	1
