"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	302	"AWI"	302	-124	42	-44	9	0	0	0	0	2	0	209	1	0	0	1	0	0	0	1	1	24	17	0	0	1	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	1	1	0	2	7	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	304	"AWI"	304	-52	304	88	7	1	0	0	1	2	0	0	0	0	0	0	0	0	0	5	1	31	0	0	0	1	0	0	12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	1	0	1	4	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	306	"AWI"	306	-27	641	214	9	1	0	0	0	3	0	135	0	0	0	0	0	0	0	4	0	38	0	0	0	2	0	1	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	2	1	2	3	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	308	"AWI"	308	48	841	354	12	1	0	0	0	1	0	111	0	0	0	0	0	0	0	2	0	28	14	0	0	0	0	0	15	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	5	0	0	0	0	5	0	0	2	0	1	4	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	310	"AWI"	310	119	925	522	8	4	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	32	18	0	0	0	0	1	8	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	2	1	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	312	"AWI"	312	169	1102	674	9	0	0	0	0	2	0	65	0	0	0	0	0	0	0	10	0	37	15	0	0	0	0	1	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	314	"AWI"	314	416	1147	815	16	0	0	0	0	0	0	69	0	0	0	0	0	0	0	6	0	40	0	0	0	1	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	7	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	316	"AWI"	316	550	1213	973	13	0	0	0	0	4	0	68	0	0	0	0	0	0	0	1	0	28	14	0	0	0	0	0	5	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	1	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	318	"AWI"	318	784	1294	1109	17	0	0	0	1	0	0	100	0	0	0	0	0	0	0	8	1	31	6	0	0	0	0	0	10	0	0	0	0	0	0	5	145	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	2	0	0	5	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	320	"AWI"	320	1071	1371	1244	23	0	0	0	1	0	0	96	0	0	0	0	0	0	0	12	0	39	0	0	0	0	0	0	7	0	0	0	0	0	0	14	161	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	1	2	1	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	322	"AWI"	322	1147	1688	1369	15	0	0	0	0	2	0	147	0	0	0	0	0	0	0	4	1	31	0	0	0	0	0	0	10	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	5	0	0	0	0	3	0	1	1	0	2	3	0
26215	45713	"Lille Kjelavatn"	59.795962	7.251924	324	"AWI"	324	1234	1837	1486	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	27	16	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	4	0
