"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14552	22814	"Mohos"	46.13102	25.902362	10	"AWI"	10	-89	186	18	5	0	9	2	1	0	2	0	27	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	51	0	0	0	0	3	0	0	0	0	1	0	8	26	0	0	0	0	0	0	18	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
14552	22814	"Mohos"	46.13102	25.902362	20	"AWI"	20	-50	359	89	9	3	19	3	22	0	4	0	24	0	2	0	1	0	0	0	0	21	5	0	0	0	0	0	32	0	0	0	65	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	14	1	0	0	0	3	4	0	0	0	0	0	0	0	0	1	0	0
14552	22814	"Mohos"	46.13102	25.902362	30	"AWI"	30	-10	468	176	1	0	14	0	0	0	0	0	17	0	0	0	5	0	0	0	0	3	276	0	0	0	0	0	38	0	0	0	0	0	1	0	0	0	0	0	0	27	0	0	0	0	0	0	7	5	2	0	0	1	4	0	0	0	0	0	4	0	0	0	0	0
14552	22814	"Mohos"	46.13102	25.902362	40	"AWI"	40	45	569	256	6	0	11	6	2	0	1	0	26	0	0	0	1	0	0	0	0	9	8	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	6	13	0	0	14	0	0	0	9	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0
14552	22814	"Mohos"	46.13102	25.902362	50	"AWI"	50	80	669	334	5	0	9	4	0	0	3	0	15	0	0	1	4	0	0	0	0	18	2	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	15	0	0	0	24	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0
14552	22814	"Mohos"	46.13102	25.902362	60	"AWI"	60	153	739	416	11	0	14	2	2	0	3	0	16	0	0	0	7	0	2	0	0	25	0	0	0	0	0	0	180	0	0	0	0	1	1	0	0	0	0	0	10	13	0	0	9	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
14552	22814	"Mohos"	46.13102	25.902362	70	"AWI"	70	211	829	498	6	0	10	2	1	0	2	0	21	0	0	0	2	0	1	0	0	11	1	0	0	0	0	0	180	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	11	0	0	0	22	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0
14552	22814	"Mohos"	46.13102	25.902362	80	"AWI"	80	285	893	583	14	1	7	1	0	0	1	0	12	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	11	38	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14552	22814	"Mohos"	46.13102	25.902362	90	"AWI"	90	362	967	660	7	0	5	0	0	0	3	0	15	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
14552	22814	"Mohos"	46.13102	25.902362	100	"AWI"	100	434	1041	748	5	0	8	0	0	0	1	0	9	0	0	0	0	0	0	0	0	17	2	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
