"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3201	24089	"Komoranské jezero"	50.53839	13.527398	5	"AWI"	5	-40	501	177	16	0	544	3	7	0	1	0	65	1	1	0	0	0	0	0	6	28	0	0	0	18	1	0	0	0	0	1	0	1	16	39	0	0	0	0	5	0	0	3	0	9	0	0	0	0	0	0	0
3201	24089	"Komoranské jezero"	50.53839	13.527398	10	"AWI"	10	-6	1035	398	64	0	822	2	1	0	1	0	135	0	1	0	0	0	0	0	8	23	0	0	0	37	0	0	1	1	0	0	0	1	17	84	4	0	0	0	10	8	0	3	0	4	0	0	0	2	1	0	1
3201	24089	"Komoranské jezero"	50.53839	13.527398	15	"AWI"	15	169	1146	667	41	1	752	3	9	0	5	0	82	0	0	0	0	0	0	0	11	28	0	0	0	26	1	0	0	0	0	3	0	0	13	54	2	0	0	0	8	0	0	6	3	12	0	0	0	0	0	0	0
3201	24089	"Komoranské jezero"	50.53839	13.527398	20	"AWI"	20	267	1368	931	55	0	987	4	5	0	6	6	129	0	1	0	0	0	0	0	8	71	0	0	2	32	1	0	0	2	4	0	0	2	7	56	0	0	0	0	11	16	0	4	3	4	0	0	0	1	2	1	2
3201	24089	"Komoranské jezero"	50.53839	13.527398	25	"AWI"	25	779	1424	1139	80	0	1320	3	8	0	4	0	141	0	0	0	0	0	0	0	6	46	0	0	0	25	1	0	0	0	0	2	0	1	32	71	0	0	3	0	8	0	0	5	1	12	0	0	0	2	0	0	0
3201	24089	"Komoranské jezero"	50.53839	13.527398	30	"AWI"	30	1122	1529	1362	143	0	543	9	2	0	9	0	113	3	0	0	0	2	0	0	22	16	0	0	0	105	6	0	2	4	0	0	0	8	36	126	6	0	0	5	39	0	0	4	1	23	0	0	10	0	2	1	3
3201	24089	"Komoranské jezero"	50.53839	13.527398	35	"AWI"	35	1232	1740	1479	204	1	211	3	12	0	15	0	54	1	0	0	0	0	0	0	10	4	0	0	0	109	0	0	0	0	0	2	0	3	84	290	0	0	0	0	41	0	0	0	0	26	0	0	0	1	2	4	1
3201	24089	"Komoranské jezero"	50.53839	13.527398	40	"AWI"	40	1298	2034	1582	283	0	498	2	6	0	13	0	187	0	0	0	0	0	0	0	18	14	0	0	0	207	1	1	0	1	0	2	0	30	76	244	7	0	0	0	104	0	0	2	1	12	0	0	0	0	2	4	2
3201	24089	"Komoranské jezero"	50.53839	13.527398	45	"AWI"	45	1398	2135	1702	84	0	130	1	1	0	3	0	70	0	0	0	0	0	0	0	6	3	0	0	1	97	0	0	0	0	0	0	0	6	22	74	0	0	0	0	41	0	0	0	0	8	0	0	0	0	2	4	1
3201	24089	"Komoranské jezero"	50.53839	13.527398	50	"AWI"	50	1447	2318	1822	52	1	200	1	0	0	11	0	63	0	0	0	0	0	0	0	46	7	0	0	0	178	0	3	0	0	0	0	0	4	89	84	0	0	0	0	73	0	0	1	1	1	0	0	0	0	3	10	1
