"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13452	20183	"Tišice"	50.23694	14.53278	70	"AWI"	70	585	2124	1399	5	0	71	25	0	0	21	0	0	53	9	0	17	0	0	0	0	0	11	0	94	1	2	0	0	0	3	0	1	0	5	0	0	2	0	0	0	3	52	571	0	179	0	0	0	44	5	0	0	0	4	0	4	0	0	1	0	2	6	0	0
13452	20183	"Tišice"	50.23694	14.53278	80	"AWI"	80	765	2256	1576	33	0	171	1	0	0	19	0	0	12	8	0	0	0	0	0	0	0	26	0	85	0	0	0	0	0	6	0	6	0	0	0	14	0	1	0	0	4	22	463	0	155	0	0	0	25	0	0	0	0	7	0	16	0	0	0	0	0	7	1	0
13452	20183	"Tišice"	50.23694	14.53278	85	"AWI"	85	877	2313	1662	38	0	134	2	0	0	24	0	0	22	9	0	0	0	0	0	0	0	23	0	85	0	0	0	0	0	8	0	5	0	1	0	11	0	0	0	0	2	35	674	0	178	0	0	0	29	0	0	0	0	5	0	9	0	0	0	0	0	5	0	0
13452	20183	"Tišice"	50.23694	14.53278	90	"AWI"	90	981	2390	1746	33	0	59	4	0	0	23	0	0	26	8	0	0	1	0	0	0	0	14	0	61	0	1	0	0	1	8	0	4	0	2	0	6	0	0	0	0	1	38	637	0	149	0	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0
13452	20183	"Tišice"	50.23694	14.53278	95	"AWI"	95	1094	2456	1835	41	0	77	7	0	0	21	0	0	18	6	0	6	0	0	0	0	0	22	0	64	0	0	0	0	0	7	0	2	0	1	0	0	0	0	0	0	3	39	632	0	133	0	0	0	33	0	0	0	0	8	0	1	0	0	0	0	2	11	0	0
13452	20183	"Tišice"	50.23694	14.53278	100	"AWI"	100	1186	2545	1924	51	0	100	11	0	0	20	0	0	10	5	0	11	1	0	1	0	0	32	0	70	0	1	0	0	0	8	0	0	0	0	1	3	0	0	0	0	7	28	637	11	122	0	0	0	43	0	0	0	0	16	0	4	0	0	0	0	6	13	1	1
13452	20183	"Tišice"	50.23694	14.53278	105	"AWI"	105	1317	2595	2008	47	0	101	13	0	0	28	0	0	14	8	0	5	0	0	0	0	0	26	0	63	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4	23	655	0	145	0	0	0	33	0	0	0	0	13	0	14	0	0	0	0	3	9	2	0
13452	20183	"Tišice"	50.23694	14.53278	110	"AWI"	110	1414	2672	2092	36	0	83	13	0	0	30	0	0	15	9	0	0	0	0	0	0	0	16	1	45	0	2	0	0	0	3	0	0	0	1	0	2	0	0	0	0	1	15	542	0	138	0	0	0	19	0	0	0	0	8	0	21	0	0	0	0	0	4	4	0
13452	20183	"Tišice"	50.23694	14.53278	120	"AWI"	120	1603	2817	2262	31	0	38	10	0	0	27	0	0	12	5	0	0	0	0	0	0	0	12	0	42	0	2	0	0	0	5	0	0	0	0	0	0	2	0	0	0	2	14	629	0	125	0	0	0	17	0	0	0	0	5	0	10	0	0	0	0	0	2	2	0
13452	20183	"Tišice"	50.23694	14.53278	130	"AWI"	130	1831	2950	2433	41	0	20	13	0	0	37	0	0	16	4	0	0	0	0	0	2	0	13	0	61	0	4	0	0	0	10	0	0	0	0	0	0	7	0	1	0	5	21	1065	0	171	0	0	0	23	0	0	0	0	4	0	1	0	0	0	0	0	2	1	0
13452	20183	"Tišice"	50.23694	14.53278	140	"AWI"	140	2061	3093	2600	79	0	138	33	0	0	44	0	0	6	8	0	0	2	0	0	0	0	32	0	37	0	4	0	0	0	9	0	2	0	0	0	8	0	0	0	0	1	32	633	24	168	0	0	0	50	0	0	0	0	0	0	13	0	0	0	0	4	16	1	0
13452	20183	"Tišice"	50.23694	14.53278	150	"AWI"	150	2316	3228	2762	100	0	174	9	0	0	27	0	0	11	7	0	9	0	0	0	0	0	14	0	91	0	6	0	0	0	14	0	1	0	0	0	9	0	0	0	0	0	41	804	0	0	0	9	0	49	0	1	0	0	0	7	16	0	0	0	0	2	17	1	4
13452	20183	"Tišice"	50.23694	14.53278	160	"AWI"	160	2508	3418	2944	52	0	110	4	0	0	17	0	0	3	2	0	0	0	0	0	0	0	14	0	41	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	33	778	0	0	0	0	0	21	0	0	0	0	9	3	9	0	0	0	0	0	22	1	0
13452	20183	"Tišice"	50.23694	14.53278	164	"AWI"	164	2580	3491	3027	86	0	112	5	0	0	19	0	0	6	1	0	0	0	0	0	0	0	36	0	34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	38	915	0	0	0	0	0	49	0	0	0	0	5	0	6	0	0	0	0	0	25	1	0
13452	20183	"Tišice"	50.23694	14.53278	170	"AWI"	170	2647	3690	3139	128	0	255	8	0	0	20	0	0	11	0	0	0	0	0	0	0	0	66	0	22	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	42	1008	0	0	0	0	0	85	0	0	0	0	0	0	3	0	0	0	0	0	28	2	0
13452	20183	"Tišice"	50.23694	14.53278	175	"AWI"	175	2754	3782	3241	62	0	261	3	0	0	19	0	0	25	3	0	0	1	0	0	0	0	71	0	15	0	0	0	0	0	7	0	2	0	3	0	0	0	0	0	0	0	115	704	0	0	0	0	0	143	0	0	1	0	0	0	7	0	0	1	0	2	30	8	0
13452	20183	"Tišice"	50.23694	14.53278	180	"AWI"	180	2821	3921	3339	11	0	731	0	0	2	30	0	0	62	11	2	0	0	0	0	0	0	122	0	16	0	1	0	0	0	19	0	6	0	10	0	0	0	0	0	0	0	286	710	0	0	0	0	0	309	0	0	0	0	0	0	18	0	0	4	0	6	53	23	0
13452	20183	"Tišice"	50.23694	14.53278	185	"AWI"	185	2920	4001	3440	19	0	617	0	0	1	24	0	0	26	9	0	0	0	0	0	0	0	91	0	17	0	0	0	0	0	13	0	4	0	3	0	0	0	0	0	0	1	163	417	0	0	0	0	0	214	0	0	1	0	1	0	21	0	0	1	0	5	34	20	0
