"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26211	45701	"Kinnshaugen"	61.108412	10.358996	463	"AWI"	463	-140	24	-56	0	52	1	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	19	0	0	1	0	174	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	9	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	468	"AWI"	468	-76	252	50	0	56	3	0	0	0	0	0	113	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	10	0	31	0	0	2	0	115	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	474	"AWI"	474	-31	563	175	0	49	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	9	0	29	0	0	0	0	144	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	6	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	482	"AWI"	482	51	743	365	0	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	5	0	59	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1	4	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	490	"AWI"	490	185	893	544	0	40	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	0	0	0	0	8	0	54	0	0	0	0	180	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	498	"AWI"	498	354	1029	724	0	37	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	36	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	506	"AWI"	506	583	1147	905	0	55	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	1	0	6	0	45	0	0	0	0	194	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	2	6	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	514	"AWI"	514	854	1247	1075	0	55	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	38	0	0	2	0	177	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	2	4	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	522	"AWI"	522	983	1343	1177	0	65	0	0	0	1	0	0	193	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	4	0	7	0	0	1	0	84	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	2	0	0	3	5	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	530	"AWI"	530	1055	1441	1262	0	61	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	4	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	5	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	538	"AWI"	538	1123	1527	1339	0	74	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	1	0	0	0	7	0	28	0	0	0	2	104	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	4	10	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	546	"AWI"	546	1203	1603	1413	0	69	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	1	0	0	10	0	52	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	4	12	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	562	"AWI"	562	1392	1736	1563	0	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	2	0	28	0	0	0	0	128	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0
26211	45701	"Kinnshaugen"	61.108412	10.358996	578	"AWI"	578	1555	1917	1721	1	68	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	2	1	0	0	4	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	4	5	0
