"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
2996	3900	"Basse-Ville"	47.18611	-1.85806	15	"AWI"	15	18	922	350	0	0	105	0	3	0	1	31	1	0	6	0	0	2	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	0	0	94	4	0	10	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	20	"AWI"	20	33	1230	466	0	0	95	2	3	0	1	0	2	0	2	0	0	1	1	4	1	0	3	0	0	0	2	0	0	0	0	0	1	0	0	3	0	2	0	2	0	0	0	0	53	0	0	2	11	1	0	1	0	2	1	0	0	0	1	0	1	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	25	"AWI"	25	48	1535	586	0	0	23	1	14	1	1	0	1	0	2	0	0	0	1	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	16	0	0	17	0	8	0	2	0	16	0	0	0	0	0	0	1	1	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	30	"AWI"	30	92	1803	709	0	0	151	2	5	0	0	0	1	0	2	0	0	0	1	3	13	0	0	0	0	0	8	1	0	0	0	1	1	0	0	1	0	2	0	1	0	2	0	0	67	0	0	13	0	1	0	4	0	4	0	0	0	0	2	1	1	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	35	"AWI"	35	235	1850	858	0	0	348	2	1	0	0	0	5	0	0	0	0	1	1	7	1	0	0	0	0	0	11	4	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	21	0	0	14	0	6	0	1	0	1	0	1	0	0	0	0	2	0	1
2996	3900	"Basse-Ville"	47.18611	-1.85806	40	"AWI"	40	326	1916	1021	0	1	201	3	25	1	0	5	8	0	0	0	0	1	0	6	8	0	0	0	0	1	9	3	0	0	0	1	0	0	0	4	0	0	0	0	0	3	0	0	20	0	2	41	0	3	0	2	0	9	0	0	0	0	0	0	2	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	45	"AWI"	45	393	1998	1189	0	0	153	0	41	0	0	0	3	0	2	0	0	0	0	2	4	0	0	0	0	0	4	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	28	0	0	0	0	4	0	1	0	7	0	1	1	0	0	0	24	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	50	"AWI"	50	450	2109	1352	0	0	80	1	4	0	1	0	2	0	10	0	0	0	1	2	21	0	0	0	0	0	5	1	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	29	0	0	41	0	4	0	3	2	6	0	0	0	1	2	0	1	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	55	"AWI"	55	508	2255	1502	0	0	90	3	24	0	0	0	4	0	6	0	0	0	0	2	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	22	0	8	53	0	3	0	3	0	11	0	0	0	0	0	0	1	0	0
2996	3900	"Basse-Ville"	47.18611	-1.85806	60	"AWI"	60	645	2397	1636	0	0	133	2	26	0	1	0	7	0	3	0	0	0	0	1	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	19	0	0	37	0	16	0	0	0	13	0	2	1	0	2	0	0	0	0
