"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3302	4286	"Mukkavaara"	68.91667	21	0	"AWI"	0	-145	27	-55	3	1	0	0	0	215	0	0	0	13	0	7	8	2	41	7	0	0	0	0	4	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	5	"AWI"	5	-74	474	85	2	0	0	0	0	200	0	0	0	10	0	2	11	11	52	9	0	0	0	0	2	3	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	10	"AWI"	10	1	729	254	3	0	0	1	0	245	0	0	0	26	0	18	14	5	95	15	0	0	0	0	2	6	1	0	0
3302	4286	"Mukkavaara"	68.91667	21	15	"AWI"	15	101	985	424	5	0	0	0	1	259	0	0	0	10	0	10	20	3	73	15	0	0	0	0	1	5	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	20	"AWI"	20	206	1211	604	4	0	0	1	0	268	0	0	0	26	0	7	15	7	103	11	0	0	0	1	2	4	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	25	"AWI"	25	324	1407	773	2	0	0	0	0	208	0	0	0	18	0	5	12	3	73	11	0	0	0	0	0	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	30	"AWI"	30	453	1635	944	2	0	0	0	0	245	0	0	0	11	0	6	13	7	52	11	0	0	0	0	0	5	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	35	"AWI"	35	579	1818	1116	2	0	0	0	2	341	0	0	0	14	0	7	16	9	74	3	0	0	0	0	2	8	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	40	"AWI"	40	716	1982	1285	1	0	0	0	2	175	0	0	0	15	0	9	8	6	62	10	0	0	0	0	3	2	1	0	0
3302	4286	"Mukkavaara"	68.91667	21	45	"AWI"	45	872	2175	1459	1	1	0	1	1	332	0	1	0	23	0	17	13	7	83	11	0	0	0	0	4	5	0	0	0
