"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
23898	41453	"Felchowsee"	53.053902	14.127872	21	"AWI"	21	95	860	421	0	0	113	5	0	0	11	0	85	0	0	0	0	0	0	42	4	0	0	0	0	19	0	0	0	0	3	0	0	0	0	0	0	0	18	0	165	0	0	0	0	0	113	0	0	1	9	0	0	0	0	0	0	0	0	9	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	24	"AWI"	24	153	902	489	2	0	81	4	0	0	15	0	129	1	0	2	0	0	0	27	13	0	0	0	0	34	0	2	0	0	6	0	0	0	0	0	0	0	49	0	241	0	0	0	0	0	135	0	0	0	3	3	1	0	0	0	0	0	0	7	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	28	"AWI"	28	204	988	588	4	0	83	1	1	0	9	0	75	1	0	0	0	0	0	39	8	0	0	0	0	66	0	2	0	0	2	0	1	0	0	0	0	0	65	0	240	0	0	0	0	0	166	0	0	0	6	0	0	0	1	0	0	0	0	5	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	32	"AWI"	32	277	1087	679	1	0	113	2	0	0	12	0	176	0	0	6	0	0	0	16	15	0	0	0	0	21	0	4	0	0	5	0	0	0	0	0	0	0	20	0	143	0	0	0	0	0	136	0	0	1	13	5	0	0	0	0	0	0	0	8	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	36	"AWI"	36	336	1133	778	0	0	129	0	0	0	8	0	147	0	0	0	0	0	0	28	1	0	0	0	0	42	1	0	0	0	2	1	0	0	0	0	0	0	50	0	104	0	0	0	0	0	143	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	40	"AWI"	40	382	1216	870	3	0	26	0	0	0	4	0	26	0	0	0	0	0	0	22	13	0	0	0	0	144	0	1	0	0	0	0	0	0	0	0	0	0	80	4	492	0	0	0	0	0	179	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	44	"AWI"	44	559	1249	955	1	0	49	2	0	0	10	0	162	0	0	0	0	0	0	28	3	0	0	0	0	61	0	1	0	0	0	0	0	0	0	0	0	0	32	1	164	0	0	0	0	0	160	0	0	0	6	1	0	0	2	0	0	0	0	4	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	48	"AWI"	48	664	1299	1048	5	0	13	1	0	0	0	0	40	0	0	1	0	0	0	20	9	0	0	0	0	91	0	1	0	0	0	0	0	0	0	0	0	0	64	3	377	0	0	0	0	0	256	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	52	"AWI"	52	801	1343	1132	1	3	96	0	1	0	6	0	138	0	0	0	0	0	0	24	3	0	0	0	0	49	0	2	0	0	0	0	0	0	0	0	0	0	27	1	95	0	0	0	0	0	154	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0
23898	41453	"Felchowsee"	53.053902	14.127872	56	"AWI"	56	994	1382	1211	3	0	93	1	0	0	5	0	42	0	0	0	0	0	0	25	1	0	0	0	0	88	0	1	0	0	3	0	0	0	0	0	0	0	85	0	22	0	0	0	0	0	154	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0
