"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16378	25477	"Lac de Praver"	45.07361	5.85639	15	"AWI"	15	-107	183	7	14	1	0	0	0	0	1	0	0	90	0	0	0	0	0	0	0	0	25	0	4	0	0	2	0	0	36	0	1	0	0	0	7	0	0	0	0	0	0	0	224	0	0	0	9	0	0	0	2	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	25	"AWI"	25	-72	250	59	33	2	0	2	1	0	2	0	0	65	0	0	0	0	0	0	1	0	55	0	8	0	0	7	0	0	30	0	3	0	0	0	10	0	0	0	4	0	0	11	98	111	1	13	20	0	0	0	0	0	29	1	1	0	0	0	1	1	0	0	0	1	1	0	3	1	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	160	"AWI"	160	507	1077	743	33	0	0	0	3	0	3	0	0	87	1	0	1	0	0	0	6	0	25	0	10	0	0	3	0	0	55	0	7	0	0	0	25	3	2	0	4	0	0	0	71	0	1	0	58	0	0	0	0	0	42	1	2	0	0	0	7	3	0	0	0	0	0	0	1	1	26	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	170	"AWI"	170	558	1126	789	48	0	0	0	1	0	4	0	0	80	0	1	1	0	0	0	6	0	23	0	13	0	0	2	3	0	48	0	6	0	0	0	24	5	3	0	2	1	0	0	57	86	0	13	69	0	0	0	0	0	37	1	3	0	0	0	8	0	0	0	0	2	0	0	0	3	26	0	3
16378	25477	"Lac de Praver"	45.07361	5.85639	175	"AWI"	175	583	1150	813	29	0	0	0	2	0	4	0	0	49	0	0	1	0	0	0	6	0	37	0	12	0	0	4	0	0	48	0	5	0	0	0	29	11	0	0	3	0	0	0	28	0	0	20	75	0	0	0	0	0	44	2	1	0	8	0	13	3	0	0	0	1	0	0	0	0	39	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	180	"AWI"	180	604	1175	835	31	0	0	2	1	0	3	0	0	21	0	1	2	0	0	2	4	0	18	0	10	0	0	4	0	0	47	0	1	0	0	0	27	4	0	0	3	0	0	0	25	53	0	19	62	0	1	0	0	0	40	0	1	0	0	0	9	3	0	0	0	0	0	0	0	0	138	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	185	"AWI"	185	637	1196	857	36	1	0	2	1	0	6	0	0	29	0	0	2	0	0	0	3	0	26	0	13	0	0	10	3	0	48	0	0	0	0	0	35	7	0	0	4	0	0	0	12	0	0	0	85	0	0	0	0	0	32	2	1	0	0	1	9	2	0	0	0	0	0	0	2	0	73	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	190	"AWI"	190	665	1223	875	25	0	7	1	1	0	2	0	0	14	0	2	0	0	0	0	6	0	12	0	18	0	0	7	0	0	49	0	1	0	0	0	45	11	1	0	6	0	0	0	12	0	0	0	79	0	0	0	0	0	41	1	3	0	0	1	13	4	0	0	0	0	1	0	1	0	160	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	195	"AWI"	195	698	1251	901	17	1	0	3	2	0	1	0	0	20	0	0	0	0	0	0	3	0	30	0	8	0	0	2	3	0	42	0	2	0	0	0	41	9	0	0	3	0	0	0	9	0	0	21	53	0	0	0	0	0	38	1	3	0	0	0	8	2	0	0	0	2	1	0	0	1	283	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	200	"AWI"	200	752	1277	952	59	4	19	0	1	0	4	0	0	19	0	0	3	0	0	0	1	0	41	0	11	0	0	9	0	0	208	0	1	0	0	0	42	7	0	0	1	0	0	0	27	0	0	0	64	0	0	0	0	0	78	3	1	0	0	0	9	4	0	0	0	0	0	0	0	3	14	0	2
16378	25477	"Lac de Praver"	45.07361	5.85639	205	"AWI"	205	787	1316	1011	31	1	0	0	1	0	1	0	0	27	0	1	1	0	0	0	5	0	36	0	13	0	0	7	0	0	176	1	2	0	0	0	56	3	0	0	2	0	0	0	20	36	0	12	42	0	0	0	0	0	66	0	1	0	0	0	4	2	0	0	0	1	0	0	3	1	91	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	210	"AWI"	210	828	1366	1068	42	0	10	0	0	0	3	0	0	12	0	0	3	0	0	0	0	0	23	0	29	0	0	5	0	0	99	0	0	0	0	0	57	8	0	0	1	0	0	8	18	0	0	27	108	0	0	0	0	0	45	1	2	0	0	2	15	1	0	0	0	0	0	0	1	3	103	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	215	"AWI"	215	893	1399	1128	32	0	0	2	0	0	2	0	0	11	0	0	1	0	0	0	0	0	34	0	8	0	0	6	0	0	88	0	0	0	0	0	55	7	1	0	4	0	0	0	18	24	0	14	67	0	0	0	0	0	37	0	3	0	0	0	10	1	0	0	1	0	1	0	0	3	152	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	220	"AWI"	220	935	1438	1197	23	1	0	2	1	0	5	8	0	18	0	1	1	0	0	0	4	0	42	0	7	1	0	3	0	0	55	0	0	0	0	0	32	2	0	0	3	0	0	0	3	0	0	10	77	1	0	0	0	0	44	1	1	0	7	2	8	0	0	0	0	0	0	0	0	1	233	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	225	"AWI"	225	976	1499	1257	10	0	0	0	3	0	2	0	0	6	0	0	0	0	0	0	0	0	2	0	4	0	0	4	2	0	11	0	0	0	0	0	9	0	0	0	0	1	0	0	1	0	0	0	25	0	0	0	0	0	13	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	398	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	230	"AWI"	230	1026	1527	1309	15	0	0	1	1	1	3	0	0	5	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	462	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	235	"AWI"	235	1066	1579	1362	11	0	0	0	1	0	1	0	0	12	0	0	0	0	0	0	1	0	4	0	3	0	0	1	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	495	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	240	"AWI"	240	1098	1650	1406	400	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	25	0	0	0	0	0	5	3	0	0	0	0	0	0	13	0	0	0	23	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	19	1	0
