"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23446	40490	"Dos le Cras"	47.28833	7.13194	0	"AWI"	0	199	939	603	13	2	2	1	4	2	0	12	1	1	0	0	0	0	1	0	0	0	11	5	0	2	1	59	9	0	0	0	0	12	0	78	16	5	42	0	1	0	6	4	0	2	2	4	0	0	1	0	1	0	0	0	0	1
23446	40490	"Dos le Cras"	47.28833	7.13194	5	"AWI"	5	255	965	643	9	3	3	1	9	1	0	8	2	2	0	0	1	0	0	1	0	0	12	3	0	1	6	34	8	0	0	0	1	6	0	60	14	19	48	0	1	0	6	2	0	3	0	9	0	0	1	1	0	0	1	1	1	0
23446	40490	"Dos le Cras"	47.28833	7.13194	10	"AWI"	10	300	1001	685	4	6	3	0	10	0	0	4	3	3	0	0	2	0	0	1	0	0	14	1	0	0	11	5	7	0	0	0	1	0	1	34	12	31	52	0	0	0	10	1	0	5	0	14	0	1	1	3	0	0	1	1	1	0
23446	40490	"Dos le Cras"	47.28833	7.13194	15	"AWI"	15	365	1031	727	3	4	4	2	8	1	0	3	0	3	0	0	0	0	0	0	0	0	13	32	0	0	2	4	6	0	0	0	0	1	0	21	8	14	52	0	1	0	6	1	0	3	2	7	0	0	0	4	0	0	1	0	0	1
23446	40490	"Dos le Cras"	47.28833	7.13194	20	"AWI"	20	414	1065	770	1	1	5	2	1	1	0	3	0	5	0	0	0	0	0	2	0	0	12	83	0	0	0	2	6	0	0	0	0	2	0	5	5	6	58	0	1	0	2	7	0	5	3	9	0	0	3	2	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	25	"AWI"	25	479	1091	812	12	2	7	1	1	1	0	2	0	4	0	0	0	0	0	0	0	0	16	72	0	0	1	10	7	0	0	0	0	3	0	41	21	7	59	0	0	0	14	3	0	2	1	8	0	1	1	1	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	30	"AWI"	30	526	1124	853	20	2	7	0	3	0	0	1	0	4	0	0	1	0	0	0	0	0	15	28	0	0	2	18	4	0	0	0	0	4	0	84	33	13	51	0	0	0	27	1	0	2	1	4	0	0	0	0	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	35	"AWI"	35	599	1146	894	28	2	7	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	30	22	0	1	1	24	3	0	0	0	0	7	0	93	49	4	33	0	0	0	20	2	0	1	1	2	0	0	0	0	0	0	0	1	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	40	"AWI"	40	648	1179	937	43	2	8	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	46	15	0	1	1	36	1	0	0	0	0	9	0	103	62	0	20	0	0	0	11	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	45	"AWI"	45	720	1201	979	62	2	5	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	31	11	0	2	1	19	1	0	1	0	0	5	0	106	26	0	15	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
