"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15748	24190	"Hopschensee"	46.2525	8.02306	0	"AWI"	0	-103	56	-19	4	0	0	3	0	0	0	0	1	0	0	6	2	6	0	0	0	0	4	0	252	0	0	15	0	0	0	0	0	0	1	0	0	5	0	0	1	0	2	35	101	0	0	0	0	1	0	12	0	2	26	0	0	0	0	0	0	0	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	20	"AWI"	20	-43	358	103	2	0	0	1	0	0	0	0	3	0	0	2	0	0	1	0	0	1	2	0	181	0	0	0	0	2	0	0	0	0	0	4	2	5	0	0	0	0	0	22	72	0	0	3	0	2	0	7	0	0	17	0	0	0	0	0	0	1	2	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	40	"AWI"	40	44	556	256	3	1	0	0	0	0	0	0	0	0	0	11	1	7	2	0	0	1	4	0	168	0	0	0	0	3	0	0	2	0	2	7	0	5	0	0	0	0	0	16	95	0	0	1	0	6	0	6	0	1	14	0	0	0	0	0	0	0	4	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	60	"AWI"	60	160	742	410	2	0	0	1	0	0	0	0	0	0	0	1	0	7	3	0	0	2	5	0	87	0	0	11	0	1	0	0	0	0	2	3	0	1	0	0	0	0	0	22	64	0	0	0	0	3	0	6	0	4	23	0	2	0	0	0	0	0	1	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	80	"AWI"	80	306	889	555	3	0	0	0	0	0	0	1	2	0	0	5	1	22	2	0	0	10	3	0	75	0	0	0	3	3	0	0	1	0	0	0	1	2	0	1	0	0	0	19	64	0	0	0	0	4	0	10	0	3	28	0	1	0	0	2	0	1	1	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	100	"AWI"	100	561	1072	696	4	2	0	0	0	0	0	0	3	0	0	12	2	5	1	0	0	0	7	0	85	0	0	5	0	1	0	0	1	0	1	3	0	8	0	0	0	0	0	43	105	0	0	0	0	5	0	11	0	2	15	0	0	0	0	1	0	0	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	120	"AWI"	120	799	1999	1438	4	0	0	0	0	0	0	0	3	0	0	11	0	2	2	0	0	0	16	0	36	0	0	0	0	22	0	0	0	0	2	6	1	43	0	0	0	0	0	52	166	0	0	0	0	11	0	3	0	0	6	1	0	0	0	1	0	1	2	0	1
15748	24190	"Hopschensee"	46.2525	8.02306	140	"AWI"	140	1799	2380	2058	16	2	0	0	0	0	0	0	5	0	0	12	0	1	0	0	0	0	9	0	50	0	0	0	0	19	0	0	0	0	0	9	0	21	0	0	0	0	1	47	191	0	0	0	0	15	0	1	0	0	15	0	0	0	0	1	0	0	3	0	1
15748	24190	"Hopschensee"	46.2525	8.02306	160	"AWI"	160	2011	3162	2499	12	1	0	0	0	0	0	0	2	0	0	29	0	1	0	0	0	3	12	0	33	0	0	0	0	7	1	0	0	0	1	0	1	42	0	2	0	0	2	36	209	0	0	0	0	16	0	3	0	0	12	2	1	0	0	3	0	2	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	180	"AWI"	180	2351	3536	3009	9	0	0	0	0	0	0	0	2	1	0	30	2	4	0	0	0	1	15	2	32	0	0	0	0	6	0	0	0	0	0	1	0	22	0	0	0	0	1	35	182	0	0	0	0	7	0	1	0	0	5	1	1	0	0	1	0	2	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	200	"AWI"	200	3102	3813	3436	10	2	0	2	0	0	0	0	0	0	0	49	0	4	0	0	0	0	25	0	58	0	0	0	0	15	2	0	0	0	0	3	0	30	0	5	0	0	0	29	272	0	0	0	0	22	0	1	0	1	11	0	0	0	0	4	0	1	1	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	220	"AWI"	220	3451	5017	4067	13	0	0	1	0	0	0	0	4	0	0	51	0	2	0	0	0	0	25	0	34	0	0	0	0	7	0	0	0	0	0	2	0	25	0	2	0	0	0	21	239	0	0	0	0	18	0	3	0	0	16	3	0	0	0	3	0	2	2	0	0
