"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Urticaceae"
224	226	"Ballybetagh"	53.16667	-6.25	125	"AWI"	125	10712	11471	11122	0	0	0.4	0	41.2	0	0	0	0	0	4.4	0	2.4	0	0	30	0.4	0	0.4	0	0	0	7.2	0	0	0.4	0.8	0	0.8	0.8	10.4	0	0	0	0.4
224	226	"Ballybetagh"	53.16667	-6.25	135	"AWI"	135	10841	11558	11226	0	0	0	0	8.15450643776824	0	0	0	0	0	6.86695278969957	0	3.43347639484979	0	0	66.5236051502146	0	0	0	0	0	0	7.72532188841202	0	0	0	0.429184549356223	0	0	1.28755364806867	5.5793991416309	0	0	0	0
224	226	"Ballybetagh"	53.16667	-6.25	145	"AWI"	145	10999	11630	11328	0	0	0.495049504950495	0	6.93069306930693	0	0	0	0	0	17.3267326732673	0	1.98019801980198	0	0.99009900990099	28.7128712871287	0	0	0.99009900990099	0.99009900990099	0	0	24.2574257425743	0	0	0.495049504950495	2.97029702970297	0	0.495049504950495	4.45544554455445	6.43564356435644	0	0	2.47524752475248	0
224	226	"Ballybetagh"	53.16667	-6.25	155	"AWI"	155	11189	11697	11420	0	0	0	0	1.85185185185185	0	0	0.925925925925926	0	0.462962962962963	22.6851851851852	0	13.8888888888889	0	1.38888888888889	1.85185185185185	0	0	1.38888888888889	1.38888888888889	0	0	38.4259259259259	0	0	0	1.85185185185185	0	1.85185185185185	6.01851851851852	4.62962962962963	0	0	1.38888888888889	0
224	226	"Ballybetagh"	53.16667	-6.25	165	"AWI"	165	11312	11777	11512	0	0	0.961538461538462	0	4.32692307692308	0	0	0	0.480769230769231	0	27.4038461538462	0	10.5769230769231	0	0.961538461538462	0.480769230769231	0.480769230769231	0	0.961538461538462	0.480769230769231	0	0	36.5384615384615	0	0	0	2.88461538461538	0	0.480769230769231	4.80769230769231	5.76923076923077	0	0	2.40384615384615	0
224	226	"Ballybetagh"	53.16667	-6.25	175	"AWI"	175	11382	11860	11593	0.961538461538462	0	0	0	2.88461538461538	0	0	0	0.480769230769231	0	12.9807692307692	0	1.44230769230769	0	1.44230769230769	0.961538461538462	0	0	0	1.44230769230769	0	0	57.2115384615385	0	0	0	10.0961538461538	0	0.961538461538462	4.80769230769231	1.44230769230769	0	0	2.88461538461538	0
224	226	"Ballybetagh"	53.16667	-6.25	192.5	"AWI"	192.5	11521	12007.5	11730	0	0	2.5531914893617	0	2.12765957446809	0	0	7.65957446808511	0.425531914893617	0	37.8723404255319	0	0	0	0	0	0	0	0	1.27659574468085	0	0.425531914893617	25.531914893617	0	0	0	11.9148936170213	0	0	5.53191489361702	2.97872340425532	0	0	1.70212765957447	0
224	226	"Ballybetagh"	53.16667	-6.25	195	"AWI"	195	11536	12032	11750	0.396825396825397	0	7.14285714285714	0	1.98412698412698	0	0	11.5079365079365	0	0	21.8253968253968	0	0	0	5.95238095238095	0	0	0	0	1.19047619047619	0	1.98412698412698	16.6666666666667	0	0	0	11.1111111111111	0	0.793650793650794	7.14285714285714	5.95238095238095	0	0	6.34920634920635	0
224	226	"Ballybetagh"	53.16667	-6.25	205	"AWI"	205	11630	12112	11826	0	0	12.1212121212121	0	2.16450216450216	1.2987012987013	0	25.974025974026	0	0	11.6883116883117	0	0.432900432900433	0	1.2987012987013	0	0	0	0	1.73160173160173	0	5.62770562770563	13.4199134199134	0	0	0	0.865800865800866	0	0	6.06060606060606	11.2554112554113	0	0	6.06060606060606	0
224	226	"Ballybetagh"	53.16667	-6.25	215	"AWI"	215	11717	12222	11934	0.355871886120996	0	12.8113879003559	0	1.06761565836299	1.77935943060498	0	23.1316725978648	0	0	9.9644128113879	0	0	0	3.20284697508897	0	0	0	0	0.711743772241993	0	3.91459074733096	16.0142348754448	0	0	0	0.711743772241993	0	0	8.54092526690392	11.7437722419929	0	0	6.04982206405694	0
224	226	"Ballybetagh"	53.16667	-6.25	235	"AWI"	235	11914	12456	12180	0	0	24.031007751938	0	0.387596899224806	0.387596899224806	0	27.1317829457364	0	0	4.65116279069767	0	0	0	3.48837209302326	0	0	0	0	0.775193798449612	0	3.87596899224806	14.7286821705426	0	0	0	1.16279069767442	0	0.387596899224806	7.36434108527132	3.10077519379845	0	0	8.52713178294574	0
224	226	"Ballybetagh"	53.16667	-6.25	255	"AWI"	255	12154	12632	12433	0	0.413223140495868	16.1157024793388	0	1.2396694214876	3.30578512396694	0	19.4214876033058	0.413223140495868	0	4.13223140495868	0	0	0	2.06611570247934	0	0	0	0	1.2396694214876	0	2.06611570247934	22.7272727272727	0	0	0	0.413223140495868	0	0	11.1570247933884	5.78512396694215	0	0	9.50413223140496	0
