"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24181	42542	"Bruchbergmoor"	51.777428	10.490014	3	"AWI"	3	-97	103	-5	0	0	23	16	1	0	3	0	77	0	2	0	0	0	0	0	0	0	0	9	265	0	0	0	0	42	0	7	0	0	0	0	0	0	0	5	247	78	8	0	0	0	0	27	0	0	1	9	1	0	0	0	0	0	0	1	2	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	5	"AWI"	5	-85	180	24	0	0	22	18	2	0	4	0	89	0	7	0	1	0	0	1	0	0	0	10	373	0	0	0	0	27	0	9	0	0	4	0	0	1	0	4	231	91	12	189	0	0	0	28	0	0	1	23	1	0	0	1	0	0	0	1	1	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	10	"AWI"	10	-61	383	97	0	0	20	4	2	0	4	0	97	0	3	0	0	0	0	1	0	0	0	19	306	0	0	0	0	78	0	0	0	0	0	0	0	0	0	5	133	102	14	0	0	0	0	73	0	0	0	17	0	0	0	0	0	0	0	3	0	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	15	"AWI"	15	-35	581	170	1	0	32	1	2	0	3	0	94	0	3	0	2	0	0	3	0	0	0	16	208	0	0	0	0	127	0	8	0	0	0	0	0	0	0	21	88	46	0	89	0	1	0	78	0	0	0	9	3	0	0	0	0	0	0	1	1	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	20	"AWI"	20	35	653	260	1	1	34	2	3	0	10	0	97	0	2	0	2	0	0	0	0	0	0	49	520	0	0	0	0	89	0	1	0	0	0	0	0	0	0	20	88	84	8	0	0	2	0	101	0	0	0	10	3	0	0	0	0	0	0	1	0	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	25	"AWI"	25	79	762	349	2	1	52	7	3	1	9	0	137	0	4	0	1	0	0	0	0	0	0	79	259	0	0	0	0	86	0	4	0	1	0	0	0	0	0	20	89	35	22	215	0	0	0	77	0	0	0	30	7	0	0	0	0	0	0	5	1	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	30	"AWI"	30	255	946	525	0	1	77	5	2	0	11	0	79	0	0	0	0	0	0	0	0	0	0	59	119	0	0	0	0	165	0	4	0	0	0	0	0	0	0	33	28	49	4	0	0	0	0	66	0	0	1	11	10	0	0	0	0	0	0	2	0	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	35	"AWI"	35	909	1349	1088	0	1	165	1	0	1	4	0	61	0	0	0	0	0	0	0	0	0	0	41	19	0	0	0	0	141	0	8	0	0	0	0	0	0	0	60	23	42	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	1	0	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	40	"AWI"	40	1321	1945	1661	0	0	120	2	2	0	4	0	53	0	1	0	0	0	0	0	0	0	0	52	114	0	0	0	0	231	0	8	0	0	0	0	0	0	0	21	16	23	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	2	3	0	0
24181	42542	"Bruchbergmoor"	51.777428	10.490014	45	"AWI"	45	1612	2481	2102	6	0	86	1	1	0	4	0	67	0	0	0	0	0	0	0	0	0	0	59	58	0	0	0	0	186	0	1	0	1	0	0	0	0	0	20	52	35	0	0	0	0	0	43	0	0	1	0	0	0	0	0	0	0	0	6	2	0
