"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Tilia"	"Ulmus"
11578	17336	"Borheen Lough"	52.372314	-8.152038	10	"AWI"	10	-87	263	28	47	0	0	0	0	0	17	0	0	1	0	107	15	0	0	0	4	0	93	0	2	0	0	0	0	14	7	0	0	1	33	0	0	6	0	2	0	0	0	0	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	20	"AWI"	20	-32	371	135	39	0	0	0	1	0	34	0	0	1	0	79	19	0	0	1	8	0	60	0	0	0	0	0	0	23	11	0	136	0	29	0	0	1	0	0	0	0	0	0	0	10
11578	17336	"Borheen Lough"	52.372314	-8.152038	30	"AWI"	30	28	520	240	35	1	0	0	0	0	15	0	2	0	1	113	14	0	0	1	0	0	51	0	0	0	0	0	0	11	15	0	0	0	19	0	0	4	0	1	0	0	0	0	0	13
11578	17336	"Borheen Lough"	52.372314	-8.152038	40	"AWI"	40	107	618	352	26	0	0	1	0	0	15	0	1	1	0	102	19	235	0	0	5	0	62	0	0	0	0	0	0	16	13	0	0	0	24	0	6	2	0	2	0	0	0	0	0	13
11578	17336	"Borheen Lough"	52.372314	-8.152038	70	"AWI"	70	399	892	671	19	0	1	1	1	0	16	0	6	1	0	102	12	0	0	0	2	0	42	0	0	1	0	0	0	5	7	0	0	0	14	0	0	2	0	0	0	0	0	0	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	100	"AWI"	100	774	1084	975	22	0	1	0	0	0	12	0	3	0	0	73	18	0	0	0	3	1	88	0	0	1	0	0	0	19	23	0	196	0	13	0	0	2	0	1	0	0	0	0	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	120	"AWI"	120	865	1218	1065	25	1	1	2	0	0	19	0	2	0	0	100	16	0	0	0	2	0	55	0	0	0	0	0	0	5	13	0	0	0	13	0	11	3	0	1	0	0	0	0	1	4
11578	17336	"Borheen Lough"	52.372314	-8.152038	130	"AWI"	130	916	1289	1110	33	0	0	0	0	0	8	0	3	3	0	96	4	0	0	0	2	0	47	1	0	0	0	0	0	4	9	0	0	0	15	0	0	4	0	0	0	0	0	1	0	2
11578	17336	"Borheen Lough"	52.372314	-8.152038	140	"AWI"	140	970	1340	1156	18	0	0	0	1	0	15	0	4	3	0	69	11	0	0	0	1	0	77	0	0	0	0	0	0	2	10	0	0	0	10	0	0	2	0	0	0	0	0	1	0	2
11578	17336	"Borheen Lough"	52.372314	-8.152038	170	"AWI"	170	1115	1514	1289	26	0	6	1	2	0	19	0	2	1	1	85	36	0	0	0	0	2	92	0	0	0	0	0	1	4	10	0	0	0	19	0	0	2	0	4	0	0	0	1	0	0
11578	17336	"Borheen Lough"	52.372314	-8.152038	200	"AWI"	200	1261	1684	1423	27	0	6	1	0	0	22	0	2	1	0	75	41	0	0	0	7	1	124	0	0	2	0	0	0	1	19	0	174	0	39	0	0	1	0	6	0	0	0	0	0	0
11578	17336	"Borheen Lough"	52.372314	-8.152038	220	"AWI"	220	1376	1811	1501	20	0	4	0	1	0	16	0	0	5	1	85	44	0	0	0	10	1	118	0	0	1	0	0	0	2	12	0	0	0	43	0	12	1	0	5	0	0	0	1	0	4
11578	17336	"Borheen Lough"	52.372314	-8.152038	240	"AWI"	240	1501	2051	1689	18	1	1	1	0	0	11	0	1	2	2	82	30	0	0	1	1	0	126	0	0	0	0	0	0	3	24	0	166	0	43	0	0	1	0	2	0	0	0	2	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	270	"AWI"	270	1729	2451	2036	21	1	1	0	1	0	20	0	1	0	0	91	55	0	0	0	2	1	108	0	1	0	0	0	0	2	12	0	0	0	41	0	13	3	0	7	0	0	0	1	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	300	"AWI"	300	2021	2796	2372	21	1	0	0	0	0	33	0	2	1	1	140	33	0	0	0	42	0	150	0	1	1	0	0	0	6	9	0	0	0	80	0	6	0	0	7	0	0	1	4	0	8
11578	17336	"Borheen Lough"	52.372314	-8.152038	320	"AWI"	320	2223	2994	2606	32	0	1	0	0	0	25	0	4	0	0	89	19	0	0	0	15	0	72	0	0	0	0	0	0	7	10	0	0	0	31	0	0	0	0	5	0	0	0	1	0	3
11578	17336	"Borheen Lough"	52.372314	-8.152038	340	"AWI"	340	2450	3174	2838	22	2	4	0	0	0	16	0	1	1	1	129	34	0	0	0	11	0	134	0	0	0	0	0	0	1	17	0	0	0	74	0	7	0	0	8	0	0	0	3	0	4
11578	17336	"Borheen Lough"	52.372314	-8.152038	370	"AWI"	370	2819	3429	3172	22	1	4	0	0	0	28	0	0	0	1	110	35	0	0	0	16	0	96	0	0	0	0	0	0	5	5	0	0	0	75	0	8	0	0	5	0	0	0	2	0	7
11578	17336	"Borheen Lough"	52.372314	-8.152038	400	"AWI"	400	3378	3676	3487	40	0	1	2	0	0	17	0	5	1	0	105	9	0	0	0	6	0	75	0	1	0	0	0	0	10	11	0	0	0	37	0	7	0	0	1	0	0	0	4	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	420	"AWI"	420	3547	4215	3807	52	0	2	0	0	0	25	0	1	1	3	134	9	0	0	0	9	0	67	0	1	0	0	0	0	13	11	0	0	0	49	0	0	0	0	2	0	0	0	0	0	8
11578	17336	"Borheen Lough"	52.372314	-8.152038	440	"AWI"	440	3760	4609	4162	30	1	3	1	1	0	20	0	0	0	1	73	33	0	0	0	5	0	108	0	0	0	0	0	0	9	6	0	0	0	106	0	0	0	0	5	0	0	0	1	0	4
