"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fraxinus"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	0.5	"AWI"	0.5	-108.5	70	-26	0	0	6	4	0	0	5	9	0	3	0	0	61	0	56	4	7	7	3
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	12.5	"AWI"	12.5	-18	828	301.5	0	0	9	15	0	0	4	18	0	0	0	0	61	0	108	8	11	9	9
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	24.5	"AWI"	24.5	168	1176	712.5	0	0	3	11	0	0	5	6	0	0	0	0	100	0	107	13	17	10	14
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	36.5	"AWI"	36.5	684	1443.5	1112.5	0	0	1	8	0	0	2	4	0	2	0	0	105	0	50	13	9	11	11
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	48.5	"AWI"	48.5	1013.5	1698.5	1423	0	0	1	7	0	0	2	3	0	2	0	0	117	0	47	14	5	11	11
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	60	"AWI"	60	1214	1939	1627	0	0	3	12	0	0	16	1	0	4	0	1	127	0	17	34	9	4	21
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	70	"AWI"	70	1377	2085	1777	0	0	1	6	0	0	7	1	0	5	0	1	170	0	0	47	3	32	21
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	80	"AWI"	80	1543	2193	1932	0	0	1	5	0	0	17	6	0	5	0	0	302	0	0	35	4	27	33
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	90	"AWI"	90	1872	2255	2076	0	0	2	10	0	0	14	3	0	8	0	1	230	0	0	29	3	23	30
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	100	"AWI"	100	2009	2363	2198	0	0	3	8	0	0	20	5	0	7	0	4	230	0	0	55	4	21	42
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	110	"AWI"	110	2080	2513	2297	0	0	2	9	0	0	22	3	0	6	0	2	168	0	0	45	2	36	41
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	120	"AWI"	120	2155	2620	2391	0	0	3	5	0	0	33	5	0	10	0	1	200	0	0	58	2	27	55
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	130	"AWI"	130	2278	2688	2496	0	0	3	11	0	0	31	4	0	10	0	1	103	0	0	69	0	57	72
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	140	"AWI"	140	2404	2778	2604	0	0	4	5	0	0	29	2	0	7	0	0	79	0	0	61	1	50	81
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	150	"AWI"	150	2527	2950	2745	0	0	2	5	0	0	61	5	0	12	0	0	105	0	0	66	2	37	77
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	160	"AWI"	160	2627	3434	2958	0	0	1	5	0	0	78	3	0	8	0	0	65	0	0	75	0	37	99
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	170	"AWI"	170	2792	3657	3267	0	0	2	6	0	0	75	6	0	12	0	1	31	0	0	77	5	29	62
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	180	"AWI"	180	3111	3890	3529	0	0	2	10	0	0	106	4	0	6	0	0	17	0	0	81	3	43	88
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	190	"AWI"	190	3478	4038	3803	0	0	4	10	0	0	113	9	0	12	0	0	15	0	0	118	2	60	93
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	200	"AWI"	200	3865	4419	4095	0	0	0	8	0	0	98	7	0	11	0	0	25	0	0	104	9	32	108
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	210	"AWI"	210	4039	4788	4407	0	0	7	12	0	0	80	4	0	8	0	0	15	0	0	101	4	40	122
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	220	"AWI"	220	4224	5125	4687	0	0	1	6	0	0	45	10	0	0	0	0	13	0	0	47	4	23	68
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	230	"AWI"	230	4464	5327	4971	0	0	2	7	0	0	57	9	0	1	0	0	10	0	0	49	2	49	86
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	240	"AWI"	240	4958	5434	5238	0	0	1	5	0	0	56	7	1	3	0	0	9	0	0	68	5	27	103
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	251.5	"AWI"	251.5	5305	6000.5	5595	0	0	0	5	0	0	34	1	0	7	0	0	10	0	0	73	1	34	107
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	262.5	"AWI"	262.5	5539	6523.5	5976	0	0	0	7	0	0	16	3	0	3	0	0	14	0	0	84	3	21	85
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	272.5	"AWI"	272.5	5764.5	6889.5	6325	0	0	1	6	0	0	10	2	1	4	0	0	28	0	0	64	2	23	79
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	282.5	"AWI"	282.5	5974.5	7126.5	6712.5	0	0	0	4	0	0	9	4	0	1	0	0	10	0	0	57	3	21	71
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	292.5	"AWI"	292.5	6832.5	7208	7030.5	0	0	1	2	0	0	10	8	0	3	0	0	1	0	0	55	1	11	73
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	302.5	"AWI"	302.5	7073.5	7610	7314	0	0	2	3	0	0	10	3	0	0	0	0	3	0	0	49	1	19	64
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	312.5	"AWI"	312.5	7217.5	8039.5	7566	0	0	1	3	0	0	9	7	0	0	0	0	13	0	0	54	0	19	104
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	322.5	"AWI"	322.5	7371.5	8285.5	7856	0	0	1	6	0	0	9	2	0	0	0	0	7	0	0	37	0	15	71
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	332.5	"AWI"	332.5	7708.5	8386	8122	0	0	2	14	0	0	1	8	0	0	0	0	3	0	0	8	5	11	45
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	342.5	"AWI"	342.5	8113	8518	8346.5	0	0	2	2	0	0	3	12	0	0	0	0	3	0	0	8	5	18	24
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	352.5	"AWI"	352.5	8279.5	8768.5	8526.5	0	0	0	6	0	0	3	9	0	0	0	0	4	0	0	29	5	20	45
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	360	"AWI"	360	8333	9009	8616	0	0	1	17	0	0	0	9	0	0	0	0	5	0	0	11	3	9	30
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	370	"AWI"	370	8420	9218	8745	0	0	2	5	0	0	3	10	1	0	0	0	3	0	0	3	2	6	18
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	380	"AWI"	380	8510	9409	8874	0	0	1	1	0	0	1	10	0	0	0	0	1	0	0	9	1	4	20
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	390	"AWI"	390	8592	9610	9006	0	0	1	7	0	0	0	6	0	0	0	0	1	0	0	1	3	1	2
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	400	"AWI"	400	8692	9779	9140	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	3	0	3
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	410	"AWI"	410	8789	9957	9284	0	0	2	6	0	0	1	18	1	0	0	0	0	0	0	1	6	0	3
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	420	"AWI"	420	8877	10112	9416	0	0	1	7	0	0	0	14	0	0	0	0	0	0	0	0	6	0	3
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	430	"AWI"	430	8969	10309	9548	0	0	3	12	175	0	1	19	0	0	0	0	1	0	0	0	11	1	4
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	440	"AWI"	440	9080	10465	9691	0	0	6	11	117	0	0	18	0	0	0	0	0	0	0	0	1	0	2
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	450	"AWI"	450	9195	10618	9829	0	0	4	7	0	0	0	17	0	0	0	0	0	54	0	0	10	0	2
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	460	"AWI"	460	9304	10779	9966	0	0	1	4	123	0	0	13	0	0	0	0	1	52	0	0	9	0	0
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	470	"AWI"	470	9393	10924	10108	0	0	1	7	157	0	0	14	1	0	0	0	0	39	0	1	6	0	3
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	480	"AWI"	480	9505	11086	10250	0	0	0	15	0	0	0	16	0	0	0	0	1	51	0	0	10	0	1
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	490	"AWI"	490	9639	11233	10381	0	0	3	18	82	0	0	19	0	0	0	0	1	63	0	0	15	0	0
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	500	"AWI"	500	9755	11379	10520	0	0	9	28	0	0	0	10	1	0	0	0	3	0	0	0	10	0	0
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	510	"AWI"	510	9860	11537	10657	0	0	6	33	0	0	0	5	0	0	0	0	5	0	0	0	14	0	0
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	520	"AWI"	520	9987	11679	10796	0	0	14	28	123	0	0	33	0	0	0	0	11	0	0	1	13	0	0
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	530	"AWI"	530	10119	11815	10932	0	0	22	55	0	0	0	33	0	0	0	0	13	0	0	0	15	0	0
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	540	"AWI"	540	10229	11940	11065	0	0	29	93	0	0	0	24	0	0	0	0	4	0	0	0	17	0	2
26580	46485	"Myshetskoe-Dolgoe"	56.06667	37.33333	550	"AWI"	550	10330	12089	11204	0	0	24	89	0	0	0	10	1	0	0	1	13	0	0	0	16	0	0
