"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
20	20	"Akuvaara"	69.12326	27.67406	0	"AWI"	0	-106	63	-24	6	1	0	0	0	268	0	0	20	18	10	495	5	0	0	5	1	1	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	5	"AWI"	5	44	780	307	9	0	0	3	0	268	0	0	20	18	12	560	1	1	0	0	0	1	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	10	"AWI"	10	267	1260	675	3	0	0	0	1	248	0	0	15	16	10	453	0	0	0	0	0	0	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	15	"AWI"	15	524	1668	1043	5	0	0	1	0	260	0	1	17	14	8	506	2	0	0	3	0	3	0	0	0	1
20	20	"Akuvaara"	69.12326	27.67406	20	"AWI"	20	828	2027	1405	10	0	0	0	0	208	0	0	6	4	6	500	2	0	0	0	0	1	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	25	"AWI"	25	1188	2367	1767	2	0	0	0	0	256	0	0	12	13	10	475	5	0	0	3	0	0	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	30	"AWI"	30	1563	2692	2138	4	0	0	2	0	258	0	1	46	9	5	576	4	0	0	0	1	0	0	0	1	0
20	20	"Akuvaara"	69.12326	27.67406	35	"AWI"	35	1992	2991	2496	6	0	0	1	0	230	0	0	9	11	5	472	12	0	0	4	0	2	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	40	"AWI"	40	2363	3352	2836	3	0	0	0	0	247	0	1	15	10	5	467	7	0	0	3	0	2	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	45	"AWI"	45	2653	3753	3178	11	0	0	0	1	242	0	0	12	15	5	482	3	0	0	0	0	2	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	50	"AWI"	50	2964	4112	3519	5	0	0	0	0	208	0	2	12	5	6	529	4	0	1	0	0	0	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	55	"AWI"	55	3288	4450	3867	9	0	0	0	0	290	0	0	23	14	5	538	7	0	1	0	0	5	0	0	0	1
20	20	"Akuvaara"	69.12326	27.67406	60	"AWI"	60	3645	4781	4219	15	2	0	1	0	296	0	3	17	10	0	644	3	2	0	0	0	2	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	65	"AWI"	65	4051	5096	4554	11	0	0	1	0	388	0	3	19	9	1	605	7	1	0	0	0	0	0	0	0	0
20	20	"Akuvaara"	69.12326	27.67406	70	"AWI"	70	4415	5451	4904	17	1	0	3	0	214	0	1	7	3	0	576	3	0	0	0	0	3	0	0	0	0
