"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Iridaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15969	24620	"La Grange"	46.08972	-0.77528	5	"AWI"	5	2084	3042	2730	0	2	13	7	0	0	0	0	0	0	1	0	20	0	38	0	0	0	0	0	2	0	2	0	0	0	0	56	0	7	0	0	0	1	0	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	9	"AWI"	9	2312	3088	2813	1	3	5	1	1	1	0	0	1	0	0	0	20	0	72	1	0	0	0	0	0	0	13	0	0	0	0	89	0	1	1	0	0	0	0	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	13	"AWI"	13	2473	3152	2904	0	2	6	5	0	1	15	1	1	0	0	0	12	0	66	0	0	1	0	0	1	0	5	0	0	0	0	90	0	1	0	1	0	2	1	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	17	"AWI"	17	2560	3221	2973	0	4	2	4	0	0	0	0	0	0	0	0	30	0	65	0	0	0	0	0	1	0	8	0	0	0	0	91	2	2	0	2	0	4	1	1	0	1
15969	24620	"La Grange"	46.08972	-0.77528	21	"AWI"	21	2647	3253	3014	0	3	5	1	0	0	12	0	1	1	0	0	35	0	85	0	0	2	0	0	0	0	8	0	0	63	0	76	1	5	1	1	0	1	0	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	25	"AWI"	25	2708	3295	3055	1	6	3	7	0	0	0	0	2	0	0	0	31	0	95	0	0	2	0	0	0	0	9	2	0	0	0	60	0	6	0	2	0	6	1	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	29	"AWI"	29	2764	3355	3094	0	5	6	5	0	1	12	0	1	0	0	0	27	0	70	0	0	0	0	0	0	0	4	0	0	0	0	53	0	3	0	1	0	0	0	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	33	"AWI"	33	2859	3401	3139	0	4	6	9	0	1	16	0	3	0	0	0	22	0	81	0	0	0	0	0	0	0	6	0	0	0	0	83	0	5	0	4	0	1	2	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	37	"AWI"	37	2951	3442	3188	0	6	2	4	0	2	20	2	5	0	0	2	26	0	70	0	0	0	0	0	1	0	9	0	0	0	0	98	0	6	1	0	0	2	1	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	41	"AWI"	41	3019	3506	3240	0	9	4	5	0	0	0	1	2	0	0	0	25	0	60	0	0	1	0	0	2	0	10	0	0	104	0	57	0	5	0	1	0	2	1	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	45	"AWI"	45	3070	3567	3295	1	9	2	5	0	0	18	1	3	0	0	0	37	0	60	0	0	0	0	0	1	0	15	2	0	66	1	75	0	8	0	0	0	1	1	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	49	"AWI"	49	3745	4170	3952	0	0	1	1	0	2	0	1	0	0	0	0	15	0	135	0	0	1	0	0	1	0	4	2	1	60	0	52	0	4	0	0	0	3	0	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	53	"AWI"	53	4353	4807	4629	2	9	0	1	0	1	0	0	0	0	0	0	19	0	143	0	0	1	0	0	1	1	7	0	0	0	0	80	0	3	0	0	0	0	2	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	57	"AWI"	57	4903	5499	5306	0	4	1	4	0	0	0	1	0	0	0	0	24	0	110	0	0	0	0	0	0	0	6	0	0	0	0	63	0	2	0	1	0	1	1	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	61	"AWI"	61	5353	6051	5828	1	4	0	5	3	0	0	1	0	0	0	0	31	0	28	0	0	0	1	1	0	0	10	0	0	135	0	80	0	0	0	0	0	0	0	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	65	"AWI"	65	5519	6075	5891	3	10	6	2	0	0	0	0	0	0	0	0	22	0	19	2	0	0	0	0	2	0	4	0	0	0	0	77	0	2	0	0	1	1	0	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	69	"AWI"	69	5651	6109	5954	1	6	2	2	0	0	0	0	0	0	1	0	56	0	85	1	0	1	1	1	2	0	8	0	0	0	0	79	0	0	0	0	0	6	1	2	0	0
15969	24620	"La Grange"	46.08972	-0.77528	73	"AWI"	73	5731	6168	6008	1	8	0	2	0	0	0	0	0	0	0	0	78	0	54	1	0	0	0	0	4	0	13	0	0	0	0	80	0	1	0	0	0	4	0	2	0	1
15969	24620	"La Grange"	46.08972	-0.77528	77	"AWI"	77	5790	6232	6052	1	3	0	3	0	0	0	1	0	0	0	0	38	1	107	0	0	1	0	0	0	0	4	0	0	21	0	75	1	0	0	0	0	4	3	1	0	1
15969	24620	"La Grange"	46.08972	-0.77528	81	"AWI"	81	5841	6248	6083	0	5	2	4	0	0	0	0	0	0	0	0	30	0	129	1	0	2	0	0	4	0	12	0	0	0	0	49	0	2	0	0	0	5	0	2	0	1
15969	24620	"La Grange"	46.08972	-0.77528	85	"AWI"	85	5882	6271	6116	0	9	0	4	0	0	0	0	1	0	0	0	58	0	84	0	0	0	0	0	2	0	6	0	2	0	0	78	0	1	0	0	0	1	2	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	90	"AWI"	90	5918	6326	6157	1	0	1	5	0	0	0	0	1	0	2	0	3	0	137	0	0	0	0	0	2	0	15	0	0	49	0	40	0	6	0	1	0	2	2	3	0	0
15969	24620	"La Grange"	46.08972	-0.77528	94	"AWI"	94	5987	6348	6189	0	5	0	7	0	0	0	0	1	0	0	0	23	0	68	0	0	0	0	0	4	0	13	0	0	0	0	65	0	2	0	3	0	1	1	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	98	"AWI"	98	6034	6376	6224	1	3	3	7	0	0	0	2	1	0	0	0	6	0	147	1	0	1	0	0	1	0	7	0	0	0	0	36	0	5	0	4	0	0	0	0	0	0
15969	24620	"La Grange"	46.08972	-0.77528	100	"AWI"	100	6054	6396	6242	0	1	2	8	0	0	0	0	3	0	0	0	12	0	145	0	0	1	1	0	7	0	10	0	0	70	0	35	0	1	0	1	0	1	1	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	102	"AWI"	102	6073	6421	6258	0	0	1	3	0	0	11	0	2	0	0	0	18	0	84	0	0	0	0	0	8	0	14	0	0	0	0	43	0	3	0	1	0	7	2	1	0	1
15969	24620	"La Grange"	46.08972	-0.77528	106	"AWI"	106	6112	6473	6292	0	15	2	9	0	1	0	0	1	1	0	0	26	0	41	2	0	5	1	0	13	0	11	0	0	91	0	39	2	2	0	2	0	9	3	1	0	0
15969	24620	"La Grange"	46.08972	-0.77528	110	"AWI"	110	6166	6518	6332	1	7	1	11	0	2	0	0	0	0	0	0	27	0	53	0	0	2	0	1	7	0	7	0	0	113	0	36	1	6	0	0	0	3	1	5	0	1
15969	24620	"La Grange"	46.08972	-0.77528	114	"AWI"	114	6207	6587	6370	0	3	3	4	0	1	32	0	2	0	0	0	31	2	68	1	0	4	2	0	7	0	11	0	0	81	0	26	0	0	0	2	0	6	6	4	0	3
15969	24620	"La Grange"	46.08972	-0.77528	118	"AWI"	118	6235	6672	6408	0	35	0	7	0	2	0	2	3	0	0	0	24	0	96	1	0	2	1	1	8	0	23	0	0	83	0	33	2	1	0	0	0	4	4	2	0	1
15969	24620	"La Grange"	46.08972	-0.77528	122	"AWI"	122	6378	6841	6568	0	0	3	6	0	1	0	0	4	0	0	0	18	0	92	1	0	4	0	0	10	0	11	0	0	89	0	38	1	0	0	5	0	9	1	1	1	0
15969	24620	"La Grange"	46.08972	-0.77528	126	"AWI"	126	6480	7223	6855	0	8	2	8	0	2	26	0	1	0	0	0	17	0	56	0	0	4	0	0	6	0	27	0	0	56	0	58	0	1	0	3	0	5	1	3	0	2
15969	24620	"La Grange"	46.08972	-0.77528	130	"AWI"	130	6551	7696	7134	0	9	2	3	0	1	0	0	0	0	0	0	34	0	63	0	0	0	0	1	6	0	24	0	0	0	0	19	0	0	0	0	0	4	0	3	1	9
15969	24620	"La Grange"	46.08972	-0.77528	135	"AWI"	135	6619	8326	7480	0	0	2	10	0	0	21	0	1	0	0	0	59	0	48	2	0	0	0	0	4	0	33	0	0	0	0	20	0	1	0	3	0	1	3	2	0	5
15969	24620	"La Grange"	46.08972	-0.77528	139	"AWI"	139	7151	8417	7770	0	1	2	5	0	0	0	1	0	0	0	0	54	0	44	0	0	1	0	0	2	0	67	0	0	0	0	17	0	0	0	2	0	8	3	0	0	5
15969	24620	"La Grange"	46.08972	-0.77528	143	"AWI"	143	7511	8595	8073	0	0	4	7	0	0	22	3	2	0	0	0	107	0	29	0	0	2	0	0	3	0	59	0	0	0	0	20	0	0	0	0	0	0	2	1	0	6
15969	24620	"La Grange"	46.08972	-0.77528	146	"AWI"	146	7685	8869	8307	1	2	1	6	0	0	25	0	0	0	0	0	72	0	19	0	0	1	0	0	0	0	160	0	0	0	0	5	0	0	0	1	0	0	2	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	150	"AWI"	150	7840	9375	8588	0	17	3	9	0	0	55	2	0	0	0	0	56	0	34	0	0	0	0	0	1	0	95	0	0	0	0	3	0	0	0	0	0	1	2	1	0	1
15969	24620	"La Grange"	46.08972	-0.77528	154	"AWI"	154	7975	9564	8754	1	2	0	4	0	1	71	1	0	0	0	0	18	0	20	0	0	0	0	0	0	0	153	0	0	0	0	4	0	0	0	2	0	1	0	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	158	"AWI"	158	8055	9865	8903	1	3	1	1	0	0	97	3	0	0	0	0	35	0	21	0	0	1	0	0	1	0	97	0	0	0	0	2	0	1	0	3	0	0	0	0	0	1
15969	24620	"La Grange"	46.08972	-0.77528	162	"AWI"	162	8129	10263	9039	0	9	0	5	0	1	97	2	1	0	0	0	26	0	27	0	0	1	0	0	1	1	71	0	0	0	0	4	0	1	0	0	0	0	1	2	0	0
