"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23842	41326	"Middle North Coombe"	50.93389	-3.43333	20	"AWI"	20	-138	23	-55	8	1	6	0	0	0	1	9	8	1	0	6	0	9	0	0	48	0	0	1	0	2	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	14	4	0	38	2	19	4	0	1	0	0	5	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	24	"AWI"	24	-99	92	-5	16	0	1	0	0	0	0	5	5	0	0	7	0	9	0	0	38	0	0	1	0	0	0	0	0	0	0	2	0	0	0	6	0	282	0	0	0	0	9	12	0	0	1	12	6	0	0	0	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	28	"AWI"	28	-79	199	42	10	1	3	0	0	0	0	0	14	0	0	5	0	5	0	0	44	0	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	273	0	0	0	0	7	12	0	0	1	4	6	2	0	0	0	3	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	32	"AWI"	32	-62	318	87	8	2	3	1	0	0	0	2	0	0	0	10	0	6	1	0	41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	297	0	0	0	0	6	10	0	6	0	5	8	3	0	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	36	"AWI"	36	-27	386	137	7	0	5	2	0	58	0	0	0	0	0	5	0	7	0	0	79	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	260	0	0	0	0	8	14	0	0	1	4	5	5	2	0	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	40	"AWI"	40	7	413	195	7	0	11	2	1	0	0	6	5	0	0	10	0	8	0	0	56	0	0	1	0	1	0	0	0	0	0	1	0	2	0	2	0	271	0	0	0	0	2	21	0	0	0	13	7	2	0	1	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	44	"AWI"	44	31	456	252	4	2	7	0	0	36	0	3	5	0	0	13	0	7	0	0	51	0	0	0	0	1	0	0	1	0	0	6	0	2	0	0	0	243	0	0	0	0	16	21	0	0	0	18	6	19	0	2	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	48	"AWI"	48	49	519	302	0	0	7	0	0	0	1	5	7	0	0	10	0	3	0	0	78	0	0	0	0	3	0	0	1	2	0	1	0	1	0	0	0	247	0	0	0	0	19	27	0	0	0	15	3	16	1	0	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	52	"AWI"	52	148	538	354	0	0	10	0	0	0	0	2	8	0	0	7	0	4	0	0	78	6	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	237	0	0	0	1	41	31	0	0	0	16	2	17	0	0	0	2	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	56	"AWI"	56	223	566	413	1	1	3	0	1	0	3	3	7	0	0	4	0	5	1	0	89	0	0	0	0	1	0	0	1	1	0	2	0	3	0	0	0	249	0	0	0	0	21	20	0	11	2	15	5	12	0	0	0	5	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	60	"AWI"	60	287	600	473	2	0	4	0	0	0	2	12	9	0	0	8	0	4	0	0	51	0	0	0	0	1	0	0	0	2	0	3	1	2	0	0	0	260	0	0	0	0	10	20	0	17	1	24	2	14	4	0	0	2	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	64	"AWI"	64	325	646	517	4	1	6	0	0	0	0	1	12	0	0	6	0	3	0	0	18	0	0	0	0	1	0	0	0	3	0	1	1	1	0	0	0	270	0	0	0	0	14	12	0	15	1	35	0	6	2	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	68	"AWI"	68	346	700	543	1	0	4	0	0	0	0	0	16	0	0	3	0	8	0	0	14	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	282	0	0	1	0	10	15	0	11	2	14	5	13	0	0	0	0	3
23842	41326	"Middle North Coombe"	50.93389	-3.43333	72	"AWI"	72	363	784	572	1	0	2	0	0	0	1	0	27	0	0	2	0	12	0	0	8	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	286	0	0	0	0	5	16	0	0	2	0	1	6	1	1	0	0	1
23842	41326	"Middle North Coombe"	50.93389	-3.43333	76	"AWI"	76	377	878	601	3	0	1	0	1	86	2	1	15	0	0	4	0	11	0	0	13	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	288	0	0	0	0	8	11	0	0	1	14	0	4	0	1	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	80	"AWI"	80	420	908	634	7	0	1	0	0	89	0	2	22	0	0	0	0	3	0	0	12	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	294	0	0	0	0	5	14	0	0	1	19	1	3	2	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	84	"AWI"	84	448	950	669	0	1	1	0	0	0	0	0	18	0	0	2	1	7	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	301	0	0	0	0	2	10	0	0	0	20	0	4	0	1	0	0	0
