"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26022	45103	"Nisi Fen"	40.81667	21.91667	1020	"AWI"	1020	8855	10120	9531	13	5	1	4	2	0	1	0	0	0	8	0	20	0	0	0	7	0	25	0	0	1	0	150	2	0	0	0	1	59	1	0	0	0	0	3	0	2	3	0	1
26022	45103	"Nisi Fen"	40.81667	21.91667	1040	"AWI"	1040	9303	10420	9909	13	2	0	5	4	0	1	0	0	0	13	0	22	0	0	0	13	0	28	0	1	1	0	65	5	0	0	0	0	55	1	0	0	0	0	4	0	2	4	0	2
26022	45103	"Nisi Fen"	40.81667	21.91667	1060	"AWI"	1060	9774	10705	10281	7	1	0	2	2	0	0	0	0	0	8	0	9	0	0	0	3	0	8	0	0	0	0	29	0	0	0	0	0	36	0	0	0	0	0	1	0	4	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1080	"AWI"	1080	10264	10994	10650	0	4	2	1	8	0	13	0	0	0	1	1	33	0	0	0	0	0	0	0	1	0	3	58	1	0	0	0	0	109	2	0	0	6	0	0	1	3	5	0	1
26022	45103	"Nisi Fen"	40.81667	21.91667	1100	"AWI"	1100	10676	11337	10995	6	5	8	3	7	0	6	0	1	0	1	0	33	0	0	0	0	0	1	0	0	0	0	68	0	0	0	0	0	84	0	0	0	7	0	1	1	1	4	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1120	"AWI"	1120	10955	11742	11329	10	1	10	1	13	0	7	0	0	0	8	0	53	0	0	0	0	0	3	4	0	0	10	58	2	0	1	0	0	83	0	0	0	2	0	2	0	1	2	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1140	"AWI"	1140	11249	12099	11656	0	1	4	1	9	0	3	0	1	0	1	0	47	0	0	0	0	0	0	2	0	1	0	23	0	0	0	0	0	51	0	0	0	9	0	0	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1160	"AWI"	1160	11553	12461	11990	0	0	34	1	49	0	3	1	1	0	0	0	26	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	19	0	0	0	3	0	1	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1180	"AWI"	1180	11869	12782	12319	1	4	27	1	73	0	4	4	4	1	1	0	34	0	0	0	0	0	2	0	0	0	0	14	0	0	0	0	0	21	0	0	0	3	0	0	1	1	1	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1200	"AWI"	1200	12187	13109	12648	1	1	16	2	57	0	3	0	0	1	0	1	0	0	5	0	0	0	5	0	0	0	0	16	0	0	0	183	0	11	0	0	0	3	0	1	0	0	1	0	0
