"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24189	42570	"Bruckmisse"	48.730522	8.642734	4	"AWI"	4	341	692	509	3	0	8	1	0	0	2	0	0	14	0	0	0	0	0	0	47	7	220	0	0	49	0	2	0	1	0	0	0	0	0	0	0	1	0	6	13	0	0	1	0	0	40	0	0	0	1	0	0	0	0	0	0	47	27	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	12	"AWI"	12	1100	1484	1314	1	1	4	1	0	0	2	0	0	4	0	0	0	0	0	0	20	1	249	0	0	39	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	38	16	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	16	"AWI"	16	1261	1679	1495	1	1	3	1	0	0	1	1	0	22	0	0	0	0	0	0	43	1	290	0	0	74	0	5	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	52	0	0	0	1	0	0	0	0	0	0	54	28	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	20	"AWI"	20	1538	1798	1695	130	0	23	0	0	0	0	6	0	9	0	0	0	0	0	0	41	2	92	0	0	131	0	0	0	0	0	0	0	0	0	0	0	22	3	50	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	0	0	0	4	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	24	"AWI"	24	1723	1905	1806	19	1	30	0	0	0	0	1	0	19	0	0	2	0	1	0	48	2	202	0	0	250	0	4	0	0	0	0	0	0	0	0	0	9	0	8	14	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	8	5	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	28	"AWI"	28	1775	2022	1889	90	0	51	0	0	0	0	0	0	53	0	0	0	0	0	0	40	1	27	0	0	107	0	2	0	0	0	1	0	0	0	0	4	10	1	84	0	0	0	0	0	0	35	0	0	0	0	1	0	0	0	0	0	4	5	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	32	"AWI"	32	1841	2131	1960	36	0	30	0	0	0	0	3	0	8	0	0	0	0	0	0	76	2	88	0	0	221	0	2	0	0	0	0	0	0	0	0	0	4	1	19	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	11	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	40	"AWI"	40	2061	3046	2326	0	2	5	1	0	0	2	0	0	6	0	0	0	0	0	0	62	9	101	0	0	215	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	1	33	26	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	42	"AWI"	42	2837	3525	3077	5	2	2	0	0	0	3	1	0	1	0	0	0	0	0	0	11	20	0	0	0	238	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	23	0	0	0	0	2	0	0	0	0	0	90	40	1	0
24189	42570	"Bruckmisse"	48.730522	8.642734	44	"AWI"	44	3415	4085	3849	6	2	7	1	0	0	8	4	0	5	0	0	0	0	0	0	39	6	173	0	0	65	0	5	0	0	0	1	0	1	1	1	0	6	0	8	17	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	61	24	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	46	"AWI"	46	3985	4486	4321	9	0	7	0	0	0	6	0	0	10	0	0	0	0	0	0	52	12	118	0	0	143	0	5	0	0	0	0	1	0	0	0	2	8	1	5	8	0	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	52	34	1	0
24189	42570	"Bruckmisse"	48.730522	8.642734	48	"AWI"	48	4424	4635	4523	146	0	62	0	0	0	0	3	0	65	0	0	0	0	0	1	152	7	29	0	0	54	0	6	0	0	2	0	0	0	0	0	0	5	3	133	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	33	10	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	50	"AWI"	50	4474	5206	4713	66	1	78	0	0	0	1	4	0	86	0	0	0	0	0	0	153	0	19	0	0	36	1	7	0	0	0	0	0	0	0	0	0	1	5	241	0	0	0	1	0	1	94	0	0	0	0	0	0	0	0	0	0	17	9	3	0
24189	42570	"Bruckmisse"	48.730522	8.642734	52	"AWI"	52	4553	5280	4861	167	1	51	0	0	0	0	2	0	49	0	0	0	0	0	0	64	0	31	0	0	198	0	2	0	0	0	0	0	0	0	0	0	4	7	173	0	0	0	0	0	0	45	0	0	0	0	1	0	0	0	0	0	7	5	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	54	"AWI"	54	4594	5407	5009	161	0	94	0	0	0	0	1	0	62	0	0	0	0	0	0	131	4	40	0	0	212	0	13	1	0	1	0	0	0	0	0	0	5	7	134	0	0	0	0	0	0	77	0	0	1	0	1	0	1	0	0	0	12	8	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	56	"AWI"	56	4703	5555	5153	51	0	56	0	0	0	0	1	0	34	0	0	0	0	0	0	99	7	0	0	0	62	0	15	0	0	0	0	0	0	0	0	0	0	3	82	0	0	0	0	0	0	88	0	0	1	0	1	0	0	0	0	0	22	20	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	58	"AWI"	58	4836	5668	5299	65	2	36	0	0	0	0	0	0	35	0	0	0	0	0	0	100	3	9	0	0	49	0	19	0	0	1	0	0	0	0	0	0	2	0	60	0	0	0	1	0	0	102	0	0	0	0	0	0	1	0	0	0	22	20	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	60	"AWI"	60	4915	5832	5458	45	0	31	1	0	0	1	4	0	39	0	0	0	1	0	0	123	1	31	1	0	35	0	12	0	0	0	0	0	0	0	0	0	0	4	72	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	26	26	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	62	"AWI"	62	5183	5881	5587	2	4	50	0	1	0	0	2	0	40	1	0	0	0	0	0	120	1	25	1	0	11	0	44	0	0	0	0	0	0	0	0	1	0	3	53	0	0	0	2	0	0	172	0	2	0	0	0	0	0	0	1	0	54	35	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	64	"AWI"	64	5365	5954	5728	17	1	43	0	0	0	0	5	0	40	0	0	0	0	0	0	173	6	0	0	0	28	1	25	0	0	0	0	0	0	0	0	0	0	6	36	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	46	43	1	0
24189	42570	"Bruckmisse"	48.730522	8.642734	66	"AWI"	66	5566	6048	5842	0	0	8	3	0	0	15	3	0	7	0	0	0	0	0	0	96	1	0	0	0	16	0	3	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	202	79	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	68	"AWI"	68	5828	6095	5935	27	1	16	0	0	0	2	2	0	20	0	0	0	0	0	0	94	5	16	0	0	18	0	10	0	0	0	0	0	0	0	0	0	1	9	80	0	0	0	0	0	0	108	0	0	0	0	0	0	1	0	0	0	68	42	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	72	"AWI"	72	5965	6310	6107	8	3	41	0	0	0	0	0	0	26	0	0	0	0	0	0	178	1	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	1	2	65	0	0	0	1	0	0	126	0	0	0	0	0	0	0	0	0	0	56	32	0	0
