"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Cistaceae"	"Citrus"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Datiscaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Taxus"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3333	4326	"Ova Gölü"	36.26667	29.3	65	"AWI"	65	324	1182	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	55	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	80	"AWI"	80	471	1376	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	156	4	0	1	32	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
3333	4326	"Ova Gölü"	36.26667	29.3	100	"AWI"	100	675	1621	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	60	0	0	0	21	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	120	"AWI"	120	942	1839	1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	89	2	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	170	"AWI"	170	1649	2295	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	180	"AWI"	180	1749	2420	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	102	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	220	"AWI"	220	2033	2957	2475	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	1	2	0	0	15	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	240	"AWI"	240	2174	3204	2656	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	7	0	0	0	0	37	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3333	4326	"Ova Gölü"	36.26667	29.3	285	"AWI"	285	2528	3717	3073	0	1	0	0	0	1	0	0	0	0	0	0	1	14	0	0	0	21	0	0	3	0	0	0	52	0	0	0	0	0	1	0	1	0	0	2	1	0	0	2	0	169	15	0	0	0	33	2	0	1	59	0	0	3	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	300	"AWI"	300	2642	3882	3214	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	38	0	0	1	6	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
3333	4326	"Ova Gölü"	36.26667	29.3	320	"AWI"	320	2801	4085	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	243	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	5	0	0	0	5	16	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	351	"AWI"	351	3058	4405	3692	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	34	30	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
3333	4326	"Ova Gölü"	36.26667	29.3	352	"AWI"	352	3063	4419	3701	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	28	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	17	1	0	1	0	13	0	0	1	18	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	380	"AWI"	380	3288	4690	3963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	1	64	4	0	0	15	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	410	"AWI"	410	3533	5004	4244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	3	28	2	0	0	14	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3333	4326	"Ova Gölü"	36.26667	29.3	450	"AWI"	450	3881	5408	4620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	28	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
