"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14649	22988	"Bachalpsee"	46.66929	8.020694	1	"AWI"	1	-91	23	-21	2	1	29	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	11	0	19	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	9	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	1.5	"AWI"	1.5	-86	24	-18.5	2	1	25	2	1	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	13	0	15	0	0	0	0	0	4	1	0	0	1	0	0	1	0	1	0	0	0	0	0	73	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	2	"AWI"	2	-81	25	-16	6	1	23	2	1	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	10	0	22	0	0	0	0	0	9	3	0	2	1	0	2	1	0	0	0	0	0	0	0	46	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	2.5	"AWI"	2.5	-76	26.5	-13.5	4	0	25	1	0	0	0	2	0	0	3	1	0	0	0	0	0	1	0	0	6	0	7	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	61	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	3	1	6	0	1
14649	22988	"Bachalpsee"	46.66929	8.020694	3	"AWI"	3	-71	28	-11	5	0	45	2	0	0	0	1	0	0	5	1	0	3	0	0	0	3	0	0	20	0	21	0	0	0	0	0	4	1	0	0	0	0	0	2	0	0	0	0	1	0	0	88	0	0	0	0	0	0	6	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	11	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	3.5	"AWI"	3.5	-66	29	-8.5	1	1	19	1	0	0	0	0	0	0	1	0	0	2	0	0	0	4	0	0	16	0	29	0	0	0	0	0	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	40	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	10	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	4	"AWI"	4	-61	30	-6	4	2	23	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	13	0	13	0	0	0	0	0	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0	49	0	0	0	0	0	0	4	0	0	0	1	0	7	0	0	0	0	0	0	1	2	1	3	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	4.5	"AWI"	4.5	-56	31	-3.5	4	1	26	0	1	0	0	3	0	0	3	1	0	0	0	0	0	4	0	1	7	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	54	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0	0	0	0	1	0	1	3	6	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	5	"AWI"	5	-51	32	-1	1	0	27	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	9	0	13	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	9	0	1
14649	22988	"Bachalpsee"	46.66929	8.020694	5.5	"AWI"	5.5	-45.5	33	1.5	3	1	23	1	0	0	0	1	0	0	4	1	0	0	0	0	0	2	0	0	7	0	24	0	0	0	0	0	3	3	0	0	1	0	0	1	0	1	0	0	0	0	0	52	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	3	1	7	1	0
14649	22988	"Bachalpsee"	46.66929	8.020694	6	"AWI"	6	-40	34	4	3	0	28	0	1	0	0	2	0	0	6	0	0	0	0	0	0	3	0	0	6	0	16	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	2	0	0	32	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	6.5	"AWI"	6.5	-35.5	35	6.5	3	0	37	0	1	0	0	1	0	0	4	1	0	0	0	0	0	6	0	0	7	0	12	0	0	0	0	0	3	1	0	0	1	0	0	2	0	0	0	0	1	0	0	40	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	13	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	7	"AWI"	7	-31	36	9	2	0	28	1	0	0	0	0	0	0	3	1	0	0	0	0	0	5	0	0	12	0	12	0	0	0	0	0	6	1	0	0	0	0	0	2	0	0	0	0	0	0	0	67	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	8	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	7.5	"AWI"	7.5	-26	37.5	11.5	1	0	27	2	0	0	0	3	0	0	2	1	0	0	0	0	0	2	0	0	8	0	15	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	2	0	0	42	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	7	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	8	"AWI"	8	-21	39	14	1	0	31	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	12	0	25	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	1	0	0	62	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	7	0	0
14649	22988	"Bachalpsee"	46.66929	8.020694	8.5	"AWI"	8.5	-16.5	40	16.5	4	1	30	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	8	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	60	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	12	0	0
