"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	212	"AWI"	212	4499	5152	4828	1	221	0	0	0	1	1	0	18	0	0	0	0	0	51	26	0	0	0	0	0	5	1	12	0	0	0	0	0	0	2	0	0	4	3	97	0	0	0	2	0	76	1	0	0	1	14	5	0	2
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	220	"AWI"	220	4584	5194	4897	0	225	1	0	0	1	0	0	3	0	0	0	1	0	49	5	0	0	0	0	1	3	1	3	0	0	0	1	0	0	0	0	0	1	0	95	0	0	0	0	0	112	0	0	0	0	18	6	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	228	"AWI"	228	4653	5265	4964	0	262	0	0	1	0	0	0	12	1	0	0	0	0	49	19	0	0	0	0	2	4	1	12	0	0	0	0	0	0	1	0	0	10	0	137	0	1	0	2	0	44	0	0	0	0	13	3	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	236	"AWI"	236	4735	5312	5029	0	689	0	0	1	1	0	0	3	0	0	0	0	0	69	21	0	0	0	0	1	1	0	11	0	0	0	0	0	0	2	0	0	3	0	138	0	0	12	5	0	34	0	0	0	0	13	5	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	244	"AWI"	244	4818	5369	5097	0	353	0	0	0	3	0	0	11	1	0	0	0	0	74	10	0	0	0	0	0	5	1	7	0	0	0	0	0	0	0	0	0	11	0	129	1	2	0	0	0	38	0	0	0	0	14	3	0	1
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	252	"AWI"	252	4926	5408	5167	0	315	1	0	0	1	0	0	23	0	0	0	1	0	69	14	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	3	0	46	0	99	1	0	0	0	0	28	0	0	0	0	12	3	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	260	"AWI"	260	4993	5459	5228	0	524	0	0	0	0	0	0	11	0	0	0	0	0	76	8	0	0	0	0	0	5	0	5	0	0	0	0	0	0	1	0	0	16	0	141	0	0	0	0	0	15	0	0	0	0	28	9	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	268	"AWI"	268	5045	5516	5291	0	487	1	1	12	2	0	0	3	0	0	0	1	0	86	8	0	0	0	0	0	10	0	2	0	0	0	0	0	0	1	0	0	3	0	105	0	2	0	1	0	9	0	0	0	2	26	8	0	2
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	276	"AWI"	276	5100	5568	5344	0	480	0	0	4	2	1	0	4	0	0	0	2	0	103	17	0	0	0	0	1	6	0	3	0	0	0	0	0	0	1	0	0	5	0	119	0	0	0	1	0	4	0	0	0	0	23	3	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	284	"AWI"	284	5147	5621	5397	0	1259	3	0	1	2	2	0	3	0	0	0	0	0	89	39	0	0	0	0	0	5	0	11	0	0	0	0	0	0	1	0	0	5	0	99	0	0	0	0	0	20	0	0	1	1	18	8	2	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	292	"AWI"	292	5211	5667	5448	0	910	2	0	5	1	1	0	5	0	0	0	1	0	78	82	0	0	0	1	0	5	0	5	0	0	0	0	2	0	3	0	0	18	0	92	0	1	0	2	0	5	0	0	0	0	9	4	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	300	"AWI"	300	5263	5730	5500	0	200	1	0	11	0	4	0	6	0	0	0	0	1	60	66	0	0	0	0	0	1	0	3	0	0	0	0	0	0	3	0	0	47	0	64	0	0	0	0	0	2	0	0	1	0	8	2	0	1
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	308	"AWI"	308	5357	5773	5549	0	195	0	0	56	0	0	0	4	0	0	0	0	0	34	97	0	0	0	0	2	1	0	8	0	0	0	0	1	0	2	0	0	35	0	55	0	0	0	0	0	5	0	0	0	0	10	1	0	1
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	320	"AWI"	320	5479	5841	5632	0	261	3	0	2	0	1	0	10	0	0	0	0	0	71	42	0	0	0	0	0	3	0	5	0	1	0	0	0	0	1	0	0	47	0	110	0	0	0	2	0	14	0	0	0	0	13	2	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	328	"AWI"	328	5522	5904	5695	0	28	4	1	0	0	0	0	6	0	0	0	0	0	72	57	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	87	0	76	0	0	0	0	0	1	0	0	0	0	5	3	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	336	"AWI"	336	5592	5979	5762	0	27	13	0	1	0	0	0	5	0	0	0	0	0	28	33	0	0	0	0	0	1	0	4	0	3	0	0	0	0	0	0	0	127	0	94	0	0	0	3	0	4	0	0	0	0	13	8	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	344	"AWI"	344	5644	6067	5833	0	42	5	1	1	2	1	0	7	0	0	0	0	0	25	18	0	0	0	0	0	3	0	3	0	1	0	0	0	0	0	0	0	136	1	70	0	0	0	0	0	7	0	0	0	1	10	9	1	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	352	"AWI"	352	5729	6137	5903	0	70	5	0	0	0	1	0	5	1	0	0	0	0	19	26	0	0	0	0	1	7	0	9	0	1	0	0	0	0	2	0	0	145	0	74	0	0	0	1	0	7	0	0	0	0	16	12	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	360	"AWI"	360	5784	6232	5978	0	28	3	0	0	0	0	0	4	0	0	0	0	0	36	66	0	0	0	0	0	8	0	10	0	1	0	0	0	0	0	0	0	78	28	57	0	0	0	2	0	1	0	0	0	0	19	6	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	364	"AWI"	364	5838	6275	6025	0	16	7	0	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	0	0	2	0	7	0	0	0	0	0	0	1	0	1	218	1	32	0	0	0	0	0	0	0	0	0	0	9	3	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	368	"AWI"	368	5887	6323	6080	0	15	53	0	3	0	0	14	3	0	0	0	0	0	29	24	0	0	0	0	0	2	2	12	0	0	0	0	0	1	8	0	0	66	0	67	0	0	0	0	0	0	0	0	0	0	13	9	1	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	372	"AWI"	372	5921	6396	6132	0	15	63	0	1	1	0	0	9	0	0	0	1	0	36	26	0	0	0	0	0	3	0	11	0	0	0	0	0	0	2	0	1	64	0	62	0	0	0	0	0	2	0	0	0	0	11	11	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	376	"AWI"	376	5948	6491	6185	0	11	22	0	0	1	1	0	5	0	0	0	0	0	29	43	0	0	0	0	0	8	0	2	0	0	0	0	0	0	2	0	0	114	0	54	1	0	0	0	0	0	0	0	0	0	12	5	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	380	"AWI"	380	5986	6511	6207	0	14	10	0	0	0	0	0	5	0	0	0	0	0	16	22	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	144	0	79	0	0	0	0	0	1	0	0	0	0	9	8	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	384	"AWI"	384	6014	6534	6232	0	11	32	0	0	0	1	0	7	0	0	0	0	0	35	11	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	104	0	57	0	0	0	1	0	1	0	0	0	0	8	7	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	388	"AWI"	388	6032	6560	6257	0	11	0	0	0	0	1	0	2	0	0	0	0	0	18	5	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	355	0	32	0	0	0	0	0	0	0	0	0	0	13	4	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	392	"AWI"	392	6056	6591	6284	0	18	14	0	3	3	2	0	6	1	0	0	0	0	50	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	2	0	0	83	0	95	0	0	0	0	0	1	0	0	0	0	13	11	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	396	"AWI"	396	6106	6611	6307	0	11	36	0	1	1	0	0	4	0	0	0	0	0	53	13	0	0	0	0	0	7	0	2	0	0	0	0	0	0	1	0	0	55	0	90	0	0	0	0	0	2	0	0	0	0	11	18	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	400	"AWI"	400	6140	6633	6333	0	6	44	0	4	0	1	0	9	2	0	0	0	0	36	29	0	0	0	0	0	6	0	3	0	0	0	0	0	0	3	0	0	59	0	75	0	0	0	0	0	1	0	0	0	0	4	12	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	404	"AWI"	404	6162	6660	6363	0	12	13	0	1	2	0	10	3	0	0	0	0	0	42	37	0	0	0	0	0	1	0	12	0	1	0	0	0	0	6	0	0	136	0	34	0	0	0	0	0	0	0	0	0	0	23	4	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	408	"AWI"	408	6194	6705	6396	0	9	10	1	9	0	0	7	5	0	0	0	0	0	18	38	0	0	0	0	0	0	0	19	0	0	0	0	0	0	2	0	0	170	0	24	0	0	0	0	0	0	0	0	0	0	11	6	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	412	"AWI"	412	6224	6769	6437	0	9	8	0	0	1	0	6	2	0	0	0	0	0	58	44	0	0	0	0	0	0	0	24	0	0	0	0	0	0	13	0	0	39	0	45	0	0	0	0	0	0	0	0	0	0	86	8	0	0
