"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
3056	3986	"Chistic"	57.335	33	13	"AWI"	13	2049	3465	2840	21	0	2	0	42	30	0	58	63	67	1	0	0	0	0
3056	3986	"Chistic"	57.335	33	19	"AWI"	19	2208	3586	2978	14	1	0	0	40	2	0	90	32	54	1	0	0	0	0
3056	3986	"Chistic"	57.335	33	24	"AWI"	24	2371	3692	3093	10	1	0	0	19	3	0	6	24	40	0	0	1	0	0
3056	3986	"Chistic"	57.335	33	34	"AWI"	34	2624	3916	3335	11	1	1	0	26	12	0	30	8	3	0	0	0	0	0
3056	3986	"Chistic"	57.335	33	39	"AWI"	39	2763	4010	3453	11	0	1	0	38	19	2	11	3	23	6	0	0	0	0
3056	3986	"Chistic"	57.335	33	44	"AWI"	44	2908	4106	3571	16	1	1	2	21	11	0	19	31	97	3	0	0	0	0
3056	3986	"Chistic"	57.335	33	49	"AWI"	49	3037	4202	3688	1	2	0	0	20	2	0	54	10	29	0	0	0	0	0
3056	3986	"Chistic"	57.335	33	54	"AWI"	54	3181	4296	3803	7	1	1	0	19	1	0	50	53	133	0	0	0	0	0
3056	3986	"Chistic"	57.335	33	59	"AWI"	59	3326	4394	3922	10	1	1	0	24	2	0	6	11	53	5	0	0	0	1
3056	3986	"Chistic"	57.335	33	64	"AWI"	64	3460	4482	4040	2	1	1	0	13	6	0	16	21	38	2	1	0	0	0
3056	3986	"Chistic"	57.335	33	69	"AWI"	69	3620	4571	4164	14	0	0	0	38	8	0	7	70	73	1	2	0	0	0
3056	3986	"Chistic"	57.335	33	74	"AWI"	74	3783	4662	4281	9	1	0	0	13	16	0	3	65	99	0	0	0	3	1
3056	3986	"Chistic"	57.335	33	79	"AWI"	79	3948	4747	4396	7	1	0	0	17	1	0	6	71	103	0	0	0	2	0
3056	3986	"Chistic"	57.335	33	84	"AWI"	84	4120	4832	4509	11	0	0	0	12	2	0	1	26	33	1	0	0	2	0
3056	3986	"Chistic"	57.335	33	89	"AWI"	89	4302	4908	4622	24	0	0	0	23	10	0	3	75	108	1	2	0	15	5
3056	3986	"Chistic"	57.335	33	94	"AWI"	94	4490	4993	4737	43	0	0	0	32	34	0	5	115	31	0	4	0	16	4
3056	3986	"Chistic"	57.335	33	99	"AWI"	99	4656	5102	4861	49	0	0	0	46	19	0	7	155	127	0	2	0	21	6
3056	3986	"Chistic"	57.335	33	104	"AWI"	104	4757	5316	4998	38	1	1	0	28	38	0	4	77	19	0	1	0	13	5
3056	3986	"Chistic"	57.335	33	119	"AWI"	119	5103	5822	5464	34	0	0	0	53	14	0	0	5	5	0	3	0	4	33
3056	3986	"Chistic"	57.335	33	134	"AWI"	134	5563	6206	5927	61	2	0	0	82	23	0	5	36	26	0	6	0	7	20
3056	3986	"Chistic"	57.335	33	149	"AWI"	149	6080	6485	6351	20	0	2	0	24	10	0	1	78	40	0	2	0	5	11
3056	3986	"Chistic"	57.335	33	164	"AWI"	164	6374	6858	6620	26	0	0	0	50	8	0	1	0	0	1	0	0	8	1
3056	3986	"Chistic"	57.335	33	179	"AWI"	179	6640	7129	6897	21	0	0	0	38	9	0	0	65	36	0	3	0	3	10
3056	3986	"Chistic"	57.335	33	189	"AWI"	189	6847	7281	7082	21	0	0	0	37	21	0	1	38	18	0	0	0	6	10
3056	3986	"Chistic"	57.335	33	224	"AWI"	224	7485	8293	7843	18	0	1	0	103	4	0	0	3	20	1	2	0	7	4
3056	3986	"Chistic"	57.335	33	239	"AWI"	239	7758	8709	8202	5	0	1	0	116	9	0	7	20	52	1	0	0	16	17
3056	3986	"Chistic"	57.335	33	254	"AWI"	254	8073	9092	8567	12	0	2	0	97	8	0	2	8	44	0	0	0	5	8
3056	3986	"Chistic"	57.335	33	269	"AWI"	269	8402	9480	8925	1	0	0	0	81	6	0	2	4	95	0	1	0	1	3
3056	3986	"Chistic"	57.335	33	284	"AWI"	284	8732	9833	9288	1	1	0	0	23	1	0	0	6	69	1	0	0	0	0
3056	3986	"Chistic"	57.335	33	299	"AWI"	299	9104	10159	9643	2	1	0	0	48	8	0	0	5	30	1	0	0	0	0
3056	3986	"Chistic"	57.335	33	319	"AWI"	319	9605	10597	10117	3	0	0	0	22	3	0	2	13	19	0	1	0	0	0
3056	3986	"Chistic"	57.335	33	329	"AWI"	329	9860	10807	10352	0	0	0	0	0	2	1	0	4	75	1	0	0	0	0
3056	3986	"Chistic"	57.335	33	339	"AWI"	339	10168	10989	10580	1	0	0	0	13	2	0	0	5	39	1	0	0	0	0
3056	3986	"Chistic"	57.335	33	349	"AWI"	349	10429	11192	10807	0	0	0	0	10	0	0	0	19	33	0	0	0	0	0
