"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	102	"AWI"	102	9287	10635	10095	0	29	0	1	1	0	0	4	0	0	0	0	0	140	1	0	0	0	1	0	0	0	0	0	0	60	0	0	0	0	49	0	0	0	0	0	0	0	18	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	110	"AWI"	110	9446	10691	10193	0	0	0	28	0	0	0	3	0	0	0	0	0	253	9	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	130	0	0	1	0	5	0	0	45	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	120	"AWI"	120	9612	10780	10317	0	0	0	23	0	1	0	7	2	0	0	0	0	450	2	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	121	0	0	0	0	4	1	0	41	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	130	"AWI"	130	9794	10846	10436	0	0	0	27	1	0	0	10	6	0	0	0	0	318	7	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	100	0	0	0	0	14	1	0	25	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	140	"AWI"	140	10028	10924	10553	0	0	0	40	0	0	0	29	0	0	0	0	0	265	4	0	0	0	0	0	0	1	0	0	0	355	0	0	0	0	78	1	0	1	0	19	0	0	10	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	147	"AWI"	147	10183	10971	10631	0	0	1	100	0	0	0	22	5	1	0	0	0	275	11	0	0	0	0	0	0	2	0	0	0	531	0	0	0	0	140	0	0	1	0	28	1	0	15	4
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	153	"AWI"	153	10304	11020	10699	0	0	0	9	0	2	0	70	0	0	0	0	0	53	16	0	0	0	0	0	1	0	0	0	0	200	0	0	0	0	2	1	0	0	0	19	1	0	0	4
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	160	"AWI"	160	10498	11055	10766	0	0	1	5	0	10	0	110	0	0	0	0	1	12	28	0	0	0	0	0	1	0	0	0	0	80	0	0	0	0	0	0	0	3	0	14	1	0	0	2
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	170	"AWI"	170	10636	11161	10881	0	0	0	6	0	2	0	121	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	205	0	46	0	0	0	0	0	0	0	35	1	0	0	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	180	"AWI"	180	10703	11307	10994	0	0	0	6	0	1	0	185	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	1	0	1	0	38	2	0	0	1
