"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"
3205	4163	"Krugloye"	66.37107	37.58162	15	"AWI"	15	2	1780	580	13	0	3	2	172	0	0	16	2	2	19	76	4	0	0	0	0	1	0	0
3205	4163	"Krugloye"	66.37107	37.58162	50	"AWI"	50	1170	3407	2418	22	0	3	0	182	0	0	7	0	2	9	117	2	0	0	0	0	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	80	"AWI"	80	3295	4209	3789	28	2	9	1	167	0	0	6	3	2	17	109	2	0	0	2	1	0	1	2
3205	4163	"Krugloye"	66.37107	37.58162	115	"AWI"	115	4237	5944	4928	23	0	4	0	164	0	0	3	2	1	18	115	3	0	1	0	1	0	0	1
3205	4163	"Krugloye"	66.37107	37.58162	150	"AWI"	150	5124	6876	6084	16	2	1	0	189	0	1	4	0	1	6	104	9	0	0	0	0	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	185	"AWI"	185	6525	7376	7096	21	1	2	1	138	0	0	9	0	3	18	142	8	0	0	2	0	0	0	1
3205	4163	"Krugloye"	66.37107	37.58162	220	"AWI"	220	7092	7812	7508	18	1	4	0	197	0	1	3	6	2	21	79	3	0	0	0	0	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	255	"AWI"	255	7437	8076	7799	20	0	6	0	194	0	0	9	0	1	4	98	10	0	1	0	0	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	290	"AWI"	290	7899	8297	8078	14	0	6	0	212	1	1	11	1	0	7	92	4	0	0	0	0	0	1	0
3205	4163	"Krugloye"	66.37107	37.58162	325	"AWI"	325	8125	8723	8393	16	2	3	1	193	0	1	12	2	0	10	95	7	0	0	0	0	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	360	"AWI"	360	8387	9043	8697	5	0	2	0	199	0	0	14	0	2	2	96	16	0	0	0	0	0	0	2
3205	4163	"Krugloye"	66.37107	37.58162	385	"AWI"	385	8612	9264	8911	8	0	2	0	191	0	0	8	0	3	6	100	16	0	0	1	1	0	0	1
3205	4163	"Krugloye"	66.37107	37.58162	420	"AWI"	420	8913	9751	9301	2	0	4	0	203	3	0	9	2	10	6	47	24	0	0	0	4	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	455	"AWI"	455	9276	10214	9722	3	1	0	0	223	4	0	14	2	4	4	58	22	0	0	0	2	0	0	0
3205	4163	"Krugloye"	66.37107	37.58162	490	"AWI"	490	9778	10599	10127	0	2	5	0	219	2	0	16	0	3	4	43	17	0	0	0	4	1	0	0
3205	4163	"Krugloye"	66.37107	37.58162	525	"AWI"	525	10320	11566	10900	0	1	2	1	241	1	0	8	2	8	3	16	30	0	0	1	5	1	0	0
3205	4163	"Krugloye"	66.37107	37.58162	550	"AWI"	550	10615	12274	11411	0	2	3	0	241	2	0	21	2	10	4	13	18	1	0	0	8	1	0	0
