"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Paliurus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	0	"AWI"	0	-145	18	-59	4	1	3	1	0	1	1	0	13	0	0	0	2	0	0	0	10	98	0	1	8	25	2	0	1	18	0	0	0	0	1	134	197	0	3	83	0	0	38	6	0	10	5	6	11	0	0	1	0	1	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	10	"AWI"	10	-84	264	44	4	0	3	2	0	0	3	0	9	0	0	0	3	0	0	2	9	236	0	0	5	10	2	0	0	14	0	0	0	10	0	120	199	0	9	174	0	0	20	2	0	10	18	11	10	1	0	3	0	0	1	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	20	"AWI"	20	-13	406	164	8	1	4	6	0	1	10	0	4	0	0	0	2	1	0	0	5	244	0	1	3	20	3	0	4	36	0	0	0	18	1	141	139	2	16	277	0	0	34	7	0	0	7	12	20	0	0	0	0	0	1	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	30	"AWI"	30	70	507	285	7	2	2	6	0	3	12	0	18	0	0	0	2	1	0	0	3	445	0	0	12	24	4	0	3	16	0	1	0	23	0	84	186	0	18	185	3	0	63	7	1	14	8	12	11	2	0	0	0	0	0	2	1
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	40	"AWI"	40	180	588	402	7	0	5	0	0	0	9	0	4	0	0	0	23	0	0	0	10	224	1	3	5	46	4	0	5	7	0	0	0	13	0	55	187	0	10	318	0	1	69	7	0	4	9	8	8	5	0	0	0	0	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	50	"AWI"	50	332	652	514	7	2	7	6	0	0	11	0	8	0	0	0	133	1	0	0	16	200	0	1	4	91	1	0	5	15	0	0	0	45	0	42	178	1	17	214	0	0	61	5	0	0	9	5	2	2	0	3	0	1	1	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	60	"AWI"	60	504	953	673	16	1	16	8	3	0	1	0	17	0	0	0	213	0	0	0	12	165	0	4	0	23	2	2	1	4	0	9	0	21	0	87	136	0	19	236	0	0	57	2	0	0	3	13	8	0	0	15	1	0	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	70	"AWI"	70	611	1456	897	10	3	4	3	0	3	4	45	8	0	1	0	185	0	0	0	7	102	0	3	8	21	1	0	2	0	0	1	0	15	0	81	176	0	9	226	0	0	40	5	0	0	3	9	7	0	0	1	2	2	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	80	"AWI"	80	739	1821	1139	4	2	4	3	0	0	6	0	5	1	0	5	9	0	0	0	5	152	0	1	4	94	3	0	3	10	0	0	0	0	1	36	157	0	8	389	0	1	51	4	0	0	2	22	6	3	0	0	1	0	2	1	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	90	"AWI"	90	885	2109	1386	5	2	8	4	0	0	12	0	7	1	0	0	11	0	0	0	9	169	0	0	5	106	2	0	2	11	0	0	0	16	0	41	173	0	4	481	0	2	48	3	0	5	3	20	5	5	0	0	0	0	0	2	0
