"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
2964	40627	"Aegelsee"	46.64583	7.54333	0	"AWI"	0	-149	13	-67	11.0047846889952	0.318979266347687	0.797448165869218	0	0.478468899521531	0	0.159489633173844	0	3.18979266347687	0.159489633173844	0.318979266347687	0	0	0.159489633173844	0	2.07336523125997	2.23285486443381	0.159489633173844	0	3.66826156299841	0	4.46570972886762	0	0.159489633173844	0	0.159489633173844	0.318979266347687	0	0	0	0	0	0	0	18.5007974481659	21.2121212121212	0	27.4322169059011	0	0	1.11642743221691	0.159489633173844	0	0.159489633173844	1.11642743221691	0.159489633173844	0	0	0	0	0	0.159489633173844	0.159489633173844
2964	40627	"Aegelsee"	46.64583	7.54333	20	"AWI"	20	-41	1382	371	29.9826689774697	0.173310225303293	5.89254766031196	0	0.173310225303293	0	0.346620450606586	0	2.07972270363951	0	0	0	0	0	0	3.63951473136915	2.94627383015598	0	0	1.55979202772964	0	22.7036395147314	0	0.519930675909879	0	0	0	0	0	0.173310225303293	0.173310225303293	0	0	0.173310225303293	20.103986135182	6.06585788561525	0	0	0	0	2.4263431542461	0	0	0	0.346620450606586	0	0	0	0	0	0	0.519930675909879	0
2964	40627	"Aegelsee"	46.64583	7.54333	40	"AWI"	40	205	2151	884	31.8452380952381	0	4.01785714285714	0.148809523809524	0	0	0.297619047619048	0	3.125	0	0	0	0	0	0	2.5297619047619	2.38095238095238	0	0	0.744047619047619	0	17.1130952380952	0	0	0	0	0	0	0	0	0	0	0	0.148809523809524	30.8035714285714	2.82738095238095	0	0	0	0	3.86904761904762	0	0	0	0	0	0	0	0	0	0	0	0.148809523809524
2964	40627	"Aegelsee"	46.64583	7.54333	60	"AWI"	60	550	2630	1443	27.2875816993464	0	9.96732026143791	0.163398692810458	0	0	0.163398692810458	0	5.71895424836601	0	0	0	0	0	0	1.63398692810458	4.41176470588235	0	0	0.163398692810458	0	13.7254901960784	0	0.980392156862745	0	0	0	0	0	0	0	0	0	0	26.4705882352941	3.26797385620915	0	0	0	0	4.41176470588235	0	0	0	0.816993464052288	0.163398692810458	0	0	0	0	0.163398692810458	0.326797385620915	0.163398692810458
2964	40627	"Aegelsee"	46.64583	7.54333	80	"AWI"	80	1281	2838	2103	32.8	0	7.86666666666667	0.133333333333333	0.133333333333333	0.133333333333333	0.8	0	2.13333333333333	0.133333333333333	0.133333333333333	0	0	0.133333333333333	0	3.2	6.13333333333333	0	0	0	0	21.8666666666667	0.133333333333333	0.8	0	0	0	0	0	0	0	0	0	0	17.7333333333333	2	0	0	0	0	2.93333333333333	0	0	0	0.4	0.133333333333333	0	0	0	0	0	0.133333333333333	0.133333333333333
2964	40627	"Aegelsee"	46.64583	7.54333	90	"AWI"	90	1648	2996	2419	35.4892205638474	0.33167495854063	11.9402985074627	0	0.165837479270315	0	0.497512437810945	0	2.98507462686567	0	0	0	0	0	0	5.4726368159204	4.80928689883914	0	0	0	0	8.12603648424544	0	1.16086235489221	0	0	0.33167495854063	0	0	0	0	0	0	0	20.7296849087894	3.98009950248756	0	0	0	0	3.3167495854063	0.497512437810945	0	0	0	0	0	0	0	0	0	0.165837479270315	0
2964	40627	"Aegelsee"	46.64583	7.54333	100	"AWI"	100	2202	3053	2671	32.6474622770919	0.137174211248285	12.8943758573388	0	0	0	0.137174211248285	0	3.01783264746228	0	0	0	0	0.137174211248285	0	4.6639231824417	6.03566529492455	0	0	0.137174211248285	0	10.8367626886145	0	1.64609053497942	0	0	0.274348422496571	0	0	0	0	0	0	0	18.9300411522634	4.80109739368999	0	0	0	0	1.78326474622771	0.137174211248285	0	0	0.548696844993141	0	0	0	0	0	0	1.23456790123457	0
2964	40627	"Aegelsee"	46.64583	7.54333	110	"AWI"	110	2694	3161	2938	24.8138957816377	0	17.6178660049628	0	0.124069478908189	0	0	0	1.61290322580645	0	0	0	0	0	0	7.32009925558313	4.3424317617866	0	0	0	0	13.0272952853598	0	3.47394540942928	0	0	0.372208436724566	0	0	0	0	0	0	0.124069478908189	21.9602977667494	2.60545905707196	0	0	0	0.124069478908189	1.61290322580645	0.124069478908189	0	0	0	0.124069478908189	0	0	0	0.124069478908189	0	0.496277915632754	0
2964	40627	"Aegelsee"	46.64583	7.54333	120	"AWI"	120	2909	3277	3102	17.5972927241963	0.169204737732657	15.5668358714044	0.169204737732657	0.169204737732657	0	0.169204737732657	0	3.04568527918782	0	0	0	0	0	0	9.30626057529611	2.87648054145516	0	0	0	0	12.0135363790186	0.169204737732657	0.676818950930626	0	0	0	0	0	0	0	0	0	0.169204737732657	27.9187817258883	4.06091370558376	0	0	0	0	4.39932318104907	0	0	0	0.169204737732657	0.50761421319797	0	0	0	0	0.338409475465313	0.50761421319797	0
2964	40627	"Aegelsee"	46.64583	7.54333	130	"AWI"	130	3048	3314	3190	18.1336161187699	0.106044538706257	9.65005302226935	0.106044538706257	0	0	0.530222693531283	0	2.4390243902439	0	0	0	0	0	0	5.19618239660657	35.7370095440085	0	0	0	0.424178154825027	4.34782608695652	0.106044538706257	0.530222693531283	0	0	0.530222693531283	0.212089077412513	0	0	0.106044538706257	0	0	0	11.983032873807	3.49946977730647	0	0	0	0	4.8780487804878	0.212089077412513	0	0.106044538706257	0.530222693531283	0.212089077412513	0	0	0	0	0	0.31813361611877	0.106044538706257
