"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celtis"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Liquidambar"	"Malvaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Tamaricaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
26596	46544	"Parika"	58.48888	25.77353	5	"AWI"	5	-115	67	-27	0	61	0	1	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	52	222	0	0	6	1	0	5	0	0	0	0	2	1	0	0	0	0	0	0	2	3
26596	46544	"Parika"	58.48888	25.77353	25	"AWI"	25	-20	293	113	0	121	0	0	1	0	191	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	63	128	0	0	1	1	0	9	0	0	0	0	5	0	0	0	0	0	0	0	3	0
26596	46544	"Parika"	58.48888	25.77353	45	"AWI"	45	92	446	264	0	41	0	0	3	0	191	0	0	0	0	0	0	0	13	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	86	200	0	0	0	3	0	8	0	0	0	0	10	0	0	1	0	0	3	0	6	2
26596	46544	"Parika"	58.48888	25.77353	65	"AWI"	65	228	573	411	0	72	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	187	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	1	0	4	1
26596	46544	"Parika"	58.48888	25.77353	85	"AWI"	85	399	687	555	1	108	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	294	253	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0
26596	46544	"Parika"	58.48888	25.77353	105	"AWI"	105	575	790	697	0	91	0	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	172	0	0	2	1	0	6	0	0	0	0	2	0	0	0	0	0	0	0	1	0
26596	46544	"Parika"	58.48888	25.77353	125	"AWI"	125	694	980	822	0	99	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	4	110	167	0	0	2	0	0	8	0	0	0	0	5	0	0	0	0	0	1	0	19	7
26596	46544	"Parika"	58.48888	25.77353	145	"AWI"	145	804	1123	952	0	48	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	219	218	0	0	3	0	0	22	0	0	0	0	5	1	1	0	0	0	5	0	5	0
26596	46544	"Parika"	58.48888	25.77353	165	"AWI"	165	923	1246	1085	0	76	0	0	0	0	207	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	166	122	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	12	0
26596	46544	"Parika"	58.48888	25.77353	185	"AWI"	185	1066	1363	1215	0	134	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	136	137	0	0	0	1	0	3	0	0	0	0	2	1	0	0	1	0	1	0	8	0
26596	46544	"Parika"	58.48888	25.77353	205	"AWI"	205	1265	1491	1338	0	124	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	135	89	0	0	1	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	10	4
