"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
27171	48072	"Dárko"	49.639158	15.87283	0	"AWI"	0	-142	12	-65	3	0	28	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	12	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	222	0	0	0	0	0	0	22	0	0	0	0	6	3	0	0	0	1	0	0	0	2	6
27171	48072	"Dárko"	49.639158	15.87283	5	"AWI"	5	-74	189	44	7	0	11	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	12	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	117	0	0	0	0	0	0	15	0	0	0	0	2	1	1	0	0	0	0	0	0	1	5
27171	48072	"Dárko"	49.639158	15.87283	10	"AWI"	10	-43	440	152	1	0	19	4	0	0	2	0	0	0	0	1	1	1	0	0	0	0	1	26	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	6	199	0	0	0	0	0	0	8	0	0	0	0	3	1	0	0	0	0	0	0	0	0	3
27171	48072	"Dárko"	49.639158	15.87283	15	"AWI"	15	52	496	264	4	0	16	8	0	0	4	0	0	0	0	6	0	4	0	0	0	0	12	29	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	172	0	26	141	0	0	0	21	0	0	0	4	23	4	0	0	0	0	0	0	0	1	17
27171	48072	"Dárko"	49.639158	15.87283	20	"AWI"	20	99	595	398	8	0	17	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	20	0	0	0	0	28	0	0	0	0	1	0	0	0	0	0	0	0	2	274	0	0	0	0	0	0	25	0	0	0	1	23	2	0	0	0	0	0	0	0	0	1
27171	48072	"Dárko"	49.639158	15.87283	25	"AWI"	25	547	659	606	134	0	35	8	0	0	31	0	0	0	0	0	0	5	0	0	0	1	44	24	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	11	203	0	0	62	0	0	0	18	0	0	0	0	12	3	0	0	0	0	0	0	0	8	7
27171	48072	"Dárko"	49.639158	15.87283	30	"AWI"	30	622	1106	808	171	0	35	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	15	17	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	15	270	0	2	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0	6	6	2
27171	48072	"Dárko"	49.639158	15.87283	35	"AWI"	35	821	1293	1038	367	0	32	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	5	10	0	0	0	0	153	2	0	0	0	0	0	0	0	0	0	0	0	19	209	0	0	0	0	0	0	51	0	0	0	0	1	3	0	0	0	0	0	1	10	3	3
27171	48072	"Dárko"	49.639158	15.87283	40	"AWI"	40	880	1551	1268	363	0	46	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	19	6	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	24	171	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
27171	48072	"Dárko"	49.639158	15.87283	45	"AWI"	45	1250	1620	1448	147	0	30	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	28	11	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	16	119	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
