"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Verbenaceae"
15929	24539	"Corniche de Pail"	48.41667	-0.21111	5	"AWI"	5	702	1193	959	0.294117647058824	1.47058823529412	0.294117647058824	0	0.882352941176471	0.294117647058824	6.47058823529412	10	2.94117647058824	0	0	0	5.58823529411765	0	2.64705882352941	2.35294117647059	28.5294117647059	0	0	10.8823529411765	0.882352941176471	0.294117647058824	0	0	0.294117647058824	0.294117647058824	0	0	0	0	1.47058823529412	2.05882352941176	0	0.294117647058824	0	0.294117647058824	14.1176470588235	0.294117647058824	0.588235294117647	0	0.588235294117647	0	0	1.17647058823529	3.52941176470588	0	0.882352941176471	0.294117647058824
15929	24539	"Corniche de Pail"	48.41667	-0.21111	7.5	"AWI"	7.5	1035.5	1410.5	1220	0	5.08474576271187	0.282485875706215	0	0.564971751412429	0.564971751412429	2.25988700564972	33.3333333333333	0	0	0	0	0.847457627118644	0	9.32203389830508	0.564971751412429	2.25988700564972	0	0	0	3.10734463276836	0	0	1.12994350282486	0.282485875706215	0.282485875706215	0	0.282485875706215	0.282485875706215	0.282485875706215	0.847457627118644	1.12994350282486	3.95480225988701	0	0	0	26.271186440678	0.564971751412429	0	0	0.847457627118644	1.69491525423729	0	0.282485875706215	0	3.10734463276836	0.564971751412429	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	10	"AWI"	10	1327	1684	1480	0	5.9190031152648	0	0.311526479750779	0.311526479750779	0	1.86915887850467	28.3489096573209	0.311526479750779	0	0	0.311526479750779	0	0	11.214953271028	8.41121495327103	2.49221183800623	0	0.623052959501558	0	2.80373831775701	0	0	0.623052959501558	0.311526479750779	0	0	0.623052959501558	0	0	0.311526479750779	0	0	0	0	0	29.9065420560748	0.311526479750779	0	0	0	0.934579439252336	0	0.623052959501558	0	3.11526479750779	0.311526479750779	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	15	"AWI"	15	1772	2308	2019	0	6.25	0.595238095238095	0.595238095238095	0.297619047619048	0.297619047619048	2.08333333333333	26.7857142857143	0	0	0	0	0	0	12.5	0.595238095238095	2.38095238095238	0	0	0	2.97619047619048	0	0	0.595238095238095	0	0	0	0.297619047619048	0	0	0.297619047619048	0.595238095238095	1.78571428571429	0	0	0	33.3333333333333	0.297619047619048	0	0	0.297619047619048	1.48809523809524	0	0	0	5.65476190476191	0	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	20	"AWI"	20	2258	2877	2556	0	7.39644970414201	0	0.29585798816568	0.591715976331361	0.29585798816568	2.07100591715976	20.1183431952663	0.29585798816568	0	0	0.591715976331361	0	0	17.4556213017751	3.25443786982249	0	0	0	0.29585798816568	0.887573964497041	0.29585798816568	0	0.887573964497041	0	0.591715976331361	0	0	0	0	0.29585798816568	0	1.4792899408284	0	0	0	35.5029585798817	0.887573964497041	0	0	0	2.66272189349112	0	0.29585798816568	0	3.25443786982249	0.29585798816568	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	25	"AWI"	25	2766	3429	3094	0	10.7784431137725	0	0.598802395209581	0.598802395209581	0	1.19760479041916	20.059880239521	0	0	0	0	0	0	22.4550898203593	1.49700598802395	0	0	0	0	0.898203592814371	0.29940119760479	0	0.598802395209581	0	0.598802395209581	0	0.598802395209581	0	0	0.598802395209581	0	0	0	0	0	28.7425149700599	0.598802395209581	0.598802395209581	0	0	6.2874251497006	0	0	0	2.39520958083832	0.598802395209581	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	30	"AWI"	30	3317	3939	3633	0.576368876080692	6.05187319884726	0	0.288184438040346	0.576368876080692	0.576368876080692	1.44092219020173	23.6311239193084	0	0	0	0	0	0	12.6801152737752	2.30547550432277	0	0	0	0	0	0	0	0.864553314121038	0	0.288184438040346	0	0.576368876080692	0	0	0.864553314121038	0.288184438040346	0	0	0	0	30.2593659942363	0.864553314121038	0.288184438040346	0	0.288184438040346	13.5446685878963	0	0.864553314121038	0	2.30547550432277	0.576368876080692	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	35	"AWI"	35	3898	4437	4164	0.3003003003003	2.7027027027027	0	0	0.900900900900901	0.3003003003003	0	36.6366366366366	0	0	0	0.3003003003003	0	0	14.1141141141141	2.7027027027027	0.900900900900901	0	0	0	0.3003003003003	0	0	3.9039039039039	0	0	0	0	0	0	1.2012012012012	0.600600600600601	0	0	0	0	23.1231231231231	0.600600600600601	0	0	0	9.60960960960961	0	0	0	1.8018018018018	0	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	39	"AWI"	39	4318	4898	4589	0	4.46428571428571	0.297619047619048	0.297619047619048	0.595238095238095	0	0	41.6666666666667	0	0	0	0.297619047619048	0	0	16.6666666666667	0.297619047619048	0	0	0	0	0	0	0	0.892857142857143	0	0	0	0	0	0	0.595238095238095	0	0	0	0	0	23.8095238095238	0.892857142857143	0	0	0	6.54761904761905	0	0	0	2.08333333333333	0.595238095238095	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	41	"AWI"	41	4498	5149	4803	0	9.94152046783626	0.292397660818713	0	0.87719298245614	0.584795321637427	0	35.672514619883	0	0	0	0	0	0	10.233918128655	3.21637426900585	0	0	0	0	0.584795321637427	0	0	0.87719298245614	0	0	0.292397660818713	0	0	0.292397660818713	0.584795321637427	0	0	0	0	0	25.7309941520468	0.584795321637427	0.292397660818713	0	0	5.26315789473684	0	0	0	4.09356725146199	0.584795321637427	0
