"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Ilex"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	10	"AWI"	10	-44	221	73	0	2	3	0	0	0	0	0	0	4	41	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	3	0	0	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	81	"AWI"	81	832	1324	1073	4	2	2	0	2	17	1	17	1	4	95	0	0	5	0	0	2	1	1	0	27	8	10	0	2	0	1	0	0	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	101	"AWI"	101	1110	1602	1355	8	4	1	0	1	0	1	9	0	8	102	2	0	10	0	0	0	1	3	0	38	5	27	1	0	2	1	2	0	3	2
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	111	"AWI"	111	1250	1738	1496	10	1	1	0	1	8	9	5	0	4	61	0	0	6	0	0	0	1	0	0	53	2	15	1	1	1	0	1	0	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	115	"AWI"	115	1309	1789	1554	4	3	0	0	0	0	2	3	0	10	104	0	0	12	0	0	0	2	1	0	54	0	39	2	0	0	3	0	0	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	118	"AWI"	118	1351	1828	1596	6	1	1	0	0	0	3	2	0	2	103	1	0	3	0	0	0	2	1	0	54	0	11	1	2	0	2	0	0	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	122	"AWI"	122	1413	1882	1652	0	7	0	0	1	11	0	1	0	7	68	0	0	1	1	0	0	5	1	0	49	0	10	0	0	0	1	0	1	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	130	"AWI"	130	1535	1984	1766	15	25	1	0	0	8	6	0	0	31	45	0	0	3	1	0	1	13	0	1	35	0	51	4	0	0	1	0	2	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	137	"AWI"	137	1647	2074	1862	42	43	0	1	1	0	5	0	0	28	58	0	1	2	0	1	0	14	0	0	0	0	37	0	0	0	0	0	5	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	147	"AWI"	147	1802	2200	2004	16	39	0	0	1	0	8	0	0	38	54	0	0	5	0	0	0	5	0	1	16	0	55	0	0	0	1	1	2	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	158	"AWI"	158	1987	2343	2159	27	22	1	0	0	0	5	0	0	33	62	0	0	3	0	0	0	6	0	0	0	0	36	1	0	0	2	0	5	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	168	"AWI"	168	2153	2495	2306	2	7	2	0	0	0	1	0	0	2	107	1	0	2	0	0	0	0	0	0	0	0	14	1	0	0	1	0	1	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	173	"AWI"	173	2216	2597	2385	7	3	2	0	0	0	0	0	0	7	80	1	0	0	0	0	0	0	0	0	0	0	34	0	1	0	2	0	1	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	183	"AWI"	183	2349	2786	2549	16	5	3	0	0	0	2	0	0	7	71	0	0	0	0	0	0	4	0	0	38	0	15	2	0	0	5	4	4	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	195	"AWI"	195	2524	3016	2747	14	1	1	1	2	0	1	0	0	8	49	0	0	1	0	0	1	2	0	0	27	0	16	2	2	0	8	5	1	2	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	205	"AWI"	205	2675	3192	2913	60	3	9	0	0	0	5	1	0	20	19	0	0	1	0	0	1	6	1	0	18	0	26	0	0	1	12	0	1	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	215	"AWI"	215	2826	3369	3079	66	1	0	0	0	0	1	0	0	26	22	0	0	1	0	0	0	3	1	0	21	0	34	1	0	0	16	1	3	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	225	"AWI"	225	2978	3528	3245	129	3	5	0	0	0	6	0	0	21	27	0	0	0	0	0	0	4	0	1	20	0	46	0	0	0	1	0	2	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	235	"AWI"	235	3138	3699	3410	90	7	4	0	0	0	4	0	0	18	21	0	0	1	0	0	1	10	0	0	19	0	38	0	0	1	2	0	5	0	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	244	"AWI"	244	3284	3846	3562	81	3	14	1	0	0	6	1	0	19	24	0	0	0	0	0	0	3	0	0	18	0	50	0	0	0	9	3	11	1	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	255	"AWI"	255	3469	4023	3744	88	1	7	0	0	0	2	1	0	26	19	0	0	0	0	0	0	5	0	0	13	0	56	9	0	0	6	1	12	2	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	265	"AWI"	265	3642	4182	3909	101	3	0	1	0	0	5	0	0	10	50	0	0	1	0	0	0	5	0	0	11	0	66	3	1	0	2	0	10	2	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	275	"AWI"	275	3822	4339	4074	155	3	0	0	0	0	5	0	0	10	5	0	0	2	0	0	0	5	0	0	14	0	51	1	0	0	4	0	3	3	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	280	"AWI"	280	3910	4420	4157	90	6	4	0	1	0	3	0	0	13	35	0	0	2	0	0	0	6	0	0	0	0	87	0	1	0	7	0	7	2	0
16357	25408	"Troarn Saint-Samson"	49.18361	-0.16806	290	"AWI"	290	4089	4581	4325	148	3	0	0	0	0	2	0	0	29	28	0	0	0	0	0	0	4	0	0	0	0	67	0	0	0	1	0	4	0	0
