"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"
15801	24286	"Murifeld Bern"	46.9365	7.473	160	"AWI"	160	8319	9297	8828	5	1	8	0	0	0	1	1	0	5	0	0	0	0	0	0	110	123	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	8	0	0	1	0	23	21	0
15801	24286	"Murifeld Bern"	46.9365	7.473	170	"AWI"	170	8570	9375	8961	2	1	12	1	0	0	0	3	0	13	0	0	0	0	0	0	103	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	6	0	0	1	0	5	0	0	0	0	0	26	0
15801	24286	"Murifeld Bern"	46.9365	7.473	180	"AWI"	180	8712	9463	9112	2	0	0	1	0	0	0	1	0	11	0	0	0	0	0	0	122	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	5	0	0	0	0	10	0	0	0	0	0	37	0
15801	24286	"Murifeld Bern"	46.9365	7.473	190	"AWI"	190	8801	9658	9252	0	0	6	1	0	0	0	1	0	34	0	0	0	0	0	0	62	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	78	0	0	0	0	0	1	0	23	0	0	0	3	0	51	0
15801	24286	"Murifeld Bern"	46.9365	7.473	200	"AWI"	200	9285	10095	9713	0	0	0	0	0	0	0	1	0	28	0	0	0	0	0	0	71	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	11	0	0	0	0	0	24	0
15801	24286	"Murifeld Bern"	46.9365	7.473	210	"AWI"	210	9670	10685	10273	1	0	1	1	1	0	0	0	0	78	1	0	0	1	0	0	79	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	20	0	0	1	0	0	61	0
15801	24286	"Murifeld Bern"	46.9365	7.473	220	"AWI"	220	9955	11361	10837	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	62	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	15	0	0	0	0	0	24	0
15801	24286	"Murifeld Bern"	46.9365	7.473	230	"AWI"	230	10321	11698	11174	0	0	1	0	0	0	0	1	0	81	0	0	0	0	0	0	15	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0
15801	24286	"Murifeld Bern"	46.9365	7.473	240	"AWI"	240	10671	11814	11374	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	5	0	0	0	0	0	2	0
15801	24286	"Murifeld Bern"	46.9365	7.473	250	"AWI"	250	10891	12024	11584	2	0	1	0	0	0	0	4	0	42	0	0	0	0	0	0	7	29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	125	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	260	"AWI"	260	11088	12244	11750	2	1	0	0	0	0	0	5	0	86	0	0	0	1	0	0	10	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	7	0	0	1	0	0	2	0
15801	24286	"Murifeld Bern"	46.9365	7.473	270	"AWI"	270	11297	12301	11867	0	1	1	0	0	0	0	9	0	21	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	280	"AWI"	280	11434	12382	11990	0	0	1	0	0	0	0	3	0	25	0	0	0	0	0	0	1	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0
15801	24286	"Murifeld Bern"	46.9365	7.473	290	"AWI"	290	11540	12502	12104	1	0	0	1	0	0	0	17	0	45	1	0	0	0	0	0	0	92	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	38	0	0	0	0	0	2	0	5	0	0	3	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	300	"AWI"	300	11662	12533	12173	1	0	2	0	0	0	0	14	0	59	1	1	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	44	0	1	0	0	0	3	0	4	0	0	2	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	310	"AWI"	310	11757	12583	12244	0	0	1	1	0	0	0	12	0	35	0	1	0	0	0	0	0	38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	320	"AWI"	320	11819	12671	12314	0	0	0	8	0	0	0	57	0	218	1	0	0	0	0	0	1	237	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	124	0	1	0	0	0	3	0	5	0	0	5	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	330	"AWI"	330	11929	12695	12377	0	0	0	3	0	0	0	18	0	107	1	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0	0	0	0	6	0	4	0	0	3	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	340	"AWI"	340	12016	12729	12444	1	0	0	1	0	0	0	11	0	172	0	0	0	0	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	350	"AWI"	350	12092	12784	12512	0	0	0	0	0	0	0	14	0	170	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	360	"AWI"	360	12228	12820	12574	0	0	0	0	0	0	0	2	0	110	0	0	0	1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0
15801	24286	"Murifeld Bern"	46.9365	7.473	370	"AWI"	370	12358	12847	12639	1	0	0	0	0	0	0	14	0	198	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0
15801	24286	"Murifeld Bern"	46.9365	7.473	380	"AWI"	380	12438	12889	12712	0	0	0	0	0	0	0	23	0	408	0	1	0	0	0	0	0	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	3	0	8	0	1	3	0	0	1	0
15801	24286	"Murifeld Bern"	46.9365	7.473	390	"AWI"	390	12600	12941	12791	1	0	1	1	0	0	0	4	0	205	0	0	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	65	0	1	0	0	0	3	0	2	0	0	3	0	0	0	0
15801	24286	"Murifeld Bern"	46.9365	7.473	400	"AWI"	400	12771	12998	12884	0	0	0	1	0	0	0	9	0	153	1	0	0	1	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0
