"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Ulmus"	"Urticaceae"
3070	4002	"Cregganmore"	54.25	-9.6	160	"AWI"	160	2116	3581	2804	6.2043795620438	0	0	0	0	0	0	0	0	0	0	0	39.4160583941606	3.64963503649635	0	0	0	0	0	0	0	0	16.7883211678832	0	0	19.3430656934307	6.56934306569343	0	0	0	0	2.91970802919708	0	0	5.10948905109489	0
3070	4002	"Cregganmore"	54.25	-9.6	170	"AWI"	170	2281	3770	2987	7.76255707762557	0	0	0	0	0	0	0	0	0	0	0	36.0730593607306	14.1552511415525	0	0	0	0	0	0.45662100456621	0	0	7.76255707762557	0	0	22.3744292237443	5.47945205479452	0	0	0	0	2.73972602739726	0	0	2.73972602739726	0.45662100456621
3070	4002	"Cregganmore"	54.25	-9.6	180	"AWI"	180	2452	3983	3162	12	0	0	0	0	0	0	0	0	0	0	0	37	15	0	0	0	0	0	0	0	0	6	0	0	21.5	4.5	0	0	0	0	0.5	0	0	3	0.5
3070	4002	"Cregganmore"	54.25	-9.6	190	"AWI"	190	2620	4156	3344	6.10328638497653	0	0	0	0	0	11.2676056338028	0	0	0	0	0	37.5586854460094	6.10328638497653	0	0	0	0	0	0	0	0	7.04225352112676	0	0	22.5352112676056	2.34741784037559	0	0	0	0	3.75586854460094	0	0	3.28638497652582	0
3070	4002	"Cregganmore"	54.25	-9.6	200	"AWI"	200	2777	4353	3528	4.48717948717949	0	0	0	0	1.28205128205128	0	0	0	0	0	0	34.6153846153846	4.48717948717949	0	0	0	0	0	0	0	0	1.92307692307692	0	0	50	0.641025641025641	0	0	0	0	0.641025641025641	0	0	1.28205128205128	0.641025641025641
3070	4002	"Cregganmore"	54.25	-9.6	210	"AWI"	210	2943	4542	3706	4.08163265306122	0	0	0	0	0	0	0	0	0	0	0	29.0816326530612	1.53061224489796	0	0	0	0	0	0	0	0	18.3673469387755	0	0	34.6938775510204	7.14285714285714	0	0	0	0	1.02040816326531	0	0	3.57142857142857	0.510204081632653
3070	4002	"Cregganmore"	54.25	-9.6	212	"AWI"	212	2980	4573	3742	3	0	0	0	0	0	0	0	0	0	0	0	29	10	0	0	0	0	0	0	0	0	15.5	0	0	27.5	10	0	0	0	0.5	0	0	0	4.5	0
3070	4002	"Cregganmore"	54.25	-9.6	220	"AWI"	220	3113	4744	3888	8.82352941176471	0	0	0	0	0	0	0	0	0	0	0	25.6302521008403	4.6218487394958	0	0	0	0	0	0	0	0	31.5126050420168	0	0	8.82352941176471	13.8655462184874	0	0	0	0	2.52100840336134	0	0	2.94117647058824	1.26050420168067
3070	4002	"Cregganmore"	54.25	-9.6	251	"AWI"	251	3640	5322	4442	4.1958041958042	0	0	0	0	0	0	0	0	0	0	0	36.3636363636364	1.3986013986014	0	0	0	0	0	0	0	0	23.4265734265734	0	0	8.39160839160839	17.8321678321678	0	0	0	0	0.699300699300699	0	0	7.69230769230769	0
3070	4002	"Cregganmore"	54.25	-9.6	260	"AWI"	260	3794	5474	4599	6.875	0	0	0	0	0	0	0	0	0	0	0	21.25	2.1875	0	0	0	0	0	0	0	0	48.4375	0	0	4.375	11.25	0	0	0	0	0.9375	0	0	4.6875	0
