"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15916	24509	"Les Tannières"	46.50556	1.36222	25	"AWI"	25	-39	112	32	1	22	2	20	1	0	0	0	3	0	0	0	0	0	4	0	65	0	0	0	0	0	0	0	8	3	0	13	7	0	0	0	3	28	1	0	0	5	3	7	0	1	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	30	"AWI"	30	-27	126	46	1	14	1	3	0	1	0	0	0	0	0	0	0	0	6	0	95	0	0	0	0	0	0	0	2	0	0	7	13	92	0	0	1	24	1	0	0	2	0	6	0	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	40	"AWI"	40	-2	158	74	0	68	0	9	0	0	0	1	0	0	1	0	0	2	19	0	99	0	0	0	1	0	0	0	2	0	0	2	2	47	0	0	0	43	1	0	0	6	1	3	0	1	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	45	"AWI"	45	12	177	88	0	19	0	2	0	1	0	2	1	0	1	0	2	0	4	0	100	0	0	3	2	0	0	2	0	2	0	1	12	69	0	0	3	69	2	2	0	13	1	2	1	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	50	"AWI"	50	27	194	103	0	19	0	0	0	1	0	2	1	0	0	0	0	0	2	0	130	0	0	0	0	0	0	0	2	0	0	1	5	63	0	0	2	72	0	1	0	4	2	1	0	0	0	1	1
15916	24509	"Les Tannières"	46.50556	1.36222	55	"AWI"	55	39	211	116	0	23	0	3	0	1	0	0	3	0	0	0	1	0	4	0	52	0	0	0	0	0	0	1	3	0	1	1	6	157	0	0	5	73	0	2	0	10	2	5	0	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	60	"AWI"	60	51	227	130	0	12	0	0	0	0	0	6	0	0	4	0	0	0	1	0	56	0	0	0	0	0	0	0	0	0	0	1	8	36	0	0	0	33	1	1	0	6	2	3	1	0	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	75	"AWI"	75	87	278	172	0	19	0	1	0	0	0	4	0	0	1	0	0	0	3	0	164	0	0	0	0	0	0	0	2	0	0	0	14	72	0	0	1	17	0	3	0	12	0	8	0	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	90	"AWI"	90	126	327	214	0	112	0	4	0	1	0	0	1	0	0	0	0	0	6	0	14	0	0	0	0	0	0	4	0	4	1	2	8	48	0	0	0	26	0	4	0	9	5	2	0	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	105	"AWI"	105	163	374	255	0	98	0	2	0	1	0	2	0	1	4	2	0	0	7	0	39	0	0	0	4	1	0	6	1	1	3	0	15	70	0	0	5	38	1	37	0	15	15	3	0	0	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	115	"AWI"	115	189	405	282	0	103	1	1	0	1	0	1	0	0	4	0	1	0	10	0	30	0	0	0	2	0	0	1	1	0	0	1	5	39	0	0	0	22	0	5	0	6	9	0	2	0	2	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	120	"AWI"	120	204	420	295	0	158	0	1	0	0	0	10	0	1	0	0	1	0	4	0	34	0	0	0	2	0	0	0	1	1	1	2	0	0	0	0	0	22	1	1	0	2	21	0	0	0	3	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	125	"AWI"	125	216	436	309	0	94	1	3	0	1	0	9	1	1	1	0	0	0	5	0	35	3	0	0	3	0	0	0	4	0	0	2	9	89	0	0	0	34	0	6	0	11	30	3	0	0	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	130	"AWI"	130	230	450	322	0	95	0	4	0	1	0	7	0	0	5	0	0	0	4	0	50	0	0	0	1	0	0	0	5	0	0	1	6	73	0	0	1	34	0	7	0	4	15	2	3	1	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	135	"AWI"	135	243	467	336	0	94	0	2	0	0	0	12	0	0	4	0	0	0	12	0	47	0	0	0	0	0	0	0	6	3	0	0	5	92	0	0	8	29	0	8	0	8	21	4	0	1	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	140	"AWI"	140	256	482	349	0	107	0	3	0	2	0	1	1	2	3	0	0	1	4	0	32	0	0	0	4	0	0	3	1	0	1	2	10	69	0	0	2	21	2	10	0	8	3	2	3	0	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	143	"AWI"	143	264	490	357	0	147	0	2	0	0	0	5	0	0	5	0	0	0	9	1	41	0	0	0	1	0	0	4	6	2	2	1	8	82	0	0	2	30	1	3	0	13	10	5	0	1	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	147	"AWI"	147	275	501	367	0	96	0	3	0	0	0	16	0	0	0	0	1	0	6	0	71	0	0	0	0	0	0	0	3	1	1	0	6	0	0	0	0	21	1	1	0	10	18	3	0	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	152	"AWI"	152	289	517	381	0	57	1	1	0	0	0	0	1	0	0	0	1	0	5	0	44	0	0	0	0	0	0	1	6	1	1	1	10	128	0	0	2	11	0	3	0	6	8	6	2	1	1	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	157	"AWI"	157	301	531	395	0	52	1	2	0	0	0	2	3	0	0	1	1	0	10	0	76	0	0	0	2	0	0	0	1	1	1	1	18	115	0	0	4	10	0	6	0	7	3	2	0	0	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	161	"AWI"	161	309	545	406	0	228	0	4	0	0	0	0	0	0	0	0	1	0	48	0	16	0	0	0	2	0	3	0	1	0	0	0	5	37	0	0	0	38	2	2	0	7	5	0	0	4	0	0	1
15916	24509	"Les Tannières"	46.50556	1.36222	165	"AWI"	165	318	557	417	0	129	1	2	0	0	0	0	1	1	0	0	1	0	17	0	12	0	0	0	0	0	1	1	5	0	0	1	2	84	0	0	0	14	1	1	0	2	0	2	0	3	0	0	0
15916	24509	"Les Tannières"	46.50556	1.36222	170	"AWI"	170	330	572	431	0	124	1	3	0	1	0	1	2	0	0	0	1	0	20	0	17	0	0	0	1	1	1	1	1	0	0	0	9	98	0	0	0	12	1	1	0	1	1	1	0	2	1	0	0
