"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Larix"	"Liliaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	0	"AWI"	0	-90	75	-9	14	0	82	1	0	0	7	0	13	1	2	0	0	1	0	2	60	13	1	11	0	0	0	2	3	0	0	0	189	425	0	108	0	5	0	0	1	3	0	0	0	0	0	0	0	1
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	2.5	"AWI"	2.5	-16	490.5	144	7	1	105	0	1	0	7	0	26	0	2	0	1	0	1	3	37	9	0	19	0	0	0	0	4	0	0	0	162	460	0	111	0	7	0	0	0	4	0	0	0	0	0	0	1	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	5	"AWI"	5	15	959	292	9	0	112	1	0	0	8	0	29	0	1	0	1	2	0	3	60	5	1	19	0	0	1	0	7	0	0	0	165	425	0	0	0	4	0	0	0	6	0	0	0	0	0	0	3	5
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	10	"AWI"	10	156	1557	665	16	0	178	0	0	0	4	0	39	2	0	0	1	0	0	6	23	5	1	24	0	0	0	0	4	0	0	0	136	372	7	83	0	7	0	0	0	7	0	0	0	0	0	0	0	1
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	15	"AWI"	15	336	2133	1038	28	0	170	0	2	0	5	0	39	0	3	0	1	0	0	5	24	0	0	22	0	1	0	0	4	0	0	0	177	332	0	0	0	14	0	0	1	5	0	0	0	0	0	0	1	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	20	"AWI"	20	509	2606	1430	28	0	152	2	2	0	6	0	24	1	0	0	1	0	0	8	81	13	2	18	0	0	0	1	2	0	0	0	170	440	0	131	0	9	0	0	1	6	0	1	0	0	0	0	0	11
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	25	"AWI"	25	826	2878	1827	50	0	184	1	1	0	6	0	47	1	0	0	0	0	0	10	61	8	0	28	0	0	0	0	2	0	0	0	368	407	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	30	"AWI"	30	1149	3186	2201	43	0	97	0	1	0	1	0	19	0	1	0	0	0	0	2	96	0	0	26	0	0	0	0	0	0	0	0	318	271	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	35	"AWI"	35	1494	3515	2571	60	0	169	0	3	0	3	0	32	0	1	0	0	0	0	14	130	4	0	57	0	0	0	0	1	1	0	0	216	218	0	0	0	7	0	0	0	2	1	0	0	0	0	1	5	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	40	"AWI"	40	1867	3833	2968	54	2	151	0	2	0	0	0	23	1	0	0	0	0	0	10	236	0	0	51	1	0	0	0	0	0	0	0	258	190	0	0	0	9	0	0	0	2	1	0	0	2	2	2	5	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	45	"AWI"	45	2356	4018	3376	50	1	168	0	1	0	1	0	14	0	1	0	0	0	0	4	121	0	0	36	0	0	0	0	2	0	0	0	263	219	0	0	0	7	0	0	0	1	0	0	0	0	0	5	3	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	48	"AWI"	48	2732	4154	3592	57	0	114	0	0	0	3	0	22	0	0	0	0	0	0	7	191	0	0	37	0	1	0	0	3	0	0	0	300	192	0	0	0	7	0	0	0	0	1	0	0	0	0	4	7	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	52	"AWI"	52	3258	4276	3879	72	2	124	0	3	0	3	0	25	0	0	0	0	0	0	13	101	4	0	45	0	0	0	0	0	0	0	0	401	287	0	0	0	9	0	0	0	0	0	0	0	0	0	2	2	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	55	"AWI"	55	3536	4379	4041	46	1	193	0	3	0	3	0	21	0	5	0	0	0	0	5	343	3	0	47	0	0	0	0	1	0	0	0	367	185	0	0	0	5	0	17	0	0	1	0	0	0	0	3	2	1
