"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3456	4473	"Szymbark"	49.63333	21.1	0	"AWI"	0	-148	24	-65	51	8	89	3	9	0	8	8	0	32	0	0	0	0	0	2	35	17	0	0	1	0	26	18	2	0	0	7	5	81	0	59	0	0	17	3	0	1	0	41	9	0	0	9	8	1
3456	4473	"Szymbark"	49.63333	21.1	5	"AWI"	5	-88	339	50	41	1	49	2	3	0	1	0	0	8	0	0	0	0	0	0	9	7	0	0	2	0	25	2	0	0	0	1	3	46	0	12	0	0	3	3	0	0	0	3	1	0	0	7	3	0
3456	4473	"Szymbark"	49.63333	21.1	10	"AWI"	10	-38	618	170	76	0	107	4	4	0	6	7	0	24	0	1	0	0	0	0	19	8	0	1	3	0	50	15	0	0	0	4	5	54	0	29	1	0	12	8	0	1	4	12	5	0	0	14	7	3
3456	4473	"Szymbark"	49.63333	21.1	15	"AWI"	15	9	852	307	91	0	114	3	13	0	7	0	0	23	0	2	0	0	0	0	17	3	0	0	2	0	66	3	0	0	0	1	6	60	0	6	0	0	19	5	0	0	0	7	0	0	0	5	1	0
3456	4473	"Szymbark"	49.63333	21.1	20	"AWI"	20	93	1031	448	121	0	128	3	12	0	4	7	0	25	0	2	0	0	0	1	17	2	0	0	0	0	56	4	0	0	0	7	6	44	0	0	0	0	12	0	0	1	0	5	0	1	0	6	4	1
3456	4473	"Szymbark"	49.63333	21.1	25	"AWI"	25	161	1242	584	96	0	108	1	12	0	1	3	0	25	0	0	0	0	0	0	7	11	0	0	1	0	65	2	0	0	0	7	4	51	0	0	0	0	18	2	0	0	1	6	0	0	0	8	6	0
3456	4473	"Szymbark"	49.63333	21.1	30	"AWI"	30	255	1384	730	100	1	121	2	20	0	3	0	0	28	0	2	0	0	0	0	4	6	0	0	0	0	58	0	0	0	0	8	4	53	0	12	0	0	10	3	0	1	0	6	0	0	0	7	5	0
3456	4473	"Szymbark"	49.63333	21.1	35	"AWI"	35	368	1537	870	107	1	121	2	10	0	4	7	0	28	1	0	0	0	0	1	12	4	0	0	0	0	68	2	0	0	0	8	5	43	0	8	0	0	19	9	0	1	3	12	0	0	0	6	3	0
3456	4473	"Szymbark"	49.63333	21.1	45	"AWI"	45	574	1827	1151	114	3	94	0	9	0	3	4	0	24	0	1	0	0	0	0	17	9	0	0	0	0	67	2	0	0	0	10	11	51	0	17	0	0	19	1	0	1	1	10	0	0	0	9	5	0
3456	4473	"Szymbark"	49.63333	21.1	50	"AWI"	50	677	1973	1290	104	2	30	0	4	0	3	0	0	35	0	0	0	0	0	0	8	3	0	0	1	0	171	2	0	0	0	10	5	29	0	0	0	0	24	2	0	0	0	20	0	0	0	7	3	0
