"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acacia"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Celtis"	"Ceratonia"	"Cistaceae"	"Convolvulaceae"	"Coriariaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Olea"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	2	"AWI"	2	-27	-21	-24	0	1	0	7	61	20	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	13	1	0	0	0	0	0	0	1	23	1	0	69	1	15	1	0	3	1	14	55	0	0	0	0	1	0	0	0	1	0	0	0	1
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	3	"AWI"	3	-22	-16	-19	0	0	0	5	45	25	0	10	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	12	1	0	0	2	1	0	0	1	32	1	2	42	0	29	1	0	0	0	27	47	0	1	0	4	0	0	0	0	2	0	0	0	2
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	4	"AWI"	4	-15	-11	-13	0	0	0	3	46	20	0	5	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	13	0	0	0	0	0	0	2	1	25	0	1	37	2	19	1	0	1	0	28	51	0	0	0	2	1	0	0	0	0	0	0	0	0
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	5	"AWI"	5	-11	-4	-7	0	0	0	5	38	27	0	6	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	1	0	0	0	0	1	0	0	2	19	0	2	47	1	8	0	0	7	0	22	36	0	0	0	0	2	0	0	0	1	0	0	1	0
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	6	"AWI"	6	-4	2	-1	0	1	0	5	22	13	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	7	0	0	1	0	0	0	0	1	11	1	0	27	0	17	0	0	2	0	15	29	0	0	0	1	0	0	0	0	0	0	0	0	2
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	7	"AWI"	7	1	7	4	0	0	0	8	36	7	0	5	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	2	1	4	2	0	1	1	0	0	0	0	8	0	6	24	0	10	0	0	2	0	11	27	0	0	0	1	0	0	2	0	1	1	0	0	2
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	9	"AWI"	9	12	19	16	0	0	0	5	25	9	0	9	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	6	2	0	0	0	1	0	0	0	13	0	2	55	0	13	0	0	1	0	16	30	1	0	0	0	0	0	1	0	0	1	0	0	0
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	11	"AWI"	11	22	33	28	0	0	0	3	24	5	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	4	0	0	0	1	0	0	0	0	8	0	1	34	1	10	1	0	0	0	5	18	0	0	0	1	0	0	1	0	0	0	0	0	1
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	13	"AWI"	13	33	45	39	0	0	0	7	15	5	0	8	0	6	2	0	0	0	3	0	0	0	0	0	0	0	0	44	1	0	1	3	0	0	0	2	1	1	0	11	0	0	40	0	14	0	0	0	0	6	15	1	0	0	0	4	0	0	0	0	0	0	0	0
3464	4483	"Delta del Rio Besos"	41.40528	2.24833	15	"AWI"	15	45	55	50	0	0	0	1	22	8	0	2	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	1	0	4	1	3	48	0	7	0	0	2	0	6	16	0	0	0	2	0	0	0	0	0	1	0	0	0
