"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	32	"AWI"	32	4792	5591	5268	21	0	0	1	0	2	0	0	0	82	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	44	0	0	0	0	0	0	0	0	1	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	40	"AWI"	40	4898	5623	5326	6	0	0	3	0	2	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	48	"AWI"	48	4975	5669	5385	20	0	0	4	0	2	0	0	0	77	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	56	"AWI"	56	5036	5729	5451	14	0	0	2	0	1	0	0	0	80	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	3	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	64	"AWI"	64	5163	5765	5506	15	0	0	3	0	5	0	0	0	62	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	72	"AWI"	72	5292	5789	5559	17	0	0	1	0	4	0	0	1	104	0	4	0	0	0	0	0	0	1	1	1	0	0	0	0	53	0	0	0	0	0	0	0	0	2	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	80	"AWI"	80	5388	5824	5614	15	0	0	4	0	4	0	0	0	86	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	79	0	0	0	0	0	0	0	0	2	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	88	"AWI"	88	5482	5864	5667	16	0	0	1	0	6	0	0	0	33	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	64	1	0	0	0	0	0	0	0	1	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	96	"AWI"	96	5597	5897	5723	19	0	0	1	0	4	0	0	0	19	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	104	"AWI"	104	5626	5983	5782	9	0	0	1	0	6	0	0	0	17	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	112	"AWI"	112	5650	6088	5840	31	0	0	5	0	10	0	0	0	51	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	36	0	0	0	0	0	0	0	0	4	0
23787	41203	"Esgryn Bottom"	51.87611	-4.94194	120	"AWI"	120	5689	6132	5895	23	0	0	2	0	1	0	0	0	45	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	34	0	0	0	0	0	0	0	0	9	0
