"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Urticaceae"	"Viburnum"
15801	24284	"Murifeld Bern"	46.9365	7.473	-90	"AWI"	-90	11165	12898	12258	1	0	0	8	0	170	0	0	0	0	0	0	0	71	0	0	0	0	2	0	0	0	620	0	0	0	0	0	2	0	0	3	0	4	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-87	"AWI"	-87	11377	12938	12348	0	0	0	9	0	130	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	346	0	0	0	0	1	3	0	0	0	0	1	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-83	"AWI"	-83	11625	13008	12477	1	0	0	4	0	153	0	0	0	0	0	0	0	58	0	0	0	0	2	0	0	0	450	0	0	0	1	0	0	0	0	0	0	5	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-80	"AWI"	-80	11740	13091	12583	0	0	0	5	0	144	1	0	0	0	0	0	2	68	2	0	0	0	2	0	0	0	514	0	0	0	2	0	0	0	0	1	0	9	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-77	"AWI"	-77	11990	13126	12666	0	0	0	6	0	103	0	0	0	0	0	0	0	41	1	0	0	0	4	0	1	0	313	0	34	0	0	1	0	0	0	1	0	6	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-73	"AWI"	-73	12253	13192	12778	0	0	0	4	0	87	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	296	0	0	0	2	0	0	0	0	0	0	8	0	0	4	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-70	"AWI"	-70	12382	13272	12873	0	0	0	5	0	77	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	297	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-67	"AWI"	-67	12496	13303	12913	0	0	0	5	0	177	1	0	0	0	0	0	0	58	0	0	0	0	1	0	0	0	492	0	0	0	0	0	1	0	0	1	0	4	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-63	"AWI"	-63	12624	13346	12970	1	0	0	5	0	144	0	0	0	0	0	0	0	42	0	0	0	0	1	0	0	0	536	0	0	0	0	0	0	0	0	2	0	7	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-60	"AWI"	-60	12699	13386	13013	0	0	0	0	0	120	0	0	0	0	0	0	0	35	0	0	0	0	5	0	0	0	397	0	0	0	0	1	0	0	0	1	0	8	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-57	"AWI"	-57	12772	13422	13058	0	0	0	8	0	192	0	0	0	0	0	0	0	73	1	0	0	0	4	0	0	0	642	0	0	0	1	0	0	0	0	6	0	7	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-53	"AWI"	-53	12843	13490	13123	0	0	0	12	0	249	0	0	0	0	0	0	0	63	3	0	0	0	1	0	0	0	552	0	0	0	0	0	1	0	0	2	0	8	0	0	4	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-50	"AWI"	-50	12874	13563	13169	0	0	0	8	0	195	0	0	0	0	0	0	0	71	1	0	0	0	7	0	0	0	501	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-47	"AWI"	-47	12939	13618	13221	1	0	0	7	0	152	0	0	0	0	0	0	0	55	0	0	0	0	2	0	0	0	497	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-43	"AWI"	-43	12998	13713	13291	0	0	0	12	0	139	1	0	0	0	0	0	0	43	0	0	0	0	1	0	0	0	469	0	0	0	1	1	0	0	0	0	0	4	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-40	"AWI"	-40	13030	13811	13340	0	0	0	4	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	0	0	0	179	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-37	"AWI"	-37	13120	13895	13407	0	0	0	7	0	138	0	0	0	0	0	0	0	38	1	0	0	0	4	0	0	0	294	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-33	"AWI"	-33	13193	14023	13499	0	0	0	8	0	178	0	0	0	0	0	0	0	40	1	0	0	0	8	0	0	0	302	0	0	0	1	0	2	0	0	0	0	5	0	0	5	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-30	"AWI"	-30	13227	14131	13565	0	0	0	12	0	0	0	0	0	0	0	0	0	44	0	0	0	0	8	0	0	0	207	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-27	"AWI"	-27	13325	14260	13664	0	0	0	11	0	158	0	1	0	0	0	0	1	31	3	0	0	0	14	0	0	0	24	0	0	0	2	0	0	0	0	4	0	6	0	0	1	1	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-23	"AWI"	-23	13416	14485	13790	0	0	0	11	0	220	0	0	0	0	0	0	0	51	1	0	0	0	6	0	0	0	80	0	0	0	1	0	0	0	0	3	0	7	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-20	"AWI"	-20	13463	14699	13882	0	0	0	11	0	0	0	0	0	0	0	0	0	32	1	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-17	"AWI"	-17	13625	14791	14028	0	0	0	13	0	237	0	1	0	0	0	0	0	38	0	0	0	0	15	0	0	0	13	0	0	0	1	0	0	0	0	4	0	9	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-13	"AWI"	-13	13756	15003	14247	1	0	0	9	0	144	1	0	0	0	0	0	0	20	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	2	0	9	0	0	5	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-10	"AWI"	-10	13817	15220	14403	0	0	0	10	0	0	0	0	0	0	0	0	0	14	0	0	0	0	25	0	0	0	4	0	0	0	1	0	0	0	0	1	0	14	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-7	"AWI"	-7	14058	15302	14602	0	0	0	25	0	0	0	0	0	0	1	0	0	35	1	0	0	0	40	0	0	0	7	0	0	0	2	0	1	0	0	0	0	11	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	-3	"AWI"	-3	14247	15464	14882	0	0	0	9	0	0	0	0	0	0	0	0	0	26	1	0	0	1	37	0	0	0	3	0	0	0	0	0	0	0	7	3	0	17	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	0	"AWI"	0	14349	15668	15082	0	0	0	9	0	158	0	0	0	0	0	0	0	19	3	0	0	0	28	0	1	0	2	0	0	0	4	0	0	0	0	0	2	11	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	3	"AWI"	3	14733	15743	15257	0	0	0	6	0	0	0	0	0	0	0	0	0	15	1	0	0	0	12	0	0	0	5	0	0	0	5	0	0	0	0	0	0	8	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	5	"AWI"	5	14948	15804	15389	0	0	0	13	0	261	0	0	0	0	2	0	0	29	3	0	0	0	58	0	0	0	1	0	38	0	2	0	1	0	0	1	0	8	0	0	3	1	0
15801	24284	"Murifeld Bern"	46.9365	7.473	7	"AWI"	7	15098	15895	15519	0	0	0	6	0	0	4	0	0	0	0	3	0	28	1	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	8.5	"AWI"	8.5	15165.5	16011	15616.5	0	0	0	7	0	55	0	0	0	0	0	0	0	30	4	0	0	0	324	1	0	0	2	0	0	0	0	0	1	0	0	0	0	7	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	10	"AWI"	10	15216	16164	15707	0	0	0	2	0	28	0	0	0	0	0	0	0	22	3	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	11.5	"AWI"	11.5	15303.5	16199	15761	0	0	0	4	0	0	0	0	0	0	0	0	0	18	8	0	0	0	334	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	12.5	"AWI"	12.5	15348.5	16228	15798	1	0	0	12	0	22	0	0	0	0	0	0	0	25	4	0	0	0	235	1	0	0	1	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	14	"AWI"	14	15406	16273	15853	0	0	0	22	0	30	0	0	0	0	0	0	0	56	3	0	0	0	224	0	0	0	2	0	64	0	0	0	1	0	0	2	0	12	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	16	"AWI"	16	15465	16351	15929	0	0	0	22	0	0	0	0	0	0	0	0	0	37	0	0	0	1	33	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	18	"AWI"	18	15512	16472	16000	3	1	0	28	0	24	0	0	0	0	0	0	0	34	0	0	0	3	17	0	0	0	3	0	45	1	0	0	1	0	0	1	0	3	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	20	"AWI"	20	15554	16614	16071	5	0	0	41	0	0	1	0	0	0	0	0	0	19	0	0	0	0	14	0	0	0	3	0	0	4	0	0	0	0	0	3	0	2	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	22	"AWI"	22	15637	16667	16135	1	4	0	24	0	11	0	0	0	0	0	0	0	12	0	0	0	0	5	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	26	"AWI"	26	15750	16786	16259	0	0	0	36	0	19	0	0	0	0	0	0	0	19	0	0	0	0	5	0	0	0	6	0	0	0	0	0	1	0	0	0	0	5	0	0	1	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	30	"AWI"	30	15831	16978	16381	2	6	0	64	0	34	1	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	10	0	0	1	0	0	1	0	0	2	0	3	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	32	"AWI"	32	15924	17028	16445	2	0	0	22	0	25	0	0	0	0	0	0	0	25	0	0	0	0	5	0	0	0	3	0	59	0	0	0	11	0	0	0	0	2	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	35	"AWI"	35	16024	17109	16540	0	2	0	34	0	26	0	0	0	0	0	0	0	29	0	0	0	0	3	0	0	0	5	0	0	1	0	0	9	0	0	1	0	2	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	38	"AWI"	38	16104	17210	16637	0	1	0	24	0	16	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	42	"AWI"	42	16221	17352	16765	2	0	0	49	0	40	0	0	0	0	0	0	0	27	0	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	45	"AWI"	45	16298	17493	16869	4	0	0	43	0	32	0	0	0	0	0	0	0	26	0	0	0	0	9	0	0	0	4	0	0	2	0	0	6	0	0	1	0	4	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	47.5	"AWI"	47.5	16342	17653	16945.5	3	3	0	128	0	59	0	0	0	0	0	0	0	53	0	0	0	3	13	0	0	0	20	0	0	1	0	0	175	0	0	6	0	6	0	0	6	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	50	"AWI"	50	16383	17855	17016	6	1	0	52	0	19	1	1	0	0	0	0	0	17	1	0	0	0	3	0	0	1	12	0	0	2	0	0	1	0	0	1	0	6	0	0	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	52	"AWI"	52	16444	17930	17086	9	2	0	82	0	45	0	0	0	0	0	0	0	47	0	0	0	0	2	1	0	0	9	0	0	0	0	0	27	0	0	5	0	6	0	1	3	0	0
15801	24284	"Murifeld Bern"	46.9365	7.473	57	"AWI"	57	16544	18189	17249	3	1	0	99	0	35	0	0	0	0	0	0	0	35	0	0	0	2	1	1	0	0	6	0	0	1	0	0	23	0	0	1	0	3	0	0	0	0	0
