"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Vitaceae"
15920	24518	"Grand Mez"	46.74611	1.4425	2.5	"AWI"	2.5	-93	54	-24.5	3	11	0	1	0	0	2	5	0	1	0	0	0	0	0	3	157	0	0	2	0	0	0	7	0	1	0	1	0	20	7	63	0	0	0	0	16	0	3	0	0	0	11	4	0	0	1	0
15920	24518	"Grand Mez"	46.74611	1.4425	12.5	"AWI"	12.5	-3.5	153	68.5	2	20	1	3	0	0	0	3	0	0	2	2	1	0	0	2	147	0	0	2	0	0	1	3	0	0	3	0	0	3	15	44	0	0	0	0	18	2	0	0	0	0	19	4	0	0	2	0
15920	24518	"Grand Mez"	46.74611	1.4425	22.5	"AWI"	22.5	86.5	249.5	161	0	2	0	2	0	0	1	10	0	0	0	0	0	0	0	0	155	0	0	3	0	0	0	2	0	0	3	0	0	0	6	70	0	0	0	0	23	3	0	0	0	0	11	0	0	0	1	0
15920	24518	"Grand Mez"	46.74611	1.4425	32.5	"AWI"	32.5	179.5	342.5	252.5	0	9	0	3	0	0	0	6	0	3	1	0	0	0	0	1	167	0	0	3	0	0	1	4	0	0	2	0	0	1	4	38	0	0	0	0	28	9	1	0	0	0	4	0	0	0	2	0
15920	24518	"Grand Mez"	46.74611	1.4425	37.5	"AWI"	37.5	228.5	387.5	298.5	0	3	1	1	0	0	0	1	0	1	0	0	0	0	0	2	72	0	0	2	0	0	2	2	0	1	0	0	0	2	9	123	0	0	0	0	24	3	3	1	0	0	9	0	9	0	0	0
15920	24518	"Grand Mez"	46.74611	1.4425	42.5	"AWI"	42.5	279	434.5	344	0	6	0	4	0	0	0	4	0	1	0	0	0	0	0	0	47	0	0	6	0	2	0	1	0	0	0	0	1	1	7	0	0	0	0	0	17	0	0	0	0	0	30	1	0	0	0	0
15920	24518	"Grand Mez"	46.74611	1.4425	52.5	"AWI"	52.5	358	533	436.5	0	1	0	5	1	0	3	2	0	3	3	1	0	0	0	2	49	0	2	9	0	0	2	8	0	0	1	0	0	0	8	93	0	0	3	2	22	2	0	0	0	0	17	2	0	0	0	0
15920	24518	"Grand Mez"	46.74611	1.4425	62.5	"AWI"	62.5	441.5	628.5	528.5	0	1	0	6	0	0	2	5	0	5	6	0	0	0	0	3	43	4	1	2	2	0	7	0	0	0	0	0	3	1	4	51	0	0	0	0	38	0	1	0	0	14	2	0	0	0	0	0
15920	24518	"Grand Mez"	46.74611	1.4425	67.5	"AWI"	67.5	484.5	675.5	575.5	0	4	1	2	0	0	3	2	0	6	3	0	0	0	0	1	45	0	1	0	0	1	4	2	0	0	0	0	1	3	7	0	0	0	0	0	35	2	1	0	0	0	4	0	0	0	2	0
15920	24518	"Grand Mez"	46.74611	1.4425	72.5	"AWI"	72.5	526.5	724	620.5	2	6	2	11	1	0	1	2	0	7	1	1	0	0	0	3	44	0	1	5	0	0	4	3	0	0	0	0	1	1	11	69	0	0	0	0	33	0	1	0	0	0	17	3	8	0	1	1
