"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Colchicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lentibulariaceae"	"Liliaceae"	"Olea"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Sorbus"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
9836	14560	"Pedrido"	43.44995	-7.063954	0	"AWI"	0	-120	32	-48	1	8	0	0	0	0	0	0	0	12	0	0	0	0	1	0	14	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	297	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	4	"AWI"	4	-73	157	22	0	3	1	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	285	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	8	"AWI"	8	-10	258	114	0	8	0	4	0	0	8	0	0	5	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	12	"AWI"	12	59	365	202	0	7	0	0	1	0	0	0	0	5	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	16	"AWI"	16	145	432	286	0	25	0	2	0	0	6	0	0	9	0	0	0	0	12	0	23	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	9	0	0	0	49	0	0	0	1	0	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	20	"AWI"	20	265	490	379	0	31	1	0	4	2	0	0	7	20	0	2	0	0	1	0	46	29	0	0	0	0	1	0	2	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	2	2	0	0	0	0	0	3	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	24	"AWI"	24	348	528	456	0	30	0	0	0	2	3	0	0	22	0	0	0	0	10	0	37	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	4	0	0	0	65	0	0	0	1	2	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	28	"AWI"	28	450	583	513	0	18	1	0	0	3	0	1	6	28	0	0	0	0	2	0	35	53	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	28	4	0	6	2	2	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	32	"AWI"	32	523	647	567	0	29	0	0	0	0	0	0	0	22	0	0	0	0	4	0	54	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	40	"AWI"	40	586	753	676	0	20	0	1	0	0	0	0	0	23	0	0	0	0	0	0	46	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	46	0	0	0	0	0	0	0	1	0	0	2	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	44	"AWI"	44	663	795	714	0	17	0	0	0	1	1	0	0	26	0	0	0	0	1	0	66	35	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	66	4	1	0	0	2	0	0	0	0	0	2	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	48	"AWI"	48	703	841	758	0	35	0	1	0	0	1	0	0	29	0	0	0	0	0	0	49	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	3	0	0	0	90	0	0	0	0	0	0	0	0	0	0	4	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	52	"AWI"	52	740	883	800	0	19	1	3	0	1	0	0	0	20	0	0	0	0	0	0	47	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	51	1	0	0	0	0	0	0	0	0	0	1	0	0
9836	14560	"Pedrido"	43.44995	-7.063954	56	"AWI"	56	779	923	841	0	29	0	0	0	1	1	0	0	28	0	0	0	0	1	0	46	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
