"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
2988	3892	"Altenweiher"	48.01333	6.99444	12	"AWI"	12	-43	344	125	142	5	77	4	0	0	1	0	49	0	0	1	0	8	0	0	9	0	0	50	0	48	0	0	198	3	1	0	0	8	0	0	0	0	11	17	56	0	0	0	69	0	0	16	24	6	0	0	0	0	8
2988	3892	"Altenweiher"	48.01333	6.99444	50	"AWI"	50	165	1370	652	129	14	63	2	0	0	1	0	48	0	0	0	0	5	0	0	3	0	0	39	0	31	0	0	186	3	0	0	0	6	0	0	0	0	11	2	4	0	94	0	22	0	0	1	12	11	0	0	0	0	13
2988	3892	"Altenweiher"	48.01333	6.99444	80	"AWI"	80	494	1589	1155	98	5	386	0	0	0	3	0	21	0	0	0	0	1	0	0	1	0	0	31	0	4	0	0	161	3	0	0	0	1	2	0	0	0	7	2	7	0	82	0	32	8	0	4	18	17	0	0	2	1	7
2988	3892	"Altenweiher"	48.01333	6.99444	105	"AWI"	105	733	1780	1406	136	6	717	2	0	0	1	0	95	0	0	0	0	3	0	0	0	0	0	44	0	3	0	0	140	5	0	0	0	0	0	0	0	0	19	1	14	0	0	0	30	0	0	2	11	4	0	0	0	3	11
2988	3892	"Altenweiher"	48.01333	6.99444	125	"AWI"	125	849	1961	1553	172	2	188	0	0	0	1	0	16	0	0	0	0	0	0	0	0	1	0	36	0	28	0	0	134	2	0	0	0	0	0	0	0	0	20	0	8	0	0	0	30	11	0	9	1	2	0	0	0	0	10
2988	3892	"Altenweiher"	48.01333	6.99444	155	"AWI"	155	1012	2147	1690	151	1	305	0	0	0	3	0	87	0	0	0	0	0	0	0	0	0	0	61	0	4	0	0	138	7	0	0	0	2	0	0	0	0	21	2	3	0	0	0	24	0	0	1	3	2	0	0	0	1	10
2988	3892	"Altenweiher"	48.01333	6.99444	175	"AWI"	175	1097	2283	1773	132	6	226	1	0	0	1	0	68	0	0	0	0	2	0	0	0	0	0	61	0	9	0	0	116	10	0	0	0	1	0	0	0	0	10	2	8	0	0	0	50	0	0	16	13	5	0	0	0	4	15
2988	3892	"Altenweiher"	48.01333	6.99444	205	"AWI"	205	1236	2407	1902	466	12	415	4	0	0	1	0	52	0	4	0	0	1	0	0	1	0	0	62	0	3	0	0	312	8	0	0	0	0	0	0	0	0	14	2	19	0	0	0	87	0	0	10	26	10	0	0	0	2	27
2988	3892	"Altenweiher"	48.01333	6.99444	225	"AWI"	225	1320	2503	1986	79	9	224	1	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	25	0	5	0	0	88	7	0	0	0	0	1	0	0	0	1	0	11	0	0	0	36	14	0	2	9	2	0	0	0	0	17
2988	3892	"Altenweiher"	48.01333	6.99444	255	"AWI"	255	1457	2629	2119	125	3	262	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	57	0	1	0	0	119	3	0	0	0	0	0	0	0	0	9	2	14	0	0	0	23	29	0	1	6	5	0	0	0	2	13
2988	3892	"Altenweiher"	48.01333	6.99444	265	"AWI"	265	1499	2677	2163	64	2	246	1	0	0	6	0	32	0	0	0	0	0	0	0	0	0	0	28	0	8	0	0	74	4	0	0	0	0	0	0	0	0	4	0	14	0	0	0	42	0	0	0	8	4	0	0	1	1	18
2988	3892	"Altenweiher"	48.01333	6.99444	305	"AWI"	305	1688	2863	2344	296	2	105	2	0	0	6	0	99	0	0	0	0	0	0	0	0	0	0	53	0	3	0	0	248	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	44	0	0	0	5	4	0	0	0	1	5
2988	3892	"Altenweiher"	48.01333	6.99444	325	"AWI"	325	1811	2937	2434	80	2	150	1	0	0	4	0	26	0	0	0	0	1	0	0	0	0	0	26	0	6	0	0	67	1	0	0	0	0	0	0	0	0	1	0	10	0	0	0	24	5	0	4	9	1	0	0	1	1	8
2988	3892	"Altenweiher"	48.01333	6.99444	345	"AWI"	345	1913	3032	2526	229	4	134	0	0	0	1	0	35	0	0	0	0	0	0	0	0	0	0	67	0	4	0	0	221	0	0	0	0	0	0	0	0	0	11	0	7	0	0	0	72	0	0	0	1	3	0	0	0	3	8
2988	3892	"Altenweiher"	48.01333	6.99444	355	"AWI"	355	1958	3083	2571	352	6	167	0	0	0	1	0	35	0	0	0	0	0	0	0	0	0	0	74	0	1	0	0	285	5	0	0	0	0	0	0	0	0	5	0	11	0	0	0	53	0	0	2	5	1	0	0	0	1	11
2988	3892	"Altenweiher"	48.01333	6.99444	375	"AWI"	375	2068	3146	2666	151	11	154	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	42	0	1	0	0	107	5	0	0	0	0	0	0	0	0	2	1	11	0	0	0	30	7	0	0	12	12	0	0	0	1	11
2988	3892	"Altenweiher"	48.01333	6.99444	385	"AWI"	385	2113	3191	2716	99	5	160	1	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	73	2	0	0	0	0	1	0	0	0	2	0	4	0	0	0	31	9	0	3	10	5	0	0	0	1	10
2988	3892	"Altenweiher"	48.01333	6.99444	405	"AWI"	405	2231	3258	2809	224	13	246	1	0	0	4	0	65	0	0	0	0	0	0	0	0	0	0	67	0	6	0	0	155	5	1	0	0	0	0	0	0	0	5	2	17	0	0	0	35	0	0	1	11	9	0	0	0	2	6
2988	3892	"Altenweiher"	48.01333	6.99444	425	"AWI"	425	2332	3336	2902	140	7	162	1	0	0	1	0	31	0	0	0	0	0	0	0	0	0	0	51	0	5	0	0	91	3	0	0	1	0	0	0	0	0	1	1	14	0	0	0	32	5	0	1	7	6	0	0	2	1	18
2988	3892	"Altenweiher"	48.01333	6.99444	435	"AWI"	435	2365	3386	2952	193	1	68	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	46	0	5	0	0	194	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	58	0	0	1	1	1	0	0	0	1	8
2988	3892	"Altenweiher"	48.01333	6.99444	455	"AWI"	455	2495	3433	3034	312	6	96	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	79	0	3	0	0	313	3	0	0	0	0	0	0	0	0	1	1	11	0	0	0	42	0	0	0	1	2	0	0	0	0	3
2988	3892	"Altenweiher"	48.01333	6.99444	475	"AWI"	475	2595	3504	3126	176	11	234	1	0	0	2	0	20	0	0	0	0	0	0	0	0	0	0	71	0	21	0	0	117	8	0	0	1	0	0	0	0	0	1	0	13	0	0	0	77	9	0	1	7	1	0	0	0	3	20
2988	3892	"Altenweiher"	48.01333	6.99444	495	"AWI"	495	2736	3559	3213	244	2	92	1	0	0	1	0	41	0	0	0	0	0	0	0	0	0	0	73	0	4	0	0	216	11	0	0	0	0	0	0	0	0	3	0	6	0	0	0	59	0	0	0	2	3	0	0	0	0	4
2988	3892	"Altenweiher"	48.01333	6.99444	505	"AWI"	505	2799	3582	3258	268	6	113	1	0	0	5	0	22	0	0	0	0	0	0	0	0	0	0	98	0	23	0	0	295	5	0	0	0	0	0	0	0	0	1	3	10	0	0	0	106	0	0	3	2	1	0	0	0	4	8
2988	3892	"Altenweiher"	48.01333	6.99444	525	"AWI"	525	2914	3657	3350	213	6	264	2	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	68	0	24	0	0	129	14	0	0	0	0	0	0	0	0	0	0	10	0	0	0	30	0	0	1	4	0	0	0	0	6	15
2988	3892	"Altenweiher"	48.01333	6.99444	545	"AWI"	545	3108	3701	3426	164	5	216	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	62	0	11	0	0	120	6	0	0	0	0	0	0	0	0	0	0	13	0	0	0	34	3	0	1	5	0	0	0	0	5	18
2988	3892	"Altenweiher"	48.01333	6.99444	555	"AWI"	555	3192	3727	3464	240	7	144	1	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	84	2	7	0	0	194	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	52	0	0	0	3	0	0	0	0	5	7
2988	3892	"Altenweiher"	48.01333	6.99444	575	"AWI"	575	3312	3795	3545	136	3	254	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	60	0	13	0	0	81	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	35	0	0	3	4	3	0	0	0	1	9
2988	3892	"Altenweiher"	48.01333	6.99444	585	"AWI"	585	3358	3825	3582	205	5	678	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	53	0	14	0	0	134	6	0	0	0	0	0	0	0	0	0	2	16	0	0	0	73	0	0	3	3	2	0	0	1	0	15
