"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"
3214	4173	"Lackan Bog"	54.26583	-6.10082	5	"AWI"	5	1911	2320	2105	57	0	1	0	0	1	31	0	0	0	236	51	61	0	8	1	0	0	0	57	1	0	1	2	4	4
3214	4173	"Lackan Bog"	54.26583	-6.10082	9	"AWI"	9	2009	2426	2199	48	0	0	0	0	0	25	2	0	1	233	67	65	1	10	0	0	0	0	49	2	0	0	0	7	6
3214	4173	"Lackan Bog"	54.26583	-6.10082	13	"AWI"	13	2056	2580	2291	70	1	0	0	0	0	46	2	2	0	244	60	68	0	9	3	1	0	84	65	1	4	0	0	6	2
3214	4173	"Lackan Bog"	54.26583	-6.10082	17	"AWI"	17	2231	2657	2402	68	0	0	0	0	0	32	0	0	0	259	64	71	0	7	1	1	22	69	51	0	0	0	1	9	5
3214	4173	"Lackan Bog"	54.26583	-6.10082	21	"AWI"	21	2376	2700	2529	170	0	0	0	0	4	40	0	0	0	222	23	26	0	19	0	0	0	39	85	1	0	0	2	14	7
3214	4173	"Lackan Bog"	54.26583	-6.10082	25	"AWI"	25	2458	2812	2645	110	1	0	0	1	0	20	0	0	0	74	9	19	0	28	0	0	0	36	74	1	3	0	0	8	5
3214	4173	"Lackan Bog"	54.26583	-6.10082	28	"AWI"	28	2537	2897	2740	134	0	0	1	0	0	32	0	0	1	134	17	16	0	20	0	0	0	49	80	2	3	0	1	8	5
3214	4173	"Lackan Bog"	54.26583	-6.10082	29	"AWI"	29	2549	2934	2764	120	1	0	0	1	0	31	0	0	0	50	21	8	0	14	1	1	0	33	50	0	0	0	2	7	7
3214	4173	"Lackan Bog"	54.26583	-6.10082	33	"AWI"	33	2590	3093	2858	123	0	0	0	0	0	29	0	0	0	253	20	20	0	19	1	1	0	28	56	2	0	0	1	8	5
3214	4173	"Lackan Bog"	54.26583	-6.10082	37	"AWI"	37	2749	3179	2955	150	2	0	0	1	0	20	0	0	0	289	19	18	0	10	0	1	0	31	62	1	0	0	0	5	10
3214	4173	"Lackan Bog"	54.26583	-6.10082	41	"AWI"	41	2903	3239	3057	158	0	0	1	0	0	42	0	0	0	250	21	15	0	14	1	0	0	42	62	2	4	1	1	10	6
3214	4173	"Lackan Bog"	54.26583	-6.10082	45	"AWI"	45	3022	3337	3166	103	0	0	0	0	1	26	0	0	0	225	9	30	0	15	0	0	0	0	85	1	0	0	0	7	10
3214	4173	"Lackan Bog"	54.26583	-6.10082	49	"AWI"	49	3166	3416	3289	86	0	0	0	0	0	16	0	0	0	205	28	3	0	21	0	1	0	42	54	5	2	0	0	2	7
3214	4173	"Lackan Bog"	54.26583	-6.10082	53	"AWI"	53	3262	3572	3413	92	0	0	0	0	0	16	0	0	0	211	21	7	0	5	0	1	0	44	77	0	0	0	1	6	8
3214	4173	"Lackan Bog"	54.26583	-6.10082	57	"AWI"	57	3386	3656	3502	165	0	0	0	0	0	33	0	0	0	285	11	12	0	20	1	2	0	46	83	0	0	0	3	10	5
3214	4173	"Lackan Bog"	54.26583	-6.10082	59	"AWI"	59	3429	3686	3547	133	0	0	0	0	0	42	0	0	0	266	8	10	0	13	0	2	0	58	95	6	0	0	0	13	6
3214	4173	"Lackan Bog"	54.26583	-6.10082	61	"AWI"	61	3458	3739	3590	127	0	0	0	0	0	33	0	0	0	202	12	16	0	22	0	0	0	0	74	0	0	0	2	3	12
3214	4173	"Lackan Bog"	54.26583	-6.10082	63	"AWI"	63	3479	3812	3629	134	0	0	0	0	1	29	0	0	0	199	6	13	0	8	0	0	0	57	92	0	0	0	0	0	9
3214	4173	"Lackan Bog"	54.26583	-6.10082	65	"AWI"	65	3507	3859	3665	135	0	0	1	0	0	32	0	0	1	203	25	9	0	14	0	1	0	42	85	2	0	0	0	7	14
