"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
2980	3884	"Arkutino Lake"	42.329472	27.724032	108	"AWI"	108	-26	132	49	0	0	125	17	11	0	8	0	0	2	0	15	0	1	0	0	1	1	1	1	4	0	0	0	1	0	0	14	7	1	0	2	0	0	0	14	65	0	1	12	0	0	0	0	6	0	66	0	0	1	0	0	2	58	7	1	1	0	1	16	1	0	2
2980	3884	"Arkutino Lake"	42.329472	27.724032	119	"AWI"	119	245	414	330	0	0	62	2	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	12	16	0	0	0	0	0	0	6	37	0	0	6	0	0	0	0	0	0	114	0	0	0	0	0	1	43	1	0	0	0	0	8	0	0	1
2980	3884	"Arkutino Lake"	42.329472	27.724032	130	"AWI"	130	485	726	613	0	0	1	9	0	2	8	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	31	0	0	0	0	0	0	0	1	73	0	0	1	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0
2980	3884	"Arkutino Lake"	42.329472	27.724032	142	"AWI"	142	742	1081	922	0	0	22	3	6	0	11	0	0	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	6	7	0	0	0	0	0	0	26	33	0	0	9	0	0	0	0	0	0	153	0	0	0	0	0	0	199	5	0	0	0	4	11	0	0	2
2980	3884	"Arkutino Lake"	42.329472	27.724032	161	"AWI"	161	1146	1572	1375	0	0	70	6	0	0	21	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	6	0	0	0	0	12	11	0	0	0	6	0	0	6	51	0	0	3	0	0	0	0	0	0	103	0	0	0	0	0	0	37	0	0	0	0	2	6	0	0	0
2980	3884	"Arkutino Lake"	42.329472	27.724032	177	"AWI"	177	1307	2120	1708	0	0	17	4	1	0	6	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	21	14	0	0	8	0	0	0	0	0	0	49	0	0	0	0	0	0	60	2	5	0	0	0	5	0	0	0
2980	3884	"Arkutino Lake"	42.329472	27.724032	185	"AWI"	185	1348	2436	1876	0	0	15	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0	31	40	0	0	10	0	0	0	0	0	0	93	0	0	0	0	0	0	36	0	0	0	0	0	12	0	0	1
2980	3884	"Arkutino Lake"	42.329472	27.724032	204	"AWI"	204	1450	3148	2272	0	0	166	5	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	6	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	62	0	0	0	0	1	0	0	0	0
2980	3884	"Arkutino Lake"	42.329472	27.724032	213	"AWI"	213	1754	3187	2440	0	0	55	13	5	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	5	0	1	0	0	5	0	0	6	14	0	1	5	0	0	0	0	0	0	83	0	0	0	0	0	0	28	0	0	0	0	0	3	0	0	0
2980	3884	"Arkutino Lake"	42.329472	27.724032	229	"AWI"	229	2238	3287	2736	0	0	13	9	2	0	14	0	0	8	0	6	0	0	0	0	0	0	0	0	4	0	2	0	0	1	0	3	0	0	0	0	0	0	0	31	23	0	1	7	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1	20	0	0	1	1	0	0	3
